指標名,銀行・ATM,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,"（2020年度：3,121件、2021年度：3,138件、2022年度：3155件）",,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2丁目7-1,三菱UFJ銀行本店,三菱UFJ銀行,35.678609,139.764329
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-8-2,みずほ銀行 八重洲口支店,みずほ銀行,35.68313,139.77024
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1丁目4-1,三井住友信託銀行本店営業部,その他銀行/地方/外国銀行,35.684356,139.764932
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-4-5 三菱UFJ信託銀行本店ビル,三菱UFJ信託銀行 本店,信託銀行,35.68371,139.764664
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-3-2,三井住友銀行東館ライジング・スクエア,三井住友銀行,35.684745,139.763531
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2丁目2番1号,セブンイレブン 衆議院第一議員会館店,セブンイレブン,35.674407,139.742942
千代田区,神田小川町三丁目,-,東京都千代田区神田小川町3-3,きらぼし銀行 神田支店,その他銀行/地方/外国銀行,35.694967,139.761675
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-7-2,東京中央郵便局(銀座郵便局JPタワー内分室) ゆうちょ銀行 本店,郵便局,35.679845,139.764729
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1丁目2番,セブンイレブン AIM三井物産ビル店,セブンイレブン,35.687637,139.762333
千代田区,九段南四丁目,-,東京都千代田区九段南4-5-9,麹町郵便局,郵便局,35.692018,139.740538
千代田区,神田小川町一丁目,-,東京都千代田区神田小川町1丁目1,みずほ銀行神田支店,みずほ銀行,35.694728,139.766825
千代田区,神田淡路町二丁目,-,東京都千代田区神田淡路町2-12,神田郵便局,郵便局,35.697841,139.768764
千代田区,内幸町二丁目,-,東京都千代田区内幸町2-1-6,セブンイレブン 日比谷パークフロント店,セブンイレブン,35.670812,139.753605
千代田区,鍛冶町二丁目,-,東京都千代田区鍛冶町2-13-11,セブンイレブン 神田駅北口店,セブンイレブン,35.69182,139.770749
千代田区,鍛冶町二丁目,-,東京都千代田区鍛冶町2丁目1番3号,セブンイレブン 神田駅南口店,セブンイレブン,35.691056,139.77118
千代田区,神田小川町三丁目,-,東京都千代田区神田小川町3丁目12,三井住友銀行神保町支店,三井住友銀行,35.695255,139.762013
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-6-1,丸の内センタービル内郵便局,郵便局,35.68415,139.765755
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-2-1 OTEMACHI ONE B1F,三井住友銀行三井物産ビル支店,三井住友銀行,35.687702,139.76284
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-8-1,KDDI大手町ビル内郵便局,郵便局,35.687792,139.764329
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-9-1 東京駅一番街 B1F JR東京駅八重洲地下中央改札前,三井住友銀行 JR東京駅八重洲地下中央改札前出張所,三井住友銀行,35.682289,139.76849
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1丁目7-2,北洋銀行東京支店,その他銀行/地方/外国銀行,35.686999,139.765469
千代田区,東神田二丁目,-,東京都千代田区東神田2-4-5,東神田郵便局,郵便局,35.696317,139.779067
千代田区,麹町二丁目,-,東京都千代田区麹町2-12,半蔵門駅前郵便局,郵便局,35.68503,139.741401
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2-10-3,セブンイレブン 東急キャピトルタワー店,セブンイレブン,35.673969,139.740774
千代田区,神田相生町,-,東京都千代田区神田相生町1番,セブンイレブン 秋葉原センタープレイス店,セブンイレブン,35.699291,139.773958
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1丁目2番,セブンイレブン Otemachi One タワ店,セブンイレブン,35.687637,139.762333
千代田区,大手町二丁目,大丸有,東京都千代田区大手町2-6-4,セブンイレブン 常盤橋タワー3F店,セブンイレブン,35.684055,139.770587
千代田区,神田多町二丁目,-,東京都千代田区神田多町2-2-6,神田駅前郵便局,郵便局,35.693477,139.769631
千代田区,神田神保町二丁目,-,東京都千代田区神田神保町2丁目4,みずほ銀行九段支店,みずほ銀行,35.696237,139.756144
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-5-5,みずほ銀行 丸の内中央支店,みずほ銀行,35.685321,139.764536
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1丁目4-1,三菱UFJ銀行新丸の内支店,三菱UFJ銀行,35.684356,139.764932
千代田区,神田神保町三丁目,-,東京都千代田区神田神保町3丁目1,城南信用金庫九段支店,信用金庫,35.695683,139.754919
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-7-2 JPタワー18階 <ご来店に際しては、ビル1階総合受付でのご本人さま確認,埼玉りそな銀行 東京支店,りそな銀行,35.679845,139.764729
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1丁目6-5,静岡銀行東京営業部,その他銀行/地方/外国銀行,35.683938,139.766885
千代田区,九段南四丁目,-,東京都千代田区九段南4-8-26,りそな銀行 市ケ谷支店,りそな銀行,35.691276,139.7377
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-3-2,セブンイレブン 大手町カンファレンスセンター店,セブンイレブン,35.688662,139.763553
千代田区,神田小川町三丁目,-,東京都千代田区神田小川町3-12,三井住友銀行神田支店,三井住友銀行,35.695255,139.762013
千代田区,二番町,-,東京都千代田区二番町8-8,セブンイレブン 千代田二番町店,セブンイレブン,35.685625,139.734071
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2-8,神田須田町郵便局,郵便局,35.696716,139.774513
千代田区,神田小川町三丁目,-,東京都千代田区神田小川町3-22,小川町郵便局,郵便局,35.696461,139.761759
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1丁目3-3,みずほ信託銀行本店,その他銀行/地方/外国銀行,35.68387,139.76348
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2丁目7-2,ゆうちょ銀行本店,ゆうちょ銀行,35.679845,139.764729
千代田区,神田多町二丁目,-,東京都千代田区神田多町2丁目2-16,琉球銀行東京支店,その他銀行/地方/外国銀行,35.692962,139.770039
千代田区,神田鍛冶町三丁目,-,東京都千代田区神田鍛冶町3丁目6-3,三菱UFJ銀行神田駅前支店,三菱UFJ銀行,35.694068,139.771039
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2-1-1,りそな銀行 参議院支店,りそな銀行,35.676514,139.74229
千代田区,神田和泉町,-,東京都千代田区神田和泉町1番地,りそな銀行 秋葉原支店(法人営業),りそな銀行,35.699244,139.775969
千代田区,内神田二丁目,-,東京都千代田区内神田2丁目15-9,武蔵野銀行東京支店,その他銀行/地方/外国銀行,35.69203,139.767923
千代田区,神田駿河台四丁目,-,東京都千代田区神田駿河台4丁目3番地,【無人ATM】りそな銀行 お茶の水聖橋出張所 無人ATM,りそな銀行,35.698673,139.765527
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-4-2,三井住友銀行丸ノ内支店,三井住友銀行,35.676613,139.762572
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-7-1,セブンイレブン 有楽町イトシア店,セブンイレブン,35.6738,139.764126
