指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2023/1/27 取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2021年度：3,601件、2022年度：3568件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-大阪/ドリームルリエ号,高速バス,大阪駅ＪＲ高速バスターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-京都・大阪・兵庫/グランドリーム号,高速バス,京都駅〔烏丸口〕/大阪駅ＪＲ高速バスターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京・神奈川-京都・大阪/グラン昼特急,高速バス,京都駅〔烏丸口〕/大阪駅ＪＲ高速バスターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-京都・大阪/青春エコドリーム号,高速バス,京都駅〔烏丸口〕/大阪駅ＪＲ高速バスターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京・神奈川-京都・大阪/青春昼特急,高速バス,大阪駅ＪＲ高速バスターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-富山・石川/グランドリーム金沢号,高速バス,富山駅前/金沢駅西口方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,いわき号：東京・新宿-いわき,高速バス,いわき駅方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,ドリーム青森／盛岡・東京号,高速バス,盛岡駅前〔東口〕/青森駅前方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-福島/ドリーム福島・東京号,高速バス,郡山駅前（福島県）/福島駅東口方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-秋田/ドリーム秋田・東京号,高速バス,秋田駅東口方面,-,バス停
