指標名,コンビニ,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,"（2020年度：2,130件、2021年度：2342件、2022年度：2305件）",,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2丁目2番1号,セブンイレブン 衆議院第一議員会館店,セブンイレブン,35.674407,139.742942
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1丁目2番,セブンイレブン AIM三井物産ビル店,セブンイレブン,35.687637,139.762333
千代田区,飯田橋三丁目,-,東京都千代田区飯田橋3丁目5-1,ファミリーマート 東京区政会館店,ファミリーマート,35.701445,139.747374
千代田区,鍛冶町二丁目,-,東京都千代田区鍛冶町2-2-9,ローソン 神田駅東口店,ローソン,35.69153,139.771462
千代田区,霞が関一丁目,虎ノ門広域,東京都千代田区霞が関1-1-3 東京弁護士会館地下1階,生活彩家 弁護士会館店,その他コンビニ,35.674319,139.753628
千代田区,神田錦町二丁目,-,東京都千代田区神田錦町2-2-1,ローソン 神田スクエア店,ローソン,35.693125,139.763204
千代田区,内幸町二丁目,-,東京都千代田区内幸町2-1-6,セブンイレブン 日比谷パークフロント店,セブンイレブン,35.670812,139.753605
千代田区,神田錦町一丁目,-,東京都千代田区神田錦町1丁目1 帝都神田ビル 1F,ミニストップ 神田錦町1丁目店,ミニストップ,35.692303,139.764495
千代田区,鍛冶町二丁目,-,東京都千代田区鍛冶町2-13-11,セブンイレブン 神田駅北口店,セブンイレブン,35.69182,139.770749
千代田区,鍛冶町二丁目,-,東京都千代田区鍛冶町2丁目1番3号,セブンイレブン 神田駅南口店,セブンイレブン,35.691056,139.77118
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2-10-3,セブンイレブン 東急キャピトルタワー店,セブンイレブン,35.673969,139.740774
千代田区,神田相生町,-,東京都千代田区神田相生町1番,セブンイレブン 秋葉原センタープレイス店,セブンイレブン,35.699291,139.773958
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1丁目2番,セブンイレブン Otemachi One タワ店,セブンイレブン,35.687637,139.762333
千代田区,大手町二丁目,大丸有,東京都千代田区大手町2-6-4,セブンイレブン 常盤橋タワー3F店,セブンイレブン,35.684055,139.770587
千代田区,五番町,-,東京都千代田区五番町 市ヶ谷駅2F・改札外正面,NewDays(ニューデイズ) 市ヶ谷店,NewDays,35.691012,139.735567
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1丁目1-1,ファミリーマート ファミマ大手町パークビル店,ファミリーマート,35.689895,139.760441
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町3-12紀尾井町ビル,ファミリーマート 紀尾井町ビル店,ファミリーマート,35.682357,139.736742
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町4-1,ファミリーマート ガーデンコート店,ファミリーマート,35.681033,139.734068
千代田区,霞が関三丁目,虎ノ門広域,東京都千代田区霞が関3丁目2-5 霞が関ビルディング,ファミリーマート ファミマ霞が関ビルディング店,ファミリーマート,35.671183,139.747241
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1 東京駅 2F 新幹線20・21番線ホーム 上野方,NEWDAYS MINI(ニューデイズミニ) 東ホ5C店,NewDays,35.681236,139.767125
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-2-3,ローソン 丸の内仲通りビル店,ローソン,35.680169,139.762522
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-3-2,セブンイレブン 大手町カンファレンスセンター店,セブンイレブン,35.688662,139.763553
千代田区,神田神保町二丁目,-,東京都千代田区神田神保町2-2 半蔵門線神保町駅構内,ローソン 神保町メトロピア店,ローソン,35.695932,139.757627
千代田区,二番町,-,東京都千代田区二番町8-8,セブンイレブン 千代田二番町店,セブンイレブン,35.685625,139.734071
千代田区,神田練塀町,-,東京都千代田区神田練塀町3番地富士ソフトビル1F,ファミリーマート 秋葉原富士ソフトビル店,ファミリーマート,35.700306,139.774074
千代田区,九段南一丁目,-,東京都千代田区九段南1丁目6番5号,ファミリーマート 九段会館テラス店,ファミリーマート,35.694446,139.751233
千代田区,霞が関一丁目,虎ノ門広域,東京都千代田区霞が関1丁目3番1号経済産業省庁舎内,ファミリーマート 経済産業省店,ファミリーマート,35.672239,139.750903
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1丁目9-1,ニューデイズ八重洲中央改札内,NewDays,35.67987,139.767515
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-7-1,セブンイレブン 有楽町イトシア店,セブンイレブン,35.6738,139.764126
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-7-12,ファミリーマート ファミマサピアタワー店,ファミリーマート,35.683718,139.768483
千代田区,神田錦町三丁目,-,東京都千代田区神田錦町3丁目5-1,ミニストップ 神田錦町3丁目店,ミニストップ,35.692709,139.7595
千代田区,岩本町二丁目,-,東京都千代田区岩本町2丁目6-10,ミニストップ 岩本町2丁目店,ミニストップ,35.693542,139.776434
千代田区,九段南一丁目,-,東京都千代田区九段南1丁目5-5,ミニストップ 九段南1丁目店,ミニストップ,35.694898,139.751912
千代田区,富士見二丁目,-,東京都千代田区富士見2丁目11-9,ミニストップ 飯田橋駅西口店,ミニストップ,35.699075,139.744795
千代田区,九段南四丁目,-,東京都千代田区九段南4丁目2-9,ミニストップ 九段南4丁目店,ミニストップ,35.691091,139.739525
千代田区,神田神保町一丁目,-,東京都千代田区神田神保町1丁目2-5,ミニストップ 神田神保町1丁目店,ミニストップ,35.696335,139.76009
千代田区,鍛冶町一丁目,-,東京都千代田区鍛冶町1丁目8-8 神田鍛冶町ビル,ミニストップ 神田鍛冶町店,ミニストップ,35.691071,139.773315
千代田区,神田美土代町,-,東京都千代田区神田美土代町9-1,ミニストップ 神田美土代町店,ミニストップ,35.693736,139.765647
千代田区,岩本町二丁目,-,東京都千代田区岩本町2丁目4-5,cisca 岩本町店,ミニストップ,35.694168,139.775467
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1丁目9-1 グラントウキョウノースタワー 17階,cisca グラントウキョウ店,ミニストップ,35.68151,139.768882
千代田区,霞が関三丁目,虎ノ門広域,東京都千代田区霞が関3丁目2-1,cisca 霞が関コモンゲート店,ミニストップ,35.671796,139.747943
千代田区,麹町六丁目,-,東京都千代田区麹町6-2-1 麹町サイトビル1F,ポプラ 麹町店,その他コンビニ,35.685226,139.733212
千代田区,神田東松下町,-,東京都千代田区神田東松下町27,スリーエイト 神田東店,その他コンビニ,35.694862,139.773429
千代田区,九段南三丁目,-,東京都千代田区九段南3-1-1,セブンイレブン 九段南大妻通り店,セブンイレブン,35.692222,139.743455
千代田区,神田小川町二丁目,-,東京都千代田区神田小川町2-2-8,セブンイレブン 神田小川町2丁目店,セブンイレブン,35.694768,139.764869
千代田区,神田駿河台二丁目,-,東京都千代田区神田駿河台2丁目5,セブンイレブン 駿河台三楽病院店,セブンイレブン,35.700196,139.761946
千代田区,神田駿河台二丁目,-,東京都千代田区神田駿河台2-10 駿台興業ビル1F,生活彩家 御茶の水駅前店,その他コンビニ,35.698939,139.764274
千代田区,一ツ橋二丁目,-,東京都千代田区一ツ橋2-6-2,セブンイレブン 千代田一ツ橋2丁目店,セブンイレブン,35.694281,139.756184
