指標名,コワーキング施設,,,,,,
出典,コワーキングスペース検索,,,,,,
年次,2023/3/20取得,,,,,,
URL,https://coworking-search.jp/zenkoku/,,,,,,
備考,2020：346件、2021：369件、2022：406件,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
中央区,築地四丁目,-,東京都中央区築地4丁目3-8　登喜和ビル 5F,35.66665,139.76855,MONZ SPACE,https://coworking-search.jp/space/2499/
千代田区,永田町二丁目,赤坂,千代田区永田町2-4-11フレンドビル3F,35.67213,139.74217,KIC　メディア企業が運営するコワーキング施設,https://coworking-search.jp/space/2583/
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-9-2 グラントウキョウサウスタワー11階,35.67874,139.76736,JustCoグラントウキョウサウスタワー,https://coworking-search.jp/space/2571/
千代田区,二番町,-,東京都千代田区二番町9-3THE BASE 麹町,35.68615,139.73646,THE HUB 麹町,https://coworking-search.jp/space/2615/
千代田区,神田岩本町,-,東京都千代田区神田岩本町15-1　CYK神田岩本町B1F,35.69666,139.77483,BIZcomfort 秋葉原,https://coworking-search.jp/space/2617/
千代田区,丸の内三丁目,大丸有,東京千代田区丸の内3-2-3　丸の内二重橋ビルディング2F、3F,35.67770,139.76174,サーブコープ 丸の内二重橋ビルディング,https://coworking-search.jp/space/2633/
千代田区,大手町一丁目,大丸有,東京千代田区大手町 1-7-2　東京サンケイビル27F,35.68710,139.76457,サーブコープ 大手町東京サンケイビル,https://coworking-search.jp/space/2634/
新宿区,西新宿三丁目,-,東京都新宿区西新宿3-2-9新宿ワシントンホテルビル本館 2F,35.68709,139.69288,THE HUB 新宿ワシントン,https://coworking-search.jp/space/2604/
新宿区,新宿二丁目,-,東京都新宿区新宿２－９－２２,35.68963,139.70985,ワイムビジネスプラザ新宿御苑,https://coworking-search.jp/space/2458/
新宿区,新宿二丁目,-,東京都新宿区新宿2丁目12番13号 新宿アントレサロンヒ゛ル,35.69063,139.70799,新宿アントレサロン,https://coworking-search.jp/space/2548/
新宿区,西新宿一丁目,-,東京新宿区西新宿1-26-2　新宿野村ビル32F,35.69295,139.69537,サーブコープ 新宿野村ビル,https://coworking-search.jp/space/2643/
新宿区,西新宿六丁目,-,東京新宿区西新宿6-10-1　日土地西新宿ビル8F,35.69455,139.69092,サーブコープ 新宿オークシティ,https://coworking-search.jp/space/2644/
新宿区,高田馬場一丁目,-,東京都新宿区高田馬場一丁目29-1,35.71025,139.70409,Colony#15 高田馬場,https://coworking-search.jp/space/2529/
渋谷区,円山町,-,東京都渋谷区円山町5番5号 Navi渋谷Ⅴ3階,35.65673,139.69529,渋谷アントレサロン,https://coworking-search.jp/space/2551/
渋谷区,渋谷三丁目,-,"東京都渋谷区渋谷3-6-2エクラート渋谷4-5F,8F",35.65793,139.70498,THE HUB 渋谷,https://coworking-search.jp/space/2606/
渋谷区,幡ケ谷一丁目,-,東京都渋谷区幡ヶ谷1-2-2 京王幡ヶ谷ビル4階,35.67697,139.67706,MID POINT幡ヶ谷,https://coworking-search.jp/space/2620/
渋谷区,渋谷二丁目,-,東京都渋谷区渋谷2-21-1 渋谷ヒカリエ33F,35.65906,139.70353,JustCo渋谷ヒカリエ,https://coworking-search.jp/space/2530/
渋谷区,恵比寿一丁目,-,東京都渋谷区恵比寿1-8-18 K-1ビル 3F,35.64798,139.70996,THE HUB SOLO 恵比寿,https://coworking-search.jp/space/2609/
新宿区,新宿四丁目,-,東京都新宿区新宿4-1-6 JR新宿ミライナタワー18F,35.68858,139.70265,JustCo新宿ミライナタワー,https://coworking-search.jp/space/2532/
港区,北青山二丁目,-,東京都港区北青山二丁目12番8号,35.67099,139.71641,BIZ SMART青山,https://coworking-search.jp/space/2569/
港区,南青山三丁目,-,東京都港区南青山3-8-40青山センタービル 2F,35.66743,139.71513,THE HUB 南青山,https://coworking-search.jp/space/2602/
港区,赤坂四丁目,赤坂,東京都港区赤坂4丁目8番19号 赤坂フロントタウン3階,35.67619,139.73385,赤坂アントレサロン,https://coworking-search.jp/space/2547/
港区,港南二丁目,-,東京都港区港南2-17-1　京王品川ビル 2F,35.62471,139.73942,BIZcomfort 品川Skyway,https://coworking-search.jp/space/2668/
港区,西新橋一丁目,虎ノ門,東京港区西新橋1-2-9　日比谷セントラルビル14F,35.66963,139.75455,サーブコープ 日比谷セントラルビル,https://coworking-search.jp/space/2636/
港区,海岸一丁目,-,東京港区海岸1-2-3　汐留芝離宮ビルディング21F,35.65700,139.75874,サーブコープ 汐留芝離宮ビルディング,https://coworking-search.jp/space/2637/
港区,虎ノ門四丁目,虎ノ門,東京都港区虎ノ門4-3-1　城山トラストタワー 4階,35.66471,139.74338,Cozy Works 神谷町,https://coworking-search.jp/space/2647/
港区,芝五丁目,-,東京都港区芝5-36-4　札の辻スクエア 9階,35.64514,139.74481,港区立産業振興センター,https://coworking-search.jp/space/2527/
港区,港南二丁目,-,東京港区港南2-15-1　品川インターシティA棟28F,35.62749,139.74203,サーブコープ 品川インターシティA棟,https://coworking-search.jp/space/2641/
港区,虎ノ門四丁目,虎ノ門,東京港区虎ノ門4-3-1　城山トラストタワー27F,35.66471,139.74338,サーブコープ 城山トラストタワー,https://coworking-search.jp/space/2638/
品川区,東五反田五丁目,-,東京都品川区東五反田5-25-18 ENZO五反田ビル 7F,35.62760,139.72453,THE HUB SOLO 五反田,https://coworking-search.jp/space/2607/
品川区,西五反田二丁目,-,東京都品川区西五反田2-14-13　ニックハイム五反田2階,35.62644,139.71972,BIZcomfort五反田,https://coworking-search.jp/space/2534/
品川区,東中延一丁目,-,東京都品川区東中延1-9-13　ザ・パークハビオ荏原中延駅前 1F,35.60992,139.71204,BIZcomfort 荏原中延,https://coworking-search.jp/space/2664/
品川区,南大井六丁目,-,東京都品川区南大井6-25-3　いちご大森ビル 7F,35.58902,139.73092,グランワーク,https://coworking-search.jp/space/2563/
江東区,有明三丁目,-,東京江東区有明3-7-26　有明フロンティアビルB棟9F,35.63147,139.79179,サーブコープ 有明フロンティアビルB棟,https://coworking-search.jp/space/2646/
江東区,北砂二丁目,-,東京都江東区北砂2-17-1 アリオ北砂3F,35.68253,139.82561,COTOLIBA 北砂店,https://coworking-search.jp/space/2454/
新宿区,高田馬場二丁目,-,東京都新宿区高田馬場1-26-12　高田馬場ビル802号室,35.71302,139.70620,おとな自習室 高田馬場,https://coworking-search.jp/space/1965/
新宿区,高田馬場一丁目,-,東京都新宿区高田馬場1-28-10　三慶ビル4F,35.71210,139.70472,シェアオフィス＆コワーキングスペース「CASE Shinjuku」,https://coworking-search.jp/space/899/
新宿区,高田馬場一丁目,-,東京都新宿区高田馬場１丁目３２?１０　新宿消費生活センター分館 併設,35.71086,139.70374,新宿区立高田馬場創業支援センター,https://coworking-search.jp/space/1172/
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町518 早稲田玉井ビル 3階,35.70819,139.72245,GARAGE WASEDA,https://coworking-search.jp/space/1496/
新宿区,早稲田町,-,東京都新宿区早稲田町12-5　ニュー早稲田ビル 5F,35.70550,139.72263,BIZcomfort 早稲田,https://coworking-search.jp/space/2123/
新宿区,天神町,-,東京都新宿区天神町7-11,35.70481,139.73142,BIZcomfort 神楽坂天神,https://coworking-search.jp/space/1907/
千代田区,外神田六丁目,-,東京都千代田区外神田6-14-1 日興ビル2F,35.70319,139.77127,勉強カフェ　秋葉原スタジオ,https://coworking-search.jp/space/1578/
新宿区,神楽坂六丁目,-,東京都新宿区神楽坂6?８ 文悠ビルB1,35.70290,139.73733,BOOK&OFFICE 文悠,https://coworking-search.jp/space/1989/
千代田区,飯田橋三丁目,-,東京都千代田区飯田橋3-11-13　飯田橋i-MARK ANNEX 9F,35.70275,139.74824,NewWork 飯田橋,https://coworking-search.jp/space/2158/
千代田区,外神田四丁目,-,東京都千代田区外神田4-7-3　田中ビル 1階,35.70260,139.76983,Working Studio 秋葉原,https://coworking-search.jp/space/2558/
千代田区,外神田四丁目,-,東京都千代田区外神田4-9-2　1F/2F,35.70215,139.77252,1/3rd Life（ワンサードライフ）,https://coworking-search.jp/space/2148/
新宿区,矢来町,-,東京都新宿区矢来町16,35.70211,139.73070,神楽坂クロススタジオ,https://coworking-search.jp/space/1607/
千代田区,飯田橋三丁目,-,東京都千代田区飯田橋3-6-8　飯田橋T&Sビル 3F,35.70181,139.74614,THE HUB SOLO 飯田橋,https://coworking-search.jp/space/2397/
新宿区,袋町,-,東京都新宿区袋町5番地1 FARO神楽坂,35.70126,139.73824,FARO神楽坂,https://coworking-search.jp/space/1863/
新宿区,神楽坂二丁目,-,東京都新宿区神楽坂2-12,35.70123,139.74155,TOKI CAFE,https://coworking-search.jp/space/2137/
千代田区,飯田橋四丁目,-,東京都千代田区飯田橋4-8-13　山商ビル5F,35.70112,139.74638,ジェネラボ 飯田橋,https://coworking-search.jp/space/1302/
千代田区,神田三崎町二丁目,-,"東京都千代田区神田三崎町2-12-9　B1,2F,3F,4F,5F",35.70101,139.75370,東京レンタル自習室 水道橋,https://coworking-search.jp/space/1613/
千代田区,飯田橋四丁目,-,東京都千代田区飯田橋4-4-6 SJビル2F,35.70066,139.74639,勉強カフェ　飯田橋スタジオ,https://coworking-search.jp/space/1579/
千代田区,神田練塀町,-,東京都千代田区神田練塀町3　富士ソフト秋葉原ビル 12F,35.70031,139.77407,DMM.make AKIBA,https://coworking-search.jp/space/2497/
千代田区,神田松永町,-,東京都千代田区神田松永町13,35.69974,139.77520,NUWORKS TOKYO,https://coworking-search.jp/space/2331/
千代田区,外神田二丁目,-,東京都千代田区外神田1丁目13-2　うすやビル 1F,35.69934,139.76802,カラオケパセラ 秋葉原電気街店,https://coworking-search.jp/space/2238/
千代田区,神田三崎町三丁目,-,東京都千代田区神田三崎町3-1-3　一輝ビル 3F,35.69912,139.75301,シェアオフィスMIXER 神保町・水道橋,https://coworking-search.jp/space/639/
千代田区,神田佐久間町二丁目,-,東京都千代田区神田佐久間町2-18-5　アークビル 2F,35.69864,139.77584,THE HUB SOLO 秋葉原,https://coworking-search.jp/space/2398/
江東区,亀戸五丁目,-,東京都江東区亀戸5-6-21 UIW9BLDG 2F,35.69832,139.82766,BIZcomfort 亀戸,https://coworking-search.jp/space/1888/
千代田区,神田佐久間町一丁目,-,東京都千代田区神田佐久間町1-14　第2東ビル303,35.69779,139.77437,秋葉原コワーキングスペース「Rampart」,https://coworking-search.jp/space/1400/
千代田区,外神田一丁目,-,東京都千代田区外神田1-1-10,35.69776,139.77037,パセラリゾーツAKIBAマルチエンターテインメント,https://coworking-search.jp/space/2262/
新宿区,新宿六丁目,-,東京都新宿区新宿6丁目29番11号　新宿イーストクロスタワー10F,35.69772,139.70772,BIZcomfort 東新宿,https://coworking-search.jp/space/2344/
千代田区,外神田一丁目,-,東京都千代田区外神田1-16-10　ニュー秋葉原センター32号,35.69744,139.77267,プログラマー自習室&コワーキングスペース『ギークライブラリー』,https://coworking-search.jp/space/2251/
千代田区,東神田三丁目,-,東京都千代田区東神田3-4-12　Green&Archビル,35.69739,139.78160,Funshareシェアオフィス・コワーキングスペース,https://coworking-search.jp/space/2361/
千代田区,神田神保町二丁目,-,東京都千代田区神田神保町2-20-6　恒倉ビル B1,35.69737,139.75405,いいオフィス神保町 by TUNEKURA,https://coworking-search.jp/space/2470/
千代田区,神田佐久間河岸,-,東京都千代田区神田佐久間河岸78-3 柴田ビル3階,35.69707,139.77805,アイラボ・シェアオフィス 秋葉原,https://coworking-search.jp/space/1535/
千代田区,神田神保町二丁目,-,東京都千代田区神田神保町2-12-3　安富ビル,35.69658,139.75690,EDITORY 神保町,https://coworking-search.jp/space/1129/
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2-19-23　野村第3ビル4階,35.69655,139.77182,コワーキングスペース 秋葉原 Weeyble,https://coworking-search.jp/space/1631/
千代田区,岩本町三丁目,-,東京都千代田区岩本町3-8-8　中和秋葉原ビル,35.69640,139.77730,BIZcomfort 秋葉原岩本町,https://coworking-search.jp/space/1900/
千代田区,神田神保町二丁目,-,"東京都千代田区神田神保町2-2　B1,3F",35.69625,139.75724,東京レンタル自習室 神保町,https://coworking-search.jp/space/1612/
千代田区,神田神保町一丁目,-,東京都千代田区神田神保町1-4-6　クロサワビル6F,35.69619,139.75984,コワーキングスペース『BasisPoint 神保町』,https://coworking-search.jp/space/1420/
新宿区,西新宿七丁目,-,東京都新宿区西新宿7-4-7　イマス浜田ビル 5階,35.69614,139.69854,知恵の場オフィス 別館,https://coworking-search.jp/space/1857/
千代田区,岩本町三丁目,-,東京都千代田区岩本町3-6-5 木所ビル 3階,35.69613,139.77801,GARAGE AKIHABARA,https://coworking-search.jp/space/1495/
江東区,亀戸七丁目,-,東京都江東区亀戸7ｰ44ｰ2,35.69607,139.83431,BIZcomfort 亀戸南,https://coworking-search.jp/space/2065/
新宿区,西新宿七丁目,-,東京都新宿区西新宿7-4-4 武蔵ビル5F,35.69601,139.69860,HAPON新宿,https://coworking-search.jp/space/638/
江東区,亀戸一丁目,-,東京都江東区亀戸1-7-3 パークノヴァ亀戸 201号室,35.69600,139.82110,ソフトオフィス錦糸町,https://coworking-search.jp/space/403/
新宿区,西新宿七丁目,-,東京都新宿区西新宿7-18-18　新宿税理士ビル1F,35.69589,139.69690,勉強カフェ　新宿ベースポイントスタジオ,https://coworking-search.jp/space/1958/
千代田区,神田神保町二丁目,-,"東京都千代田区神田神保町2丁目3-1　神保町ブックセンター 1F,3F",35.69575,139.75756,LEAGUE神保町,https://coworking-search.jp/space/1522/
千代田区,神田神保町三丁目,-,東京都千代田区神田神保町3-11-1 安田神保町マンション,35.69538,139.75449,BIZcomfort 神保町,https://coworking-search.jp/space/1882/
新宿区,西新宿七丁目,-,東京都新宿区西新宿7-2-5　TH西新宿ビル 5階／6階,35.69529,139.69872,知恵の場オフィス 本館,https://coworking-search.jp/space/1856/
千代田区,神田小川町一丁目,-,東京都千代田区神田小川町1-6-1 宝ビル8F,35.69525,139.76631,イノバゼスト 神田,https://coworking-search.jp/space/1630/
千代田区,神田須田町一丁目,-,東京都千代田区神田須田町1-2-7　淡路町駅前ビル3階,35.69525,139.76775,プレミアムオフィス神田,https://coworking-search.jp/space/389/
千代田区,神田須田町一丁目,-,東京都千代田区神田須田町1-16-5　ヒューリック神田ビル 1F,35.69520,139.77052,アクセア 神田店,https://coworking-search.jp/space/1952/
新宿区,西新宿八丁目,-,東京都新宿区西新宿8-3-1　西新宿GFビル1～4F,35.69516,139.69392,西新宿ビジネスセンター,https://coworking-search.jp/space/194/
千代田区,九段南一丁目,-,東京都千代田区九段南1-5-6　りそな九段ビル5F KSフロア,35.69508,139.75176,ナレッジソサエティ,https://coworking-search.jp/space/344/
千代田区,神田小川町一丁目,-,東京都千代田区神田小川町1-8-3　小川町北ビルB1F、3F?5F、7F,35.69505,139.76575,THE OFFICE 神田,https://coworking-search.jp/space/172/
新宿区,西新宿七丁目,-,東京都新宿区西新宿7-22-3　BPビル,35.69503,139.69523,BASE POINT,https://coworking-search.jp/space/2211/
千代田区,東神田一丁目,-,"東京都千代田区東神田1-15-9　2F,3F",35.69494,139.78269,クロックカフェ,https://coworking-search.jp/space/1773/
新宿区,西新宿七丁目,-,東京都新宿区西新宿7-1-12,35.69472,139.69899,クロスオフィス新宿,https://coworking-search.jp/space/2279/
千代田区,神田多町二丁目,-,東京都千代田区神田多町2-11 カツミビル601,35.69452,139.76882,ソフトオフィス神田,https://coworking-search.jp/space/404/
千代田区,神田司町二丁目,-,東京都千代田区神田司町2-13,35.69410,139.76727,ワイムビジネスプラザ神田,https://coworking-search.jp/space/446/
千代田区,神田小川町二丁目,-,東京都千代田区神田小川町2-1　檜ビル3F,35.69402,139.76487,シェアオフィスKOTO-BA,https://coworking-search.jp/space/707/
千代田区,神田錦町二丁目,-,東京都千代田区神田錦町2-4 ダヴィンチ小川町 3F,35.69385,139.76366,FUSION_N,https://coworking-search.jp/space/1531/
新宿区,新宿五丁目,-,東京都新宿区新宿5-15-14,35.69370,139.70735,INBOUND LEAGUE,https://coworking-search.jp/space/995/
千代田区,九段南二丁目,-,東京都千代田区九段南2-4-11,35.69340,139.74425,HIVE TOKYO,https://coworking-search.jp/space/546/
新宿区,西新宿六丁目,-,東京都新宿区西新宿6-5-1　新宿アイランドタワー20F,35.69313,139.69314,モバフ新宿アイランド,https://coworking-search.jp/space/1574/
新宿区,歌舞伎町一丁目,-,東京都新宿区歌舞伎町1-1-15　東信同和ビル9階,35.69308,139.70456,東信ビジネスセンター,https://coworking-search.jp/space/1744/
千代田区,神田多町二丁目,-,東京都千代田区神田多町2-1　神田東山ビル7F/8F,35.69298,139.76955,BIZcomfort Connect-Lounge神田,https://coworking-search.jp/space/1894/
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-5-12　ニューセントラルビル 8-9F,35.69297,139.69820,THE HUB 新宿西口,https://coworking-search.jp/space/2308/
