指標名,文化財,,,,,,,,,,,,,,,,
出典,国指定文化財等データベース,,,,,,,,,,,,,,,,
年次,2023/2/8取得,,,,,,,,,,,,,,,,
URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,
備考,（2019年：482件。2020年：516件、2021年：548件、2022年：553件）※所在地の記載のないもの、無形を除く,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者
品川区,旗の台三丁目,-,東京都品川区旗の台3-852-1,35.60452,139.7083,旗岡八幡神社絵馬殿,-,登録有形文化財(建造物),宗教,建築物,-,昭和前,20130621,-,-,旗岡八幡神社,-
品川区,東五反田三丁目,-,東京都品川区東五反田三丁目191番地39,35.630727,139.729589,旧島津家本邸,本館,国宝・重要文化財(建造物),重要文化財,近代／住居,-,大正,20191227,-,-,学校法人　清泉女子大学,-
品川区,東五反田三丁目,-,東京都品川区東五反田三丁目191番地39,35.630727,139.729589,旧島津家本邸,事務所,国宝・重要文化財(建造物),重要文化財,近代／住居,-,大正,20191227,-,-,学校法人　清泉女子大学,-
品川区,平塚一丁目,-,東京都品川区平塚一丁目584,35.616225,139.716044,長濱家住宅主屋,-,登録有形文化財(建造物),住宅,建築物,-,大正,20200403,-,-,-,-
品川区,平塚一丁目,-,東京都品川区平塚一丁目584,35.616225,139.716044,長濱家住宅門,-,登録有形文化財(建造物),住宅,その他工作物,-,大正,20200403,-,-,-,-
品川区,豊町一丁目,-,東京都品川区豊町一丁目1131-1,35.612283,139.720536,旧三井文庫第二書庫,-,登録有形文化財(建造物),文化福祉,建築物,-,大正,20200403,-,-,品川区,-
品川区,北品川五丁目,-,東京都品川区北品川5-740-10,35.620742,139.73491,小池家住宅主屋,-,登録有形文化財(建造物),住宅,建築物,-,昭和前,20110126,-,-,-,-
品川区,北品川四丁目,-,東京都品川区北品川三丁目,35.61789,139.7367,加茂真淵墓,-,史跡名勝天然記念物,史跡,-,-,-,19261020,-,-,-,-
品川区,北品川四丁目,-,東京都品川区北品川三丁目,35.61765,139.7365,沢庵墓,-,史跡名勝天然記念物,史跡,-,-,-,19261020,-,-,-,-
中央区,浜離宮庭園,-,東京都中央区浜離宮庭園,35.65989,139.7633,旧浜離宮庭園,-,史跡名勝天然記念物,特別名勝,特別史跡,-,-,19481218,-,-,-,-
中央区,日本橋三丁目,日八京,東京都台東区上野公園13-9 東京国立博物館,35.679674,139.773537,梵鐘,-,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,平安,19520719,-,東京国立博物館文化庁分室,国（文化庁）,-
中央区,京橋二丁目,日八京,東京都中央区京橋二丁目5-60他,35.67613,139.7712,繭山龍泉堂店舗,-,登録有形文化財(建造物),産業3次,建築物,-,昭和中,20180510,-,-,株式会社繭山龍泉堂,-
中央区,銀座七丁目,-,東京都中央区銀座七丁目1,35.669161,139.763239,銀座ライオンビル,-,登録有形文化財(建造物),産業3次,建築物,-,昭和前,20220217,-,-,株式会社サッポロライオン,-
中央区,水面調査区,-,東京都中央区新川､江東区佐賀,35.67629,139.7875,永代橋,-,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,大正,20070618,-,-,東京都,-
中央区,新富二丁目,-,東京都中央区新富2-6-13,35.67128,139.7737,大野屋總本店店舗,-,登録有形文化財(建造物),産業3次,建築物,-,大正,20140425,-,-,-,-
中央区,新富一丁目,-,東京都中央区新富町一丁目11-3他,35.672117,139.774669,新富町躍金楼店舗,-,登録有形文化財(建造物),産業3次,建築物,-,昭和中,20180510,-,-,-,-
中央区,水面調査区,-,東京都中央区築地､勝どき,35.66223,139.7749,勝鬨橋,-,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,昭和,20070618,-,-,東京都,-
中央区,築地三丁目,-,東京都中央区築地三丁目一五〇一番,35.66651,139.7722,築地本願寺本堂,-,国宝・重要文化財(建造物),重要文化財,近代／宗教,-,昭和,20141210,-,-,築地本願寺,-
中央区,東日本橋二丁目,-,東京都中央区東日本橋2-16-8,35.69452,139.7855,玉置文治郎ビル,-,登録有形文化財(建造物),産業3次,建築物,-,昭和前,20050209,-,-,-,-
中央区,日本橋二丁目,日八京,東京都中央区日本橋2丁目4番1号,35.68078,139.7734,髙島屋東京店,髙島屋東京店,国宝・重要文化財(建造物),重要文化財,近代／商業・業務,-,昭和,20090630,-,-,株式会社髙島屋,-
