指標名,薬局,,,,,,
出典,病院なび,,,,,,
年次,2023/2/12取得,,,,,,
URL,https://byoinnavi.jp/,,,,,,
備考,"（2020年度：1,315件、2021年度：1,321件、2022年度：1,323件）",,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-59-6,35.67347,139.66487,笹塚薬局,https://byoinnavi.jp/pharm/201176
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2-17-1,35.67454,139.66590,ミツヤ笹塚2丁目薬局,https://byoinnavi.jp/pharm/201181
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-30-3,35.67306,139.66646,ミツヤ笹塚薬局,https://byoinnavi.jp/pharm/201173
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-56-7,35.67376,139.66726,眞誠薬局,https://byoinnavi.jp/pharm/201175
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚一丁目56番10号,35.67429,139.66798,アイセイ薬局 笹塚店,https://byoinnavi.jp/pharm/271233
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2-12-15,35.67516,139.66798,ミネ薬品笹塚店,https://byoinnavi.jp/pharm/201179
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-23-8,35.67315,139.66800,幸仁薬局,https://byoinnavi.jp/pharm/201172
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2-10-4,35.67542,139.66821,スマイルドラッグ笹塚店,https://byoinnavi.jp/pharm/201177
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-22-3,35.67324,139.66836,サンドラッグ笹塚南口店,https://byoinnavi.jp/pharm/201171
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2-11-1,35.67500,139.66850,あづみ薬店,https://byoinnavi.jp/pharm/201178
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-48-14笹塚ショッピングモール21,35.67408,139.66906,笹塚鈴薬局 (株)エスシーグループ,https://byoinnavi.jp/pharm/201174
渋谷区,幡ケ谷三丁目,-,東京都渋谷区幡ヶ谷3-76-1,35.67908,139.67040,ミネ薬品本部,https://byoinnavi.jp/pharm/201226
渋谷区,大山町,-,東京都渋谷区大山町13-1,35.66735,139.67352,トモ薬局,https://byoinnavi.jp/pharm/201163
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷2-18-12,35.67758,139.67438,ミツヤ薬局,https://byoinnavi.jp/pharm/201220
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷2-18-17,35.67748,139.67473,クオールこだま薬局,https://byoinnavi.jp/pharm/201221
新宿区,西落合二丁目,-,東京都新宿区西落合2-24-16,35.72018,139.67519,ヤマグチ薬局哲学堂店,https://byoinnavi.jp/pharm/205689
渋谷区,幡ケ谷三丁目,-,東京都渋谷区幡ヶ谷3-8-6,35.68086,139.67591,幡ヶ谷調剤薬局,https://byoinnavi.jp/pharm/201227
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷2-13-4,35.67749,139.67673,青山薬局,https://byoinnavi.jp/pharm/201219
渋谷区,西原二丁目,-,東京都渋谷区西原2-31-4,35.67602,139.67699,トモズ 幡ヶ谷店,https://byoinnavi.jp/pharm/201249
渋谷区,上原三丁目,-,東京都渋谷区上原3-23-1,35.66421,139.67726,漢方薬の救仁堂,https://byoinnavi.jp/pharm/201144
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷2-9-17,35.67863,139.67736,六号通り調剤薬局,https://byoinnavi.jp/pharm/201225
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ケ谷2-9-17,35.67863,139.67736,スマイルドラッグ幡ヶ谷店,https://byoinnavi.jp/pharm/201217
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷2-5-7,35.67891,139.67751,幡ヶ谷六号通り薬局,https://byoinnavi.jp/pharm/201224
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷2-5-4,35.67853,139.67766,くすりセイジョー幡ヶ谷二番店,https://byoinnavi.jp/pharm/201222
渋谷区,西原二丁目,-,東京都渋谷区西原2-27-4,35.67518,139.67834,研究堂薬品,https://byoinnavi.jp/pharm/201248
新宿区,西落合一丁目,-,東京都新宿区西落合1-28-13,35.72331,139.67873,(有)西落合薬局,https://byoinnavi.jp/pharm/205687
渋谷区,幡ケ谷二丁目,-,東京都渋谷区幡ヶ谷2-1-1,35.67833,139.67899,東京漢方(株),https://byoinnavi.jp/pharm/201218
渋谷区,本町四丁目,-,東京都渋谷区本町4-16-10,35.68786,139.67971,ハラダ薬局 渋谷本町店,https://byoinnavi.jp/pharm/259892
