指標名,世界トップ企業,,,,,,,,,,,,,
出典,Forbes,,,,,,,,,,,,,
年次,2022年,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,
区,町丁,エリア,住所,緯度,経度,Company name,企業名,Ranking,Rank,Change in Rank,Sales,Profits,Assets,Market Value
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋１－９－１,35.66304,139.76131,Softbank,ソフトバンク株式会社,Forbes Global 2022,44,-17,$96.86 B,$20.87 B,$418.94 B,$71.69 B
千代田区,大手町一丁目,大丸有,東京都千代田区大手町１丁目５番１号　大手町ファーストスクエア　イーストタワー,35.68578,139.76403,Nippon Telegraph & Tel,NTT（日本電信電話株式会社）,Forbes Global 2022,53,-10,$110.39 B,$10.15 B,$204.46 B,$103.98 B
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋１丁目７－１,35.66305,139.75945,Sony,ソニー株式会社,Forbes Global 2022,56,-21,$89.9 B,$7.99 B,$260.48 B,$108.84 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内１丁目７番１号,35.68317,139.76710,Mitsubishi UFJ Financial,三菱UFJフィナンシャル・グループ,Forbes Global 2022,58,-6,$48.28 B,$11.29 B,"$3,176.37 B",$75.75 B
港区,南青山二丁目,-,東京都港区南青山２丁目１－１　,35.67209,139.72379,Honda Motor,本田技研工業株式会社,Forbes Global 2022,103,-21,$130.16 B,$7.24 B,$193.22 B,$44.99 B
港区,芝浦三丁目,-,東京都港区芝浦３丁目１番２１号,35.64507,139.74921,Mitsubishi,三菱自動車工業株式会社,Forbes Global 2022,104,8,$146.94 B,$5.9 B,$178.13 B,$50.87 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内１丁目１番２号,35.68498,139.76237,Sumitomo Mitsui Financial,三井住友フィナンシャルグループ,Forbes Global 2022,127,-42,$35.5 B,$6.4 B,"$2,176.62 B",$42.33 B
千代田区,大手町一丁目,大丸有,東京都千代田区大手町１丁目３番１号,35.68869,139.76280,Mitsui,三井物産株式会社,Forbes Global 2022,140,38,$108.31 B,$7.01 B,$119.73 B,$40.83 B
港区,北青山二丁目,-,東京都港区北青山２丁目５番１号,35.67156,139.71932,Itochu,伊藤忠商事株式会社,Forbes Global 2022,141,-24,$107.99 B,$6.52 B,$102.18 B,$45.95 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内１丁目６番６号,35.68319,139.76577,Hitachi,株式会社 日立製作所,Forbes Global 2022,145,-12,$91.9 B,$5.87 B,$116.57 B,$45.78 B
千代田区,飯田橋三丁目,-,東京都千代田区飯田橋３丁目１０番１０号,35.70032,139.75054,KDDI,KDDI株式会社 ,Forbes Global 2022,146,-40,$49.17 B,$5.98 B,$94.14 B,$74.12 B
千代田区,大手町二丁目,大丸有,東京都千代田区大手町２丁目３番１号,35.68686,139.76744,Japan Post Holdings,日本郵政株式会社,Forbes Global 2022,157,-70,$103.58 B,$3.93 B,"$2,614.33 B",$26.56 B
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内１丁目２－１　,35.68312,139.76328,Tokio Marine Holdings,東京海上ホールディングス株式会社,Forbes Global 2022,178,25,$50.57 B,$3.85 B,$234.91 B,$35.19 B
千代田区,大手町一丁目,大丸有,東京都千代田区大手町１丁目５?５,35.68551,139.76540,Mizuho Financial,株式会社みずほフィナンシャルグループ ,Forbes Global 2022,186,-57,$26.76 B,$5.42 B,"$1,957.58 B",$31.38 B
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町１丁目１３－１,35.67584,139.76082,Dai-ichi Life Insurance,第一生命保険株式会社,Forbes Global 2022,212,79,$66.73 B,$4.47 B,$571.45 B,$19.9 B
中央区,日本橋本町二丁目,日八京,東京都中央区日本橋本町二丁目１番１号,35.68767,139.77463,Takeda Pharmaceutical,武田薬品工業株式会社,Forbes Global 2022,214,-19,$31.55 B,$3.99 B,$110.27 B,$45.32 B
千代田区,二番町,-,東京都千代田区二番町８番地８,35.68584,139.73405,Seven & I Holdings,株式会社セブン＆アイ・ホールディングス,Forbes Global 2022,261,-33,$78.47 B,$1.89 B,$75.88 B,$39.19 B
