指標名,ギャラリー,,,,,,
出典,TokyoArtBeat(Gallery),,,,,,
年次,2023/3/22取得,,,,,,
URL,http://www.tokyoartbeat.com/venues/Gallery,,,,,,
備考,（2020年度：577件、2021年度：766件、2022年度：555件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ウェブサイト
渋谷区,神宮前三丁目,-,東京都渋谷区神宮前3-20-3 石井ビル1F,35.670476,139.70824,SPACE BANKSIA（スペース バンクシア）,https://space-banksia.com
港区,白金六丁目,-,東京都港区白金6-2-19-102,35.644477,139.723342,Art Gallery Shirokane 6c,https://shirokane6c.com
渋谷区,上原一丁目,-,東京都渋谷区上原1-17-3 105,35.669165,139.683141,HENKYO,https://henkyo.jp/
中央区,日本橋二丁目,日八京,東京都中央区日本橋本町1-7-12 日本橋太郎平ビル,35.681184,139.774154,太郎平画廊,https://tarohei-gallery.com
中央区,日本橋横山町,-,東京都中央区日本橋横山町4-9 birth 5F,35.692037,139.782552,SOM GALLERY,https://www.somgallery.com/
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町1-12-1 新有楽町ビル 1F,35.67556,139.762093,M5 Gallery,
中央区,銀座六丁目,-,東京都中央区銀座6-4-8 曽根ビル7F,35.671049,139.761355,ぎゃらりい秋華洞,https://www.syukado.jp/
千代田区,神田小川町三丁目,-,東京都千代田区神田小川町3-20-4 第2龍名館ビル 1FD,35.696772,139.761425,KOMIYAMA TOKYO G,https://www.komiyamatokyo-g.com
渋谷区,神宮前六丁目,-,東京都渋谷区神宮前6-15-17 クレストコート神宮前1F,35.665949,139.704759,GALLERY SCENA,https://gallery-scena.com/
渋谷区,神宮前三丁目,-,東京都渋谷区神宮前3-42-7 青山太洋ビル3F,35.671239,139.713856,Night Out Gallery,https://nightoutgallery.com/
港区,南青山五丁目,-,東京都港区南青山5-10-17,35.662669,139.710787,MA5 GALLERY,https://www.ma5gallery.com/
渋谷区,渋谷二丁目,-,東京都渋谷区渋谷2-12-19 東建インターナショナルビル3F,35.658674,139.707492,YUGEN Gallery,https://yugen-gallery.com/ja/
千代田区,神田佐久間町一丁目,-,東京都千代田区神田佐久間町1-14 第二東ビル216号,35.697841,139.774413,DUB GALLERY AKIHABARA,https://www.dub-gallery.com
中央区,日本橋茅場町一丁目,-,東京都中央区日本橋茅場町1-1-6 小浦第一ビル1F,35.68134,139.780185,コンテンポラリーヘイズ,https://heis-g.com
渋谷区,神宮前三丁目,-,東京都渋谷区神宮前3-32-2 K's Apartment 103,35.671573,139.711015,HIRO OKAMOTO,https://www.hirookamoto.jp/
中央区,銀座六丁目,-,東京都中央区銀座6-4-7 いらか銀座ビル1・2F,35.671162,139.761524,至峰堂画廊,https://shihoudou.co.jp/
渋谷区,猿楽町,-,東京都渋谷区猿楽町5-17 第一西尾ビル2F,35.65276,139.703714,のこぎり,https://www.nokogiribytonkachi.jp/
新宿区,揚場町,-,東京都新宿区揚場町2-12 セントラルコーポラス105,35.702265,139.74257,Roll,https://yf-vg.com/roll.html
中央区,東日本橋二丁目,-,東京都中央区東日本橋2-2-10,35.69291,139.785558,Ritsuki Fujisaki Gallery,http://ritsukifujisakigallery.com
品川区,東品川一丁目,-,東京都品川区東品川1-33-10 TERRADA Art Complex Ⅰ 4F,35.619175,139.746603,小山登美夫ギャラリー天王洲,http://tomiokoyamagallery.com/
品川区,東品川一丁目,-,東京都品川区東品川1-32-8 TERRADA ART COMPLEX II 4F,35.619781,139.74632,T&Y Projects,http://www.ty-projects.com/
江東区,木場三丁目,-,東京都江東区木場3-18-17,35.672791,139.805405,EARTH + GALLERY,https://earth-plus.com/
港区,六本木六丁目,六本木,東京都港区六本木6-5-24 complex665 2F,35.661539,139.731043,小山登美夫ギャラリー六本木,http://www.tomiokoyamagallery.com/
港区,海岸一丁目,-,東京都港区海岸1-15-1,35.65305,139.760617,YOKOTA TOKYO,http://www.artbook-tph.com/syg/exhibition.html
港区,六本木六丁目,六本木,東京都港区六本木6-4-1 六本木ヒルズ ハリウッドビューティープラザ 3F,35.661407,139.730038,ユミコチバアソシエイツ,http://www.ycassociates.co.jp/
江東区,新砂一丁目,-,東京都江東区新砂1-1-1 竹中工務店東京本店1F,35.668785,139.81994,Gallery A4,http://www.a-quad.jp
江東区,白河四丁目,-,東京都江東区白河4-7-6 白河和楽ビル 1F,35.683577,139.809176,KANA KAWANISHI GALLERY,http://www.kanakawanishi.com/
江東区,平野三丁目,-,東京都江東区平野3-3-6,35.6774,139.805623,アンドーギャラリー,http://www.andogallery.co.jp
江東区,白河三丁目,-,東京都江東区白河3-18-8 第二杉田ビル1F,35.683455,139.804426,Satoko Oe Contemporary,http://www.satokooe.com/
江東区,三好二丁目,-,東京都江東区三好2-8-5 RF（5F屋上）,35.680097,139.802717,LONGY,https://www.longymagazine.com/
江東区,三好一丁目,-,東京都江東区三好1-4-16,35.679486,139.801063,ギャラリー・コピス,http://www.g-kopis.com
江東区,平野一丁目,-,東京都江東区平野1-7-9,35.67862,139.798785,清澄アートギャラリー,http://www.kiyosumi-ag.com/
江東区,清澄三丁目,-,東京都江東区清澄3-7-4,35.682474,139.79841,SAKuRA GALLERY,http://kiyosumi-gallery.sakura.ne.jp/
江東区,清澄二丁目,-,東京都江東区清澄2-6-12,35.681613,139.796835,ondo STAY&EXHIBITION,http://store.ondo-info.net/feature/5565/
江東区,常盤一丁目,-,東京都江東区常盤1-13-6 1F,35.685127,139.795717,HAGIWARA PROJECTS（ハギワラプロジェクツ）,http://www.hagiwaraprojects.com/
江東区,清澄二丁目,-,東京都江東区清澄2-4-7,35.681353,139.795563,HARMAS GALLERY,http://harmas.fabre-design.com/
江東区,門前仲町一丁目,-,東京都江東区門前仲町1-19-15,35.674072,139.794853,深川東京モダン館,http://www.fukagawatokyo.com/
江東区,常盤一丁目,-,東京都江東区常盤1-1-1 2F,35.68391,139.794002,深川番所,http://gallery.kawaban.net/
江東区,清澄一丁目,-,東京都江東区清澄1-3-2-5F,35.681349,139.793455,ミヤケファインアート,http://www.miyakefineart.com/
中央区,日本橋浜町三丁目,-,東京都中央区日本橋浜町3-33-7 1F,35.685913,139.790224,マリー ギャラリー,http://mariegallery.com/home_j.html
中央区,東日本橋二丁目,-,東京都中央区東日本橋2-1-6 岩田屋ビル3F,35.691914,139.785187,CSデザインセンター,http://www.csdc.jp/
