指標名,病院・診療所・クリニック,,,,,,,
出典,病院なび,,,,,,,
年次,2023/2/12取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：6,158件、2021年度：6,304件、2022年度：6,543件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町4-1 ニューオータニガーデンコート1F,35.55686,139.42688,医療法人社団珠光会 HASUMI免疫クリニック,内科,https://byoinnavi.jp/clinic/182417
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目64-8 DAIWA笹塚ビル2F,35.672608,139.661903,医療法人布川会 笹塚・代田橋透析クリニック,内科、腎臓内科、循環器内科、人工透析内科,https://byoinnavi.jp/clinic/180515
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚二丁目25-6 レジディア笹塚Ⅱ 1F,35.673436,139.662787,おおむらファミリー歯科,歯科、矯正歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/257478
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目60-3,35.672971,139.663948,小暮眼科医院,眼科,https://byoinnavi.jp/clinic/10113
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目31-2,35.674601,139.664261,小山歯科医院,歯科,https://byoinnavi.jp/clinic/11684
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目19-2 TSK笹塚ビル7階,35.674115,139.665335,高橋メンタルクリニック,精神科,https://byoinnavi.jp/clinic/5796
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目59-10 ACT SOHO KEIO笹塚2F,35.673577,139.665412,稲冨歯科医院,歯科,https://byoinnavi.jp/clinic/11670
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目18-2 ガーラ笹塚駅前101号,35.674277,139.665714,永瀬医院,耳鼻いんこう科、気管食道科,https://byoinnavi.jp/clinic/5792
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目16-4 アンディーラニ笹塚1F,35.674338,139.665972,医療法人社団基豊会 笹塚田中クリニック,内科、消化器科、胃腸科,https://byoinnavi.jp/clinic/5670
渋谷区,笹塚三丁目,-,東京都渋谷区笹塚3丁目58-18,35.678122,139.666056,篠原歯科医院,歯科,https://byoinnavi.jp/clinic/12372
渋谷区,笹塚三丁目,-,東京都渋谷区笹塚3丁目58-18,35.678116,139.666072,篠原クリニック,内科、性病科、婦人科,https://byoinnavi.jp/clinic/128
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目58-7,35.673814,139.666089,笹塚あんず歯科,歯科,https://byoinnavi.jp/clinic/282569
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目16-2 ASP笹塚ビル5階,35.674373,139.666368,小島クリニック,内科、整形外科、麻酔科,https://byoinnavi.jp/clinic/3856
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-30-3 ビラージュ笹塚Ⅲ5階,35.673055,139.666461,フィットクリニック 渋谷笹塚院,皮膚科、泌尿器科,https://byoinnavi.jp/clinic/275802
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚一丁目30-3 ビラージュ笹塚Ⅲ2階,35.673055,139.666461,笹塚駅前あだちデンタルクリニック,歯科、矯正歯科、小児歯科,https://byoinnavi.jp/clinic/274238
渋谷区,笹塚一丁目,-,東京都渋谷区東京都渋谷区笹塚1-30-3 ピラージュ笹塚Ⅲ 4階,35.673055,139.666461,渋谷笹塚HDクリニック,人工透析内科,https://byoinnavi.jp/clinic/254943
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目30-3 ビラージュ笹塚Ⅲ 4F,35.673055,139.666461,東クリニック,内科、婦人科,https://byoinnavi.jp/clinic/5635
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目30-3 ビラージュ笹塚Ⅲ6F,35.673055,139.666461,医療法人社団ピクシス ノリメディカルクリニック笹塚南,内科、アレルギー科、心療内科,https://byoinnavi.jp/clinic/5571
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目30-11 中村ビル3F,35.673203,139.666597,医療法人社団賛州会 藤岡医院,内科、循環器科、皮膚科,https://byoinnavi.jp/clinic/5642
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目57-5 松吉ビル2・3F,35.673693,139.666661,菅原歯科,歯科,https://byoinnavi.jp/clinic/11667
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目57-5 2F,35.673693,139.666661,医療法人社団 松吉医院,内科、アレルギー科、小児科、皮膚科、呼吸器内科,https://byoinnavi.jp/clinic/5782
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目31-11 ビラージュ笹塚1F,35.67276,139.66673,上田矯正歯科クリニック,矯正歯科,https://byoinnavi.jp/clinic/122837
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目31-11 ビラージュ笹塚I-101,35.67276,139.66673,医療法人社団澤池会 坂本クリニック,内科、小児科,https://byoinnavi.jp/clinic/10109
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目32-13 ビハーラ1F,35.671707,139.666829,医療法人社団早真会 村上歯科クリニック,歯科,https://byoinnavi.jp/clinic/154714
渋谷区,笹塚三丁目,-,東京都渋谷区笹塚3丁目13-8 エーデルハイム1F,35.677496,139.667045,こんの歯科クリニック,歯科、小児歯科、歯科口腔外科,https://byoinnavi.jp/clinic/11650
渋谷区,笹塚三丁目,-,東京都渋谷区笹塚3丁目39-6,35.678141,139.667246,平野歯科医院,歯科、小児歯科,https://byoinnavi.jp/clinic/12472
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目56-6 クレセントプラザ笹塚40A,35.674194,139.667434,桧垣歯科医院,歯科,https://byoinnavi.jp/clinic/11675
渋谷区,笹塚三丁目,-,東京都渋谷区笹塚3丁目18-8 板垣ビル2F,35.677122,139.667481,板垣医院,内科、内分泌内科、糖尿病内科,https://byoinnavi.jp/clinic/11698
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-56-6-90A クレセントプラザ笹塚9F,35.674155,139.667512,岡本クリニック,精神科、心療内科,https://byoinnavi.jp/clinic/5569
渋谷区,笹塚三丁目,-,東京都渋谷区笹塚3-17-4 にしのビル201,35.676855,139.667672,あさがおクリニック,内科,https://byoinnavi.jp/clinic/281236
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目41-1 三橋ビル1F,35.675436,139.667945,笹塚清水眼科,眼科,https://byoinnavi.jp/clinic/258549
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目44-5 KSビル1階,35.676055,139.667967,医療法人社団 みのん歯科医院,歯科、矯正歯科,https://byoinnavi.jp/clinic/11661
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1-56-10 笹塚総栄ビル2F,35.674289,139.667975,ささづか駅前おはな診療所,耳鼻いんこう科、内科,https://byoinnavi.jp/clinic/271288
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚一丁目56-10 メディパーク笹塚2階,35.674289,139.667975,笹塚ひかり眼科,眼科,https://byoinnavi.jp/clinic/273383
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目56-10,35.674289,139.667975,笹塚駅前こたろ形成皮ふ科クリニック,形成外科、美容外科、皮膚科、美容皮膚科,https://byoinnavi.jp/clinic/273384
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目12-15-201,35.67515,139.667978,あきらクリニック,内科、アレルギー科、小児科、皮膚科,https://byoinnavi.jp/clinic/5786
渋谷区,笹塚一丁目,-,東京都渋谷区笹塚1丁目22-1,35.673161,139.668089,医療法人社団RMC 笹塚RMCクリニック,内科、整形外科、リハビリテーション科,https://byoinnavi.jp/clinic/180539
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目10-4 Y笹塚ビル2F,35.675314,139.668209,医療法人社団拓研会 岩瀬内科循環器科クリニック,内科、循環器科,https://byoinnavi.jp/clinic/5637
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目10-4 Y笹塚メディカルビル2F,35.675422,139.668211,医療法人社団広士会 陣内耳鼻咽喉科クリニック,耳鼻いんこう科、漢方内科,https://byoinnavi.jp/clinic/5787
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目10-4 メディカルビル 3F,35.675419,139.668228,和田整形外科クリニック,整形外科、リウマチ科、リハビリテーション科,https://byoinnavi.jp/clinic/5659
渋谷区,笹塚二丁目,-,東京都渋谷区笹塚2丁目10-5 エポックG2 101号,35.675516,139.668228,つじ醫院,皮膚科,https://byoinnavi.jp/clinic/11695
