指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2023/3/21,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,（2020年度：340件、2021年度：343件、2022年度：344件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用金額,URL
新宿区,神楽坂六丁目,-,東京都新宿区神楽坂6-48 TOMOSビルB1F,35.703351,139.736116,KGRN ･ KAGURANE[Kagurazaka],クラブ,Ambient ･ Minimal ･ Deep House ･ Techno,03-6265-3523,※イベントごとに変動,不定,80～100名,2500円～,https://kagurane.com/
港区,高輪四丁目,-,東京都港区高輪4-10-30 品川プリンスホテルメインタワー39F,35.627601,139.73672,TABLE 9 TOKYO[Shinagawa],レストラン (NINE BAR: DJバー),Lounge Music ･ House ･ Techno ･ Jazz ･ Disco ･ Soul ･ Black Music,03-5421-1114 ※代表,ナインバー: 17:00-04:00(DJタイム: 火-土 21:00-23:45),無し,48席,"6,000円～エントランス: 2,000円～",https://www.princehotels.co.jp/shinagawa/restaurant/contents/table9tokyo/ninebar/
渋谷区,神宮前六丁目,-,東京都渋谷区神宮前6-28-6 キュープラザ原宿10F-11F,35.667036,139.70407,Sankeys PENTHOUSE[Harajuku],バーラウンジ,TechHouse ･ BassMusic ･ House ･ Techno ･ Disco ･ Electronic ･ HipHop ･ etc.,03-6419-7531,12:00-24:00,無し,150席面積: 約260平米 (10階 150平米 / 11階 110平米),"3,500円～エントランス: 無料～1000円 (目安)",https://sankeyspenthouse.com/
品川区,東五反田一丁目,-,東京都品川区東五反田1-11-5 バルミー五反田B1F,35.627232,139.725688,VRAIMENT[Gotanda],クラブバー,Allmix ･ Others,03-6456-4459,19:00-05:00,不定休,40名前後,基本的にエントランス無料ドリンク 600円～,http://vraiment-tokyo.com/
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-5-1 新丸ビル7F,35.682664,139.764224,marunouchi HOUSE[Marunouchi],レストランフロア,Jazz ･ Disco ･ 80s ･ Lounge ･ HipHop ･ House ･ Techno ･ Allmix ･ Live ･ Others,03-5218-5100,11:00-04:00 / 日･祝 11:00-23:00,不定休 (新丸の内ビルディングの営業日に準ずる),ソータイアード: 108席文史郎: 91席来夢来人: 33席ソバキチ: 42席リゴレット: 108席現バー: 38席ヘンリーグッドセブン: 50席ムスムス: 38席沢村: 58席,"店により異なる(夜: 大方4,000円前後)",http://www.marunouchi-house.com/
中央区,八丁堀三丁目,-,東京都中央区八丁堀3-22-9 B1F,35.674784,139.777244,SOUND&BAR HOWL[Hatchobori],バー ･ イベント会場,Allmix ･ 80s ･ 90s ･ Trance ･ Techno ･ Disco,03-5541-3329,18:00-24:00 ※イベントによっては変動,無休,19席 / 立 40名前後,3000円 ※日によりエントランス料が発生する場合有,-
新宿区,西早稲田二丁目,-,東京都新宿区西早稲田2-1-19 YKビルB1F,35.706508,139.71746,音楽喫茶 茶箱[Waseda],カフェバー,Techno ･ House ･ Others ･ Live ･ Electronic ･ A-POP,03-5272-7385,18:30-23:30 ※日により変動貸切可能: 平日18:00-24:00 / 土･日･祝14:00-24:00,月,40人,2000円～,http://sabaco.jp/
渋谷区,代々木二丁目,-,東京都渋谷区代々木2-26-2 第二桑野ビル1-C,35.685243,139.699304,Spincoaster Music Bar[Yoyogi],バー,BlackMusic ･ All Genre ･ Disco ･ POPs ･ ChillOut ･ House ･ HipHop ･ etc.,03-6300-9211,19:00-02:00,日 (貸切は可能),17席,2500円 (チャージ700円),https://bar.spincoaster.com/
千代田区,神田佐久間河岸,-,東京都千代田区神田佐久間河岸55 ASビルB1F,35.69718,139.776362,CLUB GOODMAN[Akihabara],ライブハウス,All Genre ･ POPs ･ Rock ･ Acoustic ･ Folk ･ Live ･ Others,03-3862-9010,※開始は日程より異なる貸切対応 10:00-22:00,無休,230人,-,-
新宿区,早稲田町,-,東京都新宿区早稲田町74 オアシスビルB1F,35.705764,139.722813,RiNen[Waseda],ライブハウス,Acoustic ･ Folk ･ POPs ･ Rock ･ Others,03-6273-8832,公演開始時間は日により変動(貸切: 平日 15:00-22:00 / 土･日･祝 10:00-22:00),-,-,3000円～,http://waseda-rinen.com/
