指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2023/2/10取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件、2022年度：728件,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,ポート名,緯度,経度,休止・再開・閉鎖情報,営業時間・備考
千代田区,九段南一丁目,-,東京都千代田区九段南1-2-1,A1-01.千代田区役所 /?Chiyoda City Office,35.694002,139.753634,-,営業時間 24時間 / Open for 24 hours
千代田区,飯田橋三丁目,-,東京都千代田区飯田橋3-5-1,A1-03.東京区政会館（メトロA5出口） /?Tokyo Kusei Kaikan building(Metro A5 Exit),35.70151,139.747173,-,営業時間 24時間 / Open for 24 hours
千代田区,飯田橋三丁目,-,東京都千代田区飯田橋3-5-1,A1-04.東京区政会館（西側駐輪場） /?Tokyo Kusei Kaikan building(Western parking lot),35.70151,139.747173,-,営業時間 24時間 / Open for 24 hours
千代田区,富士見一丁目,-,東京都千代田区富士見1-6-7,"A1-05.富士見出張所 /?Chiyoda Ward Office,Fujimi Branch",35.699115,139.746373,-,営業時間 24時間 / Open for 24 hours
千代田区,富士見二丁目,-,東京都千代田区富士見2-10-2飯田橋グラン・ブルーム　サクラテラス,A1-08.飯田橋サクラテラス（早稲田通り） / IIDABASHI SAKURA TERRACE (Waseda street),35.699035,139.743801,-,営業時間 24時間 / Open for 24 hours
千代田区,九段北一丁目,-,東京都千代田区九段北1-13-5,A1-10.ヒューリック九段ビル /?Hulic Kudan Building,35.69633,139.750523,-,営業時間 24時間 / Open for 24 hours
千代田区,九段北一丁目,-,東京都千代田区九段北1-13-12,A1-12.北の丸スクエア / KITANOMARU SQUARE,35.69576,139.750731,-,営業時間 24時間 / Open for 24 hours
千代田区,富士見一丁目,-,東京都千代田区富士見1-10-3,A1-15.富士見みらい館 / Fujimi Mirai-kan Hall,35.697316,139.74622,-,営業時間 24時間 / Open for 24 hours
千代田区,九段南一丁目,-,東京都千代田区九段南1-1地先,A1-17.雉子橋集積所 / Kijibashi Shusekijo,35.693218,139.755146,-,営業時間 24時間 / Open for 24 hours
千代田区,九段北一丁目,-,東京都千代田区九段北1-1-4,A1-18.東京区政会館別館(特別区研修所) / Tokyo Kusei Kaikan building Annex (Special Ward Training Center),35.69612,139.752411,-,営業時間 24時間 / Open for 24 hours
