指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/17 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：423件、2021年度：912件、2022年度：959件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,神田相生町,-,東京都千代田区神田相生町1 秋葉原センタープレイスビルB1,jump one Akihabara(ジャンプワン秋葉原),スポーツクラブ/フィットネスクラブ,35.699291,139.773958
千代田区,内神田二丁目,-,東京都千代田区内神田2-1-8,千代田区立スポーツセンター,スポーツ施設/運動公園,35.689136,139.767684
千代田区,五番町,-,東京都千代田区五番先,外濠公園総合グラウンド,スポーツ施設/運動公園,35.689718,139.733908
千代田区,内神田一丁目,-,東京都千代田区内神田1-8-1 三井ビル 1F,ラフィネ ランニングスタイル神田店,スポーツ施設/運動公園,35.690123,139.766677
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-5-2 三菱ビル地下 1F,ASICS RUN TOKYO MARUNOUCHI(アシックス ラン トウキョウマルノウチ),スポーツクラブ/フィットネスクラブ,35.679879,139.7638
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町1-2-2 日比谷シャンテ別館B1-B2階,メガロス日比谷シャンテ,スポーツクラブ/フィットネスクラブ,35.673128,139.759877
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-9-2 大手町フィナンシャルシティ グランキューブ B1F,SPA大手町FITNESS CLUB,スポーツクラブ/フィットネスクラブ,35.688405,139.764749
千代田区,皇居外苑,-,東京都千代田区皇居外苑,パレスサイクリングコース,スポーツ施設/運動公園,35.679628,139.758819
千代田区,神田相生町,-,東京都千代田区相生町1 センタープレイスビル B1F,BurnesStyle AKIHABARA(バーネススタイル アキハバラ),スポーツクラブ/フィットネスクラブ,35.699291,139.773958
千代田区,神田神保町一丁目,-,東京都千代田区神田神保町1-4日商第一ビル2F,神保町ゴルフスクール,ゴルフ練習場,35.696315,139.759737
千代田区,内神田一丁目,-,東京都千代田区内神田1-13-1 豊島屋ビル B2F,BOULCOM(ボルコム) 東京店,スポーツクラブ/フィットネスクラブ,35.691033,139.765168
千代田区,神田岩本町,-,東京都千代田区岩本町1-6-3 プライム岩本町ビル 1F,エニタイムフィットネス 千代田岩本町店,スポーツクラブ/フィットネスクラブ,35.696151,139.775072
千代田区,外神田二丁目,-,東京都千代田区外神田2-5-12 タカラビル1F-B1,エニタイムフィットネス 秋葉原店,スポーツクラブ/フィットネスクラブ,35.700219,139.768982
千代田区,飯田橋一丁目,-,東京都千代田区飯田橋1-12-12 九段大和エステート 1-3F,エニタイムフィットネス 九段下店,スポーツクラブ/フィットネスクラブ,35.698456,139.748937
千代田区,麹町四丁目,-,東京都千代田区麹町4-8 麹町クリスタルシティ 1F,エニタイムフィットネス 麹町店,スポーツクラブ/フィットネスクラブ,35.684453,139.737141
千代田区,内神田一丁目,-,東京都千代田区内神田1-15-2 神田オーシャンビル B1F,エニタイムフィットネス 内神田店,スポーツクラブ/フィットネスクラブ,35.691586,139.765787
千代田区,六番町,-,東京都千代田区六番町13番地2 桃園学園ビル,ゴールドジム 四ツ谷東京,スポーツクラブ/フィットネスクラブ,35.686236,139.732112
千代田区,神田和泉町,-,東京都千代田区神田和泉町1-8-2 八木ビル102,ファイトフィット秋葉原,スポーツクラブ/フィットネスクラブ,35.699687,139.77705
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-6-1 Marunouchi BRICK SQUARE 4F,TIPNESS MARUNOUCHI STYLE(ティップネスマルノウチスタイル),スポーツクラブ/フィットネスクラブ,35.678881,139.76272
千代田区,富士見二丁目,-,東京都千代田区富士見2-10-2 飯田橋グラン・ブルーム サクラテラス 1F,セントラルスポーツ ジムスタ 飯田橋サクラテラス,スポーツクラブ/フィットネスクラブ,35.698979,139.743628
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2-13-10 プルデンシャルタワー2F,スポーツクラブNAS 赤坂店,スポーツクラブ/フィットネスクラブ,35.675921,139.738578
千代田区,内神田二丁目,-,東京都千代田区内神田2-10-7 プレミアステージ内神田2F,ジムセントラル24神田,スポーツクラブ/フィットネスクラブ,35.691128,139.767868
千代田区,内神田一丁目,-,東京都千代田区内神田1-11-4 藤吉ビル B1,NGCニューゴルフクリニック,ゴルフ練習場,35.691001,139.766027
千代田区,神田駿河台二丁目,-,東京都千代田区神田駿河台2-10-6 VORT御茶ノ水 BF,Private Practice Range(プライベート プラクティス レンジ),ゴルフ練習場,35.698887,139.764124
千代田区,岩本町一丁目,-,東京都千代田区岩本町1-9-1 アイアンビルヂング 5F,ボクシングスタジオTRINITY(トリニティ),スポーツクラブ/フィットネスクラブ,35.692547,139.777379
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-6-1 丸の内センタービルディング1F,Bridgestone Golf Garden Tokyo(ブリヂストンゴルフガーデン東京),ゴルフ練習場,35.684079,139.765864
千代田区,神田東紺屋町,-,東京都千代田区神田東紺屋町30 サンハイツ神田キタムラビル3F,24/7Workout 秋葉原・神田店,スポーツクラブ/フィットネスクラブ,35.693029,139.774564
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-8-2 鉄鋼ビルディング南館5F,THE JEXER TOKYO Annex(ジェクサートウキョウアネックス),スポーツクラブ/フィットネスクラブ,35.682273,139.769801
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-8-1 KDDI大手町ビル2F,ゴルフテック 大手町,ゴルフ練習場,35.687792,139.764329
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町7-1,上智大学真田堀運動場,スポーツ施設/運動公園,35.684196,139.732754
千代田区,西神田一丁目,-,東京都千代田区内神田2-3-9 翔和第7神田ビル B1,Body Produce AXIS 大手町店,スポーツクラブ/フィットネスクラブ,35.699467,139.756524
千代田区,外神田六丁目,-,東京都千代田区外神田6-14-8,ヨガ教室ノア 秋葉原校,スポーツクラブ/フィットネスクラブ,35.703467,139.771538
千代田区,一ツ橋一丁目,-,東京都千代田区一ツ橋1-1-1 パレスサイドビル1F,Run Pit by au Smart Sports(ランピット バイ エーユー スマート スポーツ),スポーツ施設/運動公園,35.690919,139.757461
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2,SPA & FITNESS KIOI(スパ アンド フィットネス キオイ),スポーツクラブ/フィットネスクラブ,35.679993,139.737936
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-5,SPORTS STATION Hibiya Park(スポーツ ステーション ヒビヤ パーク),スポーツ施設/運動公園,35.672372,139.754008
千代田区,神田駿河台四丁目,-,東京都千代田区神田駿河台4-3 お茶の水サンクレール 1F,Dr.stretch(ドクター ストレッチ) お茶の水店,スポーツクラブ/フィットネスクラブ,35.699082,139.764849
千代田区,神田須田町一丁目,-,東京都千代田区神田須田町1-18 5F,体育・スポーツ家庭教師ファースト 東京本社,スポーツスクール/体験,35.696034,139.769681
千代田区,九段南四丁目,-,東京都千代田区九段南4-3-13 麹町秀永ビル B1F,クラヴマガ 市ヶ谷トレーニングセンター,スポーツクラブ/フィットネスクラブ,35.691761,139.740115
千代田区,一番町,-,東京都千代田区一番町6-8 B1F,GOLF FUNP(ゴルフ ファンプ),ゴルフ練習場,35.687546,139.741799
千代田区,外神田五丁目,-,東京都千代田区外神田5-1-10 千住ビル B1-4F,1/3rd Fitness(ワンサード フィットネス) 秋葉原店,スポーツクラブ/フィットネスクラブ,35.703445,139.772377
千代田区,内幸町一丁目,-,東京都千代田区内幸町1-1-6 NTT日比谷ビル B1F,ARスポーツセンター HADO ARENA(ハドーアリーナ) 日比谷店,スポーツクラブ/フィットネスクラブ,35.671302,139.757358
千代田区,神田花岡町,-,東京都千代田区神田花岡町1-1 ヨドバシカメラマルチメディアAkiba 9F,Akiba Golf Studio(アキバゴルフスタジオ),ゴルフ練習場,35.698975,139.774692
千代田区,神田三崎町二丁目,-,東京都千代田区三崎町2-6-6 光建ビル 3-5F,格闘技ジム アカデミア・アーザ,スポーツクラブ/フィットネスクラブ,35.700232,139.753878
千代田区,神田小川町二丁目,-,東京都千代田区神田小川町2-4-6 OUTDOOR PLAZA 5F,RDC BASE(アールディーシ- ベ-ス) 神田小川町店,スポーツ施設/運動公園,35.694618,139.76432
千代田区,富士見二丁目,-,東京都千代田区富士見2-4-9 千代田富士見スカイマンション 209,Y personal training gym(ワイ パーソナル トレーニング ジム) ワイジム,スポーツクラブ/フィットネスクラブ,35.6998,139.745943
千代田区,神田三崎町二丁目,-,東京都千代田区神田三崎町2-17-9 ACN水道橋駅前ビル B1F,ACN GOLF RANGE(エーシーエヌ ゴルフ レンジ) 水道橋,ゴルフ練習場,35.701358,139.753379
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-5-1 新丸の内ビルディング(新丸ビル)B1F,MARUNOUCHI Bike&Run(マルノウチ バイクアンドラン),スポーツクラブ/フィットネスクラブ,35.682621,139.764244
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-10-1 東京交通会館 1F,STEPGOLF PREMIUM YURAKUCHO(ステップゴルフ プレミアム ユウラクチョウ),ゴルフ練習場,35.67489,139.764331
千代田区,六番町,-,東京都千代田区六番町1-7,MTX ACADEMY(アカデミー),スポーツクラブ/フィットネスクラブ,35.68761,139.734687
千代田区,麹町二丁目,-,東京都千代田区麹町2-8-5 麹町285ビル B1F,キャピタルゴルフレンジ,ゴルフ練習場,35.685051,139.740195
千代田区,神田岩本町,-,東京都千代田区神田岩本町1-1 岩本町ビル 3F,Bodyke(ボディーク) 秋葉原本店,スポーツクラブ/フィットネスクラブ,35.696151,139.775072
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2-1-3 BP秋葉原ビル 2F,パーソナルトレーニングジムREAL WORKOUT(リアルワークアウト) 秋葉原・神田店,スポーツクラブ/フィットネスクラブ,35.695848,139.773734
千代田区,神田神保町一丁目,-,東京都千代田区神田神保町1-103 東京パークタワー1F,LoungeRange(ラウンジレンジ) 神保町,ゴルフ練習場,35.694206,139.759218
