指標名,スーパー,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：458件、2021年度：532件、2022年度：523件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,富士見二丁目,-,東京都千代田区富士見2-7-1 プラウドタワー1F,三徳飯田橋店,その他スーパー,35.700654,139.744586
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-9-1 東京駅構内・GRANSTA MARUNOUCHI B1F,紀ノ国屋アントレ グランスタ丸の内店,その他スーパー,35.681864,139.766912
千代田区,神田和泉町,-,東京都千代田区神田和泉町2-13,ライフ 神田和泉町店,その他スーパー,35.69987,139.780145
千代田区,神田錦町二丁目,-,東京都千代田区神田錦町2丁目2-1,サミットストア神田スクエア店,その他スーパー,35.693125,139.763204
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町1-10-1 有楽町ビル 1F,有楽町 micro FOOD&IDEA MARKET(マイクロ フード アンド アイデア マーケット),その他スーパー,35.674941,139.761617
千代田区,九段南三丁目,-,東京都千代田区九段南3-3-4 ニューライフビル,まいばすけっと 九段南3丁目店,その他スーパー,35.691748,139.741871
千代田区,神田多町二丁目,-,東京都千代田区神田多町2-1 神田東山ビル,まいばすけっと 神田駅北口店,その他スーパー,35.692843,139.769441
千代田区,神田佐久間町三丁目,-,東京都千代田区神田佐久間町3-21-5 東神田ビル,まいばすけっと 神田佐久間町店,その他スーパー,35.698048,139.778687
千代田区,岩本町二丁目,-,東京都千代田区岩本町2-12-5 早川トナカイビル,まいばすけっと 岩本町2丁目店,その他スーパー,35.694392,139.77659
千代田区,神田神保町二丁目,-,東京都千代田区神田神保町2-44,マルエツ プチ 神田神保町二丁目店,その他スーパー,35.696807,139.756583
千代田区,神田神保町二丁目,-,東京都千代田区神田神保町2-40-5 東久ビル,まいばすけっと 神田神保町店,その他スーパー,35.69783,139.75547
千代田区,外神田六丁目,-,東京都千代田区外神田6-13-11ミクニビル,まいばすけっと 末広町駅前店,その他スーパー,35.703173,139.770759
千代田区,神田東松下町,-,東京都千代田区神田東松下町25 アルファグランデ千桜タワー,まいばすけっと 岩本町駅南店,その他スーパー,35.694805,139.774427
千代田区,内神田一丁目,-,東京都千代田区内神田1-18-14 ヨシザワビル,まいばすけっと 神田駅西店,その他スーパー,35.691497,139.767011
千代田区,神田神保町一丁目,-,東京都千代田区神田神保町1-103東京パークタワー,まいばすけっと 神保町駅前店,その他スーパー,35.694206,139.759218
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-5-1 新丸の内ビルB1F,成城石井 新丸ビル店,その他スーパー,35.682593,139.763977
千代田区,九段北一丁目,-,東京都千代田区九段北1-4-5北の丸グラスゲート,まいばすけっと 九段北1丁目店,その他スーパー,35.696557,139.751451
千代田区,岩本町三丁目,-,東京都千代田区岩本町3-5-5 岩本町3丁目ビル,まいばすけっと 岩本町3丁目店,その他スーパー,35.695688,139.777938
千代田区,神田鍛冶町三丁目,-,東京都千代田区神田鍛冶町3-7-4 ユニゾ神田鍛冶町3丁目ビル,まいばすけっと 神田鍛冶町店,その他スーパー,35.693192,139.77042
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町 紀尾井テラス2F,成城石井 東京ガーデンテラス紀尾井町店,その他スーパー,35.679274,139.737082
千代田区,五番町,-,東京都千代田区五番町10-2 五番町センタービル1F,成城石井 市ケ谷店,その他スーパー,35.689393,139.734983
千代田区,外神田一丁目,-,東京都千代田区外神田1-17-6 アトレ秋葉原1 3F,成城石井 アトレ秋葉原1店,その他スーパー,35.698476,139.772526
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-5-1 ルミネ有楽町店ルミネ2 B1F,成城石井 SEIJO ISHII ルミネ有楽町2店,その他スーパー,35.673633,139.763746
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-9-1,成城石井 グランゲート東京駅店,その他スーパー,35.67987,139.767515
