指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,
出典,The Tabelog Award 2023,,,,,,,,,,,,,
年次,2023年,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,
備考,（2019年度：275件、2020年度：208件、2021年度：211件、2022年度：147件）　※前年のThe Tabelog Award 2021では全536店舗受賞のうち、211店舗が対象。今年の2023では、全470店舗受賞のうち、147店舗が対象。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,受賞・選出歴,星数,口コミ数,夜予算,昼予算,URL
港区,西麻布三丁目,-,東京都港区西麻布3-21-3 オリンピアード麻布霞坂 2F,35.66005,139.72527,蒼,イノベーティブ・フュージョン / 東京,GOLD,2023年Gold受賞店 The Tabelog Award 2023 Gold 受賞店 2022年Silver受賞店 The Tabelog Award 2022 Silver 受賞店 2021年Silver受賞店 The Tabelog Award 2021 Silver 受賞店,4.5,268 件,4,-,https://tabelog.com/tokyo/A1307/A130701/13243463/
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1 三井2号館,35.68689,139.77250,アカ,スペイン料理 / 東京,GOLD,2023年Gold受賞店 The Tabelog Award 2023 Gold 受賞店 2022年Gold受賞店 The Tabelog Award 2022 Gold 受賞店 2021年Silver受賞店 The Tabelog Award 2021 Silver 受賞店,4.61,269 件,"￥60,000～￥79,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1302/A130202/13249117/
港区,赤坂三丁目,赤坂,東京都港区赤坂3-11-7 ソシアル赤坂ビル 4F,35.67457,139.73754,赤坂 詠月,日本料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 2017年Bronze受賞店 The Tabelog Award 2017 Bronze 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,4.06,292 件,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1308/A130801/13116523/
港区,赤坂六丁目,赤坂,東京都港区赤坂6-3-13,35.67089,139.73528,赤坂おぎ乃,日本料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,4.25,166 件,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1308/A130801/13245499/
港区,赤坂六丁目,赤坂,東京都港区赤坂6-13-8,35.66986,139.73415,赤坂 菊乃井,日本料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Bronze受賞店 The Tabelog Award 2018 Bronze 受賞店 2017年Bronze受賞店 The Tabelog Award 2017 Bronze 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,3.95,372 件,"￥20,000～￥29,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1308/A130801/13002514/
港区,赤坂三丁目,赤坂,東京都港区赤坂3-9-12 メトロビル 4F,35.67687,139.73624,赤坂 らいもん,焼肉・肉料理 / 東京,GOLD,2023年Gold受賞店 The Tabelog Award 2023 Gold 受賞店 2022年Silver受賞店 The Tabelog Award 2022 Silver 受賞店 2021年Silver受賞店 The Tabelog Award 2021 Silver 受賞店 2020年Silver受賞店 The Tabelog Award 2020 Silver 受賞店 焼肉 百名店 2022 選出店 食べログ 焼肉 TOKYO 百名店 2022 選出店 焼肉 百名店 2021 選出店 食べログ 焼肉 TOKYO 百名店 2021 選出店 焼肉 百名店 2020 選出店 食べログ 焼肉 TOKYO 百名店 2020 選出店 焼肉 百名店 2019 選出店 食べログ 焼肉 百名店 2019 選出店,4.43,318 件,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1308/A130801/13224635/
中央区,日本橋兜町,-,東京都中央区日本橋兜町1-4 M-SQUAREビル 1F,35.68274,139.77936,ASAHINA Gastronome,フレンチ / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 フレンチ 百名店 2021 選出店 食べログ フレンチ TOKYO 百名店 2021 選出店,4.19,317 件,"￥30,000～￥39,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1302/A130203/13227385/
港区,麻布十番二丁目,-,東京都港区麻布十番2-7-2 ローズハウス 1F,35.65594,139.73361,麻布 かどわき,日本料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,4.03,418 件,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1307/A130702/13001664/
港区,麻布十番一丁目,-,東京都港区麻布十番1-5-5 湯建麻布十番ビル 3F,35.65733,139.73294,麻布 幸村,日本料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Bronze受賞店 The Tabelog Award 2018 Bronze 受賞店 2017年Silver受賞店 The Tabelog Award 2017 Silver 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,4.02,151 件,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1307/A130702/13005316/
港区,麻布十番三丁目,-,東京都港区麻布十番3-7-5 マスコビル麻布弐番館 1F,35.65364,139.73505,麻布十番 ふくだ,日本料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Silver受賞店 The Tabelog Award 2019 Silver 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 2017年Silver受賞店 The Tabelog Award 2017 Silver 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,3.91,109 件,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1307/A130702/13174951/
中央区,湊三丁目,-,東京都中央区湊3-13-15,35.66994,139.77970,味ひろ,日本料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,4.25,132 件,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1313/A131301/13200027/
港区,六本木三丁目,六本木,東京都港区六本木3-8-8 ＷＯＯビル　１Ｆ,35.66332,139.73473,味満ん,魚介料理・海鮮料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Silver受賞店 The Tabelog Award 2022 Silver 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Silver受賞店 The Tabelog Award 2020 Silver 受賞店 2019年Silver受賞店 The Tabelog Award 2019 Silver 受賞店 2018年Silver受賞店 The Tabelog Award 2018 Silver 受賞店 2017年Silver受賞店 The Tabelog Award 2017 Silver 受賞店,4.32,226 件,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1307/A130701/13001332/
港区,西麻布二丁目,-,東京都港区西麻布2-24-7 西麻布MAビル 1F,35.66101,139.72181,AZUR et MASA UEKI,フレンチ / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 フレンチ 百名店 2021 選出店 食べログ フレンチ TOKYO 百名店 2021 選出店,3.92,324 件,"￥30,000～￥39,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1307/A130701/13206559/
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町1-9-4 蚕糸会館　Ｂ１Ｆ,35.67525,139.76111,アピシウス,フレンチ / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Bronze受賞店 The Tabelog Award 2018 Bronze 受賞店 2017年Bronze受賞店 The Tabelog Award 2017 Bronze 受賞店 フレンチ 百名店 2021 選出店 食べログ フレンチ TOKYO 百名店 2021 選出店,4.24,748 件,"￥40,000～￥49,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1301/A130102/13000145/
港区,南麻布二丁目,-,東京都港区南麻布2-10-13 OJハウス 101,35.64797,139.73588,いちかわ,寿司 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 寿司 百名店 2022 選出店 食べログ 寿司 TOKYO 百名店 2022 選出店 寿司 百名店 2021 選出店 食べログ 寿司 TOKYO 百名店 2021 選出店,4.02,163 件,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1316/A131602/13210722/
港区,南青山三丁目,-,東京都港区南青山3-4-6 AOYAMA346 101,35.66726,139.71726,いち太,日本料理 / 東京,BRONZE,2023年Bronze受賞店 The Tabelog Award 2023 Bronze 受賞店 2022年Bronze受賞店 The Tabelog Award 2022 Bronze 受賞店 2021年Bronze受賞店 The Tabelog Award 2021 Bronze 受賞店 2020年Bronze受賞店 The Tabelog Award 2020 Bronze 受賞店 2019年Bronze受賞店 The Tabelog Award 2019 Bronze 受賞店 2018年Bronze受賞店 The Tabelog Award 2018 Bronze 受賞店 2017年Bronze受賞店 The Tabelog Award 2017 Bronze 受賞店 日本料理 百名店 2023 選出店 食べログ 日本料理 TOKYO 百名店 2023 選出店 日本料理 百名店 2021 選出店 食べログ 日本料理 TOKYO 百名店 2021 選出店,3.98,237 件,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1306/A130603/13176396/
