指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件、2022年度：899件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2-10-5,日枝神社,神社,35.674551,139.740325
千代田区,九段北三丁目,-,東京都千代田区九段北3-1-1,靖国神社,神社,35.694305,139.742837
千代田区,富士見二丁目,-,東京都千代田区富士見2-4-1,東京大神宮,神社,35.700170,139.746642
千代田区,神田駿河台一丁目,-,東京都千代田区神田駿河台1-2-3,太田姫稲荷神社,神社,35.696538,139.763112
千代田区,外神田一丁目,-,東京都千代田区外神田1-6-1 外神田ビル,秋葉原神社,神社,35.699604,139.769315
千代田区,神田三崎町二丁目,-,東京都千代田区三崎町2-9-12,三崎稲荷神社,神社,35.701710,139.754367
千代田区,内神田一丁目,-,東京都千代田区内神田1-6-8,御宿稲荷神社,神社,35.689945,139.766605
千代田区,神田司町二丁目,-,東京都千代田区神田司町2-6,真徳稲荷神社,神社,35.693765,139.767883
千代田区,内神田三丁目,-,東京都千代田区内神田3-10-1,佐竹稲荷神社,神社,35.691170,139.769336
千代田区,平河町一丁目,-,東京都千代田区平河町1-7-5,平河天満宮,神社,35.682423,139.740794
千代田区,九段北一丁目,-,東京都千代田区九段北1-14-21,築土神社,神社,35.696047,139.749816
千代田区,神田小川町三丁目,-,東京都千代田区神田小川町3-9-1,五十稲荷神社,神社,35.695255,139.762013
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2-10,山王稲荷神社,神社,35.674653,139.739975
中央区,日本橋蛎殻町二丁目,-,東京都中央区日本橋蛎殻町2-4-1,水天宮,神社,35.683408,139.785258
中央区,日本橋小網町,-,東京都中央区日本橋小網町16-23,小網神社,神社,35.684178,139.780574
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-4-14,福徳神社 (芽吹稲荷),神社,35.687090,139.774111
中央区,佃一丁目,-,東京都中央区佃1丁目1-14,住吉神社,神社,35.668109,139.783271
中央区,湊一丁目,-,東京都中央区湊1-6-7,鉄砲洲稲荷神社,神社,35.672328,139.779875
中央区,銀座七丁目,-,東京都中央区銀座7-8-14,豊岩稲荷神社,神社,35.669035,139.762134
中央区,日本橋人形町二丁目,-,東京都中央区日本橋人形町2丁目25-20,末広神社,神社,35.686868,139.784110
中央区,日本橋浜町二丁目,-,東京都中央区日本橋浜町2丁目11-6,笠間稲荷神社東京別社,神社,35.688078,139.785318
中央区,日本橋人形町二丁目,-,東京都中央区日本橋人形町2-15-2,松島神社,神社,35.684749,139.785448
中央区,日本橋茅場町一丁目,-,東京都中央区日本橋茅場町1丁目6-16,日枝神社日本橋摂社,神社,35.680938,139.779047
中央区,日本橋堀留町一丁目,-,東京都中央区日本橋堀留町1-10-2,椙森神社,神社,35.688445,139.779676
中央区,日本橋兜町,-,東京都中央区日本橋兜町20-2,鳥居稲荷神社,神社,35.678649,139.776506
中央区,日本橋堀留町二丁目,-,東京都中央区日本橋堀留町2-1-13,三光稲荷神社,神社,35.687626,139.781603
中央区,日本橋人形町一丁目,-,東京都中央区日本橋人形町1-12-10,茶ノ木神社,神社,35.683912,139.783604
中央区,築地六丁目,-,東京都中央区築地6-20-37,波除稲荷神社,神社,35.663465,139.771557
中央区,新川一丁目,-,東京都中央区新川1-31-4,海渡稲荷神社,神社,35.675890,139.786096
中央区,日本橋本町三丁目,日八京,東京都中央区日本橋本町3-10,宝田神社,神社,35.689304,139.777010
中央区,銀座三丁目,-,東京都中央区銀座3-8-10,朝日稲荷神社,神社,35.671286,139.767225
中央区,日本橋本町一丁目,日八京,東京都中央区日本橋本町1-8,常磐稲荷神社,神社,35.685343,139.777908
中央区,八丁堀三丁目,-,東京都中央区八丁堀3-24-11,今村幸稲荷神社,神社,35.675074,139.777997
