指標名,観光地,,,,,,,,,,
出典,Tripadvisor,,,,,,,,,,
年次,2023/1/16 取得,,,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件、2021年度：1,925件、2022年度：1922件）",,,,,,,,,,
,,,,,,,,,,,
区,町丁目,エリア,住所,住所,緯度,経度,施設名,ジャンル,星,口コミ数,URL
千代田区,外神田四丁目,-,東京都千代田区外神田,東京都千代田区外神田,35.699265,139.77272,秋葉原,主要エリア,4,"4,437",https://www.tripadvisor.jp/Attraction_Review-g1066443-d321038-Reviews-Akihabara-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-9-1,東京都千代田区丸の内1-9-1,35.681553,139.765442,東京駅,旧跡 ? 名所・有名スポット ? 建築物,4,"4,240",https://www.tripadvisor.jp/Attraction_Review-g14129528-d550327-Reviews-Tokyo_Central_Railway_Station-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,北の丸公園,-,東京都千代田区北の丸公園1-1,東京都千代田区北の丸公園1-1,35.691498,139.747131,千鳥ヶ淵,名所・有名スポット,4.5,"1,202",https://www.tripadvisor.jp/Attraction_Review-g1066443-d1373705-Reviews-Chidorigafuchi-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,九段北三丁目,-,東京都千代田区九段北3-1-1,東京都千代田区九段北3-1-1,35.694138,139.743851,靖国神社,旧跡 ? 神社/寺院/教会など,4,"1,627",https://www.tripadvisor.jp/Attraction_Review-g1066443-d555799-Reviews-Yasukuni_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,千代田,-,東京都千代田区千代田1-1,東京都千代田区千代田1-1,35.68681,139.757431,皇居東御苑（旧江戸城本丸跡）,旧跡 ? 城 ? 庭園,4,"2,018",https://www.tripadvisor.jp/Attraction_Review-g1066443-d320625-Reviews-The_East_Gardens_of_the_Imperial_Palace_Edo_Castle_Ruin-Chiyoda_Tokyo_Tokyo_Prefe.html
千代田区,外神田二丁目,-,東京都千代田区外神田2‐16‐2,東京都千代田区外神田2‐16‐2,35.701923,139.767471,神田明神,神社/寺院/教会など ? 歴史博物館,4,826,https://www.tripadvisor.jp/Attraction_Review-g1066443-d561733-Reviews-Kanda_myoujin_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2-10-5,東京都千代田区永田町2-10-5,35.674698,139.739594,日枝神社,旧跡 ? 神社/寺院/教会など,4,671,https://www.tripadvisor.jp/Attraction_Review-g1066443-d545943-Reviews-Hie_Jinjya-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,千代田,-,東京都千代田区千代田1-1,東京都千代田区千代田1-1,35.684055,139.750793,皇居,名所・有名スポット ? 歴史散策地区 ? 建築物 ? 政府庁舎,4,"2,775",https://www.tripadvisor.jp/Attraction_Review-g1066443-d320050-Reviews-Imperial_Palace-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-6-2,東京都千代田区丸の内2-6-2,35.678528,139.763336,三菱一号館美術館,建築物 ? 美術館,4.5,436,https://www.tripadvisor.jp/Attraction_Review-g14129528-d1604472-Reviews-Mitsubishi_Ichigokan_Museum-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田神保町一丁目,-,東京都千代田区神田神保町,東京都千代田区神田神保町,35.695801,139.758774,神田神保町古書店街,主要エリア,4,461,https://www.tripadvisor.jp/Attraction_Review-g1066443-d605048-Reviews-Kanda_Jimbocho_Bookstore_Area-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3‐5‐1,東京都千代田区丸の内3‐5‐1,35.67709,139.764343,東京国際フォーラム,名所・有名スポット ? 建築物 ? コンベンションセンター,4,943,https://www.tripadvisor.jp/Attraction_Review-g14129528-d480630-Reviews-Tokyo_International_Forum-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,皇居外苑,-,東京都千代田区皇居外苑,東京都千代田区皇居外苑,35.676971,139.758682,皇居外苑,歴史散策地区 ? 公園,4,357,https://www.tripadvisor.jp/Attraction_Review-g1066443-d480627-Reviews-Kokyo_Gaien_National_Garden-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,富士見二丁目,-,東京都千代田区富士見2-4-1,東京都千代田区富士見2-4-1,35.699806,139.746704,東京大神宮,神社/寺院/教会など,4,452,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1367901-Reviews-Tokyo_Daijingu_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,北の丸公園,-,東京都千代田区北の丸公園,東京都千代田区北の丸公園,35.691792,139.750519,北の丸公園,旧跡 ? 公園,4,258,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1373694-Reviews-Kitanomaru_Park-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-7-1,東京都千代田区永田町1-7-1,35.675797,139.74501,国会議事堂,政府庁舎,4,404,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1373708-Reviews-National_Diet_Building-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,」,-,東京都千代田区北の丸公園2-3,東京都千代田区北の丸公園2-3,35.693161,139.749466,日本武道館,シアター ? アリーナ・スタジアム ? コンベンションセンター,4,338,https://www.tripadvisor.jp/Attraction_Review-g1066443-d553810-Reviews-Nippon_Budokan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,千代田,-,東京都千代田区千代田1-1,東京都千代田区千代田1-1,35.679928,139.754684,二重橋,旧跡 ? 名所・有名スポット ? 橋,4,338,https://www.tripadvisor.jp/Attraction_Review-g1066443-d479262-Reviews-Two_tiered_Bridge_Ni_ju_Bashi-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田駿河台四丁目,-,東京都千代田区神田駿河台4-1,東京都千代田区神田駿河台4-1,35.698025,139.765549,東京復活大聖堂 (ニコライ堂),旧跡 ? 名所・有名スポット ? 神社/寺院/教会など,4,237,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1373712-Reviews-Holy_Resurrection_Cathedral-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内２丁目５丸の内仲通り、２丁目,東京都千代田区丸の内2丁目5丸の内仲通り、2丁目,35.680092,139.762878,丸の内仲通り,名所・有名スポット,4,128,https://www.tripadvisor.jp/Attraction_Review-g14129528-d9565563-Reviews-Marunouchi_Naka_Street-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,千代田,-,東京都千代田区千代田１?１,東京都千代田区千代田1-1,35.685314,139.748444,皇居ランニングコース,眺めのよい散策エリア ? ジョギングコース,4,232,https://www.tripadvisor.jp/Attraction_Review-g1066443-d2441780-Reviews-Imperial_Palace_Running_Course-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町２丁目８?５,東京都千代田区有楽町2丁目8-5,35.674519,139.763199,有楽町歓楽街,主要エリア,4,420,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1899798-Reviews-Yurakucho_District-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
