,,,,,,,
指標名,銀行・ATM,,,,,,
出典,NAVITIME,,,,,,
年次,2024/01/12取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,(2021年度：3138件、2022年度：3155件、2023年度：3139件),,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2丁目7-1,三菱UFJ銀行本店,三菱UFJ銀行,35.6786678,139.7641407
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1丁目4-1,三井住友信託銀行本店営業部,その他銀行/地方/外国銀行,35.684707,139.765193
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-4-5 三菱UFJ信託銀行本店ビル,三菱UFJ信託銀行 本店,信託銀行,35.6835757,139.7647288
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-2-1 OTEMACHI ONE B1F,三井住友銀行三井物産ビル支店,三井住友銀行,35.6877019,139.76284
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1丁目2番,セブンイレブン AIM三井物産ビル店,セブンイレブン,35.6876366,139.7623328
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-7-2,東京中央郵便局(銀座郵便局JPタワー内分室) ゆうちょ銀行 本店,郵便局,35.6798453,139.7647288
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-6-1,丸の内センタービル内郵便局,郵便局,35.68415,139.765755
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2丁目2番1号,セブンイレブン 衆議院第一議員会館店,セブンイレブン,35.67465,139.7427389
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-3-2,三井住友銀行東館ライジング・スクエア,三井住友銀行,35.6812969,139.766426
千代田区,九段南四丁目,-,東京都千代田区九段南4-5-9,麹町郵便局,郵便局,35.6920181,139.740538
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-8-1,KDDI大手町ビル内郵便局,郵便局,35.6877166,139.7647687
千代田区,神田淡路町二丁目,-,東京都千代田区神田淡路町2-12,神田郵便局,郵便局,35.6978408,139.7687641
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3丁目2-2,セブンイレブン 丸の内二重橋ビル店,セブンイレブン,35.6780968,139.7611527
千代田区,霞が関一丁目,虎ノ門広域,東京都千代田区霞が関1-1-1,セブンイレブン 7FS中央合同庁舎6号館店,セブンイレブン,35.6764339,139.7550463
千代田区,三番町一丁目,-,東京都千代田区三番町1-16,セブンイレブン 千代田三番町店,セブンイレブン,35.6893658,139.7449289
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-5-5,みずほ銀行 丸の内中央支店,みずほ銀行,35.6855536,139.7653677
千代田区,神田小川町一丁目,-,東京都千代田区神田小川町1丁目1,みずほ銀行神田支店,みずほ銀行,35.6949121,139.7661664
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-9-6 大手町フィナンシャルシティ サウスタワー,日本政策投資銀行 本店,その他銀行/地方/外国銀行,35.687589,139.765773
千代田区,大手町二丁目,大丸有,東京都千代田区大手町2-6-4,セブンイレブン 常盤橋タワー3F店,セブンイレブン,35.684209,139.7706516
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1丁目2番,セブンイレブン Otemachi One タワ店,セブンイレブン,35.6876366,139.7623328
千代田区,神田駿河台二丁目,-,東京都千代田区神田駿河台2-5,中央労働金庫 本店営業部,労働金庫,35.7001957,139.7619459
千代田区,九段南三丁目,-,東京都千代田区九段南3-1-1,セブンイレブン 九段南大妻通り店,セブンイレブン,35.6922224,139.7434548
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-7-1,セブンイレブン 有楽町イトシア店,セブンイレブン,35.6741799,139.7638296
千代田区,内幸町二丁目,-,東京都千代田区内幸町2-1-6,セブンイレブン 日比谷パークフロント店,セブンイレブン,35.6708123,139.7536053
千代田区,二番町四丁目,-,東京都千代田区二番町4-3,セブンイレブン 麹町駅前店,セブンイレブン,35.6862771,139.7365026
千代田区,九段北一丁目,-,東京都千代田区九段北1-13-12,セブンイレブン 北の丸スクエア店,セブンイレブン,35.6957677,139.7505941
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-8-1,セブンイレブン KDDI大手町ビル店,セブンイレブン,35.6877166,139.7647687
千代田区,麹町六丁目,-,東京都千代田区麹町6丁目1-1,株式会社あおぞら銀行 本店,その他銀行/地方/外国銀行,35.6846554,139.7325513
千代田区,西神田三丁目,-,東京都千代田区西神田3-8-1,セブン銀行 千代田ファーストビル東館 共同出張所,セブン銀行ATM,35.6983994,139.7536683
千代田区,神田錦町一丁目,-,東京都千代田区神田錦町1-17-4,神田錦町郵便局,郵便局,35.6912273,139.7635508
千代田区,神田駿河台二丁目,-,東京都千代田区神田駿河台2丁目9-2,東京都信用金庫健康保険組合,信用金庫,35.7002979,139.7598771
千代田区,麹町三丁目,-,東京都千代田区麹町3-4,【無人ATM】りそな銀行 麹町日テレ通り出張所 無人ATM,りそな銀行,35.684524,139.737886
千代田区,神田小川町二丁目,-,東京都千代田区神田小川町2-2-8,セブンイレブン 神田小川町2丁目店,セブンイレブン,35.6947683,139.7648685
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3丁目4-2,三菱UFJ銀行日比谷支店,三菱UFJ銀行,35.6766134,139.7625724
