,,,,,,,
指標名,コンビニ,,,,,,
出典,NAVITIME,,,,,,
年次,2024/01/12取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,(2021年度：2342件、2022年度：2305件、2023年度：2301件),,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,大手町1丁目,大丸有,東京都千代田区大手町1丁目2番,セブンイレブン AIM三井物産ビル店,セブンイレブン,35.6876366,139.7623328
千代田区,紀尾井町3丁目,-,東京都千代田区紀尾井町3-12紀尾井町ビル,ファミリーマート 紀尾井町ビル店,ファミリーマート,35.6823569,139.7367421
千代田区,永田町2丁目,赤坂,東京都千代田区永田町2丁目2番1号,セブンイレブン 衆議院第一議員会館店,セブンイレブン,35.67465,139.7427389
千代田区,大手町1丁目,大丸有,東京都千代田区大手町1-6-1 千代田線大手町駅構内,ナチュラルローソン 大手町メトロピア店,ローソン,35.6853494,139.7632784
千代田区,大手町1丁目,大丸有,東京都千代田区大手町1丁目2番,セブンイレブン Otemachi One タワ店,セブンイレブン,35.6876366,139.7623328
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-2 半蔵門線神保町駅構内,ローソン 神保町メトロピア店,ローソン,35.6959319,139.7576272
千代田区,丸の内3丁目,大丸有,東京都千代田区丸の内3丁目2-2,セブンイレブン 丸の内二重橋ビル店,セブンイレブン,35.6780968,139.7611527
千代田区,九段南3丁目,-,東京都千代田区九段南3-1-1,セブンイレブン 九段南大妻通り店,セブンイレブン,35.6922224,139.7434548
千代田区,有楽町2丁目,大丸有,東京都千代田区有楽町2-7-1,セブンイレブン 有楽町イトシア店,セブンイレブン,35.6741799,139.7638296
千代田区,内幸町2丁目,-,東京都千代田区内幸町2-1-6,セブンイレブン 日比谷パークフロント店,セブンイレブン,35.6708123,139.7536053
千代田区,丸の内2丁目,大丸有,東京都千代田区丸の内2-6-1,ローソン 丸の内パークビル店,ローソン,35.6785178,139.7627684
千代田区,霞が関3丁目,虎ノ門広域,東京都千代田区霞が関3丁目2-5 霞が関ビルディング,ファミリーマート ファミマ霞が関ビルディング店,ファミリーマート,35.671183,139.7472406
千代田区,二番町4丁目,-,東京都千代田区二番町4-3,セブンイレブン 麹町駅前店,セブンイレブン,35.6862771,139.7365026
千代田区,霞が関1丁目,虎ノ門広域,東京都千代田区霞が関1-1-1,セブンイレブン 7FS中央合同庁舎6号館店,セブンイレブン,35.6764339,139.7550463
千代田区,三番町1丁目,-,東京都千代田区三番町1-16,セブンイレブン 千代田三番町店,セブンイレブン,35.6894818,139.7452046
千代田区,有楽町1丁目,大丸有,東京都千代田区有楽町1-5-1先千代田線日比谷駅構内,ナチュラルローソン NL日比谷メトロピア店,ローソン,35.6748881,139.7595952
千代田区,岩本町3丁目,-,東京都千代田区岩本町3-3-6,デイリーヤマザキ 岩本町3丁目店,デイリーヤマザキ,35.6952616,139.77643
千代田区,大手町2丁目,大丸有,東京都千代田区大手町2-6-4,セブンイレブン 常盤橋タワー3F店,セブンイレブン,35.684209,139.7706516
千代田区,神田佐久間町2丁目,-,東京都千代田区神田佐久間町2-20-2 翔和秋葉原ビル,ファミリーマート 秋葉原駅前店,ファミリーマート,35.6986098,139.7763305
千代田区,霞が関3丁目,虎ノ門広域,東京都千代田区霞が関3-3-2,ナチュラルローソン NL新霞が関ビル店,ローソン,35.6720028,139.7464577
千代田区,飯田橋3丁目,-,東京都千代田区飯田橋3丁目5-1,ファミリーマート 東京区政会館店,ファミリーマート,35.7014445,139.7473736
千代田区,鍛冶町2丁目,-,東京都千代田区鍛冶町2-2-9,ローソン 神田駅東口店,ローソン,35.6915305,139.7714622
千代田区,九段北1丁目,-,東京都千代田区九段北1-13-12,セブンイレブン 北の丸スクエア店,セブンイレブン,35.6957677,139.7505941
千代田区,大手町1丁目,大丸有,東京都千代田区大手町1-8-1,セブンイレブン KDDI大手町ビル店,セブンイレブン,35.6877166,139.7647687
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-2-8,セブンイレブン 神田小川町2丁目店,セブンイレブン,35.6947683,139.7648685
