指標名,コンベンション施設,,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,,
年次,2024/2/1取得,,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention_venues/,,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2021年度：199件、2022年度：202件、2023年度：）,,,,,,,
,,,,,,,,
区,町丁,町丁,エリア,住所,緯度,経度,施設名,URL
千代田区,丸の内三丁目,丸の内３丁目,大丸有,東京都千代田区丸の内3-5-1,35.676946,139.763503,東京国際フォーラム,https://www.t-i-forum.co.jp
千代田区,丸の内二丁目,丸の内２丁目,大丸有,東京都千代田区丸の内2-7-2JPタワー4F-5F,35.679717,139.764757,JPタワー ホール&カンファレンス,http://www.jptower-hall.jp
中央区,銀座二丁目,銀座２丁目,-,東京都中央区銀座2-15-6,35.671252,139.771227,銀座ブロッサム 中央会館,http://ginza-blossom.jp/
千代田区,有楽町二丁目,有楽町２丁目,大丸有,東京都千代田区有楽町2-10-1,35.674988,139.764367,東京交通会館,http://www.kotsukaikan.co.jp/
千代田区,有楽町二丁目,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1マリオン11階,35.67369,139.762514,有楽町朝日ホール,http://www.asahi-hall.jp
千代田区,内幸町二丁目,内幸町２丁目,-,東京都千代田区内幸町2-1-1,35.670902,139.75281,イイノホール&カンファレンスセンター,http://www.iino.co.jp/hall/
千代田区,丸の内二丁目,丸の内２丁目,大丸有,東京都千代田区丸の内2-4-1丸ビル7F&8F,35.681079,139.76383,丸ビルホール&コンファレンススクエア,https://www.marunouchi-h-c.jp/
千代田区,丸の内二丁目,丸の内２丁目,大丸有,東京都千代田区丸の内2-5-2三菱ビル1F&10F,35.679826,139.763647,コンファレンススクエア エムプラス,http://www.marunouchi-hc.jp
中央区,銀座八丁目,銀座８丁目,-,東京都中央区銀座8-21-1 住友不動産汐留浜離宮ビルB1・1F・2F,35.664114,139.76391,ベルサール汐留,https://www.bellesalle.co.jp/shisetsu/shinagawa/bs_shiodome/
港区,新橋一丁目,新橋１丁目,虎ノ門広域,東京都港区新橋1-18-1,35.668916,139.75559,航空会館,http://www.kokukaikan.com/
中央区,銀座三丁目,銀座３丁目,-,東京都中央区銀座3-9-11,35.671177,139.767561,銀座フェニックスプラザ,http://www.phoenixplaza.co.jp
千代田区,日比谷公園,日比谷公園,-,東京都千代田区日比谷公園1-3,35.671396,139.755518,日比谷公会堂,http://www.hibiya-kokaido.com
