指標名,コワーキング施設,,,,,,,,
出典,コワーキングスペース検索,,,,,,,,
年次,2023/12/12取得,,,,,,,,
URL,https://coworking-search.jp/zenkoku/,,,,,,,,
備考,2020：346件、2021：369件、2022：406件、2023：403件,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,座席数,法人登記,URL
中央区,日本橋３丁目,日八京,東京都中央区日本橋3丁目2番14号 新槇町ビル別館第1,35.680448,139.771378,東京アントレサロン,51席,可能,https://coworking-search.jp/space/2546/
中央区,銀座３丁目,-,東京都中央区銀座3-11-3,35.671195,139.769172,LEAGUE銀座,20席,可能,https://coworking-search.jp/space/2580/
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-8-1 BRICK GATE 茅場町 B1F,35.679324,139.779128,BIZcomfort日本橋茅場町,33席,可能,https://coworking-search.jp/space/2544/
中央区,京橋３丁目,日八京,東京都中央区京橋3-3-13平和ビル3号館 3F,35.67562,139.768103,THE HUB 有楽町 EAST,19席,可能,https://coworking-search.jp/space/2613/
中央区,銀座７丁目,-,東京都中央区銀座7丁目13番5号 NREG銀座ビル1階,35.667965,139.764669,銀座アントレサロン,133席,可能,https://coworking-search.jp/space/2540/
中央区,銀座６丁目,-,東京都中央区銀座6丁目13-16 ヒューリック銀座ウォールビル7F,35.669056,139.764928,ベンチャーデスク銀座,フリーデスク：全24席,可能,https://coworking-search.jp/space/798/
中央区,築地４丁目,-,東京都中央区築地4丁目3-8　登喜和ビル 5F,35.666646,139.768545,MONZ SPACE,個室：6室、個人ブース：12席、フリー席：12席,可能,https://coworking-search.jp/space/2499/
中央区,銀座６丁目,-,東京都中央区銀座6-12-2,35.669293,139.764891,Addroom-Ginza-,-,可能,https://coworking-search.jp/space/349/
中央区,銀座１丁目,-,東京都中央区銀座1-8−19 キラリトギンザ11F,35.674336,139.768675,BINARYSTAR 銀座,176席,-,https://coworking-search.jp/space/1569/
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町1-2　THE SHORE 日本橋茅場町 2F,35.679044,139.784153,箱崎インキュベーションセンター,-,可能,https://coworking-search.jp/space/1526/
中央区,京橋２丁目,日八京,東京都中央区京橋2-2-1　京橋エドグラン3・4F,35.677369,139.769491,SENQ 京橋,約60席,可能,https://coworking-search.jp/space/955/
中央区,銀座４丁目,-,東京都中央区銀座四丁目10-10 銀座山王ビル 8F,35.670032,139.767005,リロワークス 東銀座,12席,-,https://coworking-search.jp/space/1625/
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1丁目5-3  福島ビル5F,35.685793,139.774491,Cross Transit 日本橋,8席,-,https://coworking-search.jp/space/1846/
中央区,八丁堀１丁目,-,東京都中央区八丁堀1-9-8　八重洲通ハタビル 5・6階,35.677378,139.777065,アットビジネスセンター東京駅八重洲通り,3席～　当日の会議室運営状況に応じて変更あり,-,https://coworking-search.jp/space/2223/
中央区,新川１丁目,-,東京都中央区新川1-25-2　新川STビル2F,35.676744,139.784159,Future Tech Hub,52席,可能,https://coworking-search.jp/space/1529/
中央区,日本橋小網町,-,東京都中央区日本橋小網町11-5　リードシー日本橋小網町ビル8F,35.68277,139.781278,BIZcomfort 日本橋小網町,13席,可能,https://coworking-search.jp/space/1899/
