指標名,文化財,,,,,,,,,,,,,,,,,
出典,国指定文化財等データベース,,,,,,,,,,,,,,,,,
年次,2023/2/8取得,,,,,,,,,,,,,,,,,
URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,,
備考,（2019年：482件。2020年：516件、2021年：548件、2022年：553件、2023年：559件）※所在地の記載のないもの、無形を除く,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者,
渋谷区,猿楽町,-,東京都渋谷区猿楽町29番地,35.647516,139.700901,旧朝倉家住宅,主屋,国宝・重要文化財（建造物）,重要文化財,近代／住居,,大正,20041210,,,国（文部科学省）,渋谷区,
中央区,水面調査区,-,東京都中央区新川､江東区佐賀,35.676297,139.787536,永代橋,,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,大正,20070618,,,東京都,,
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.692766,139.752593,旧江戸城清水門,櫓門,国宝・重要文化財（建造物）,重要文化財,近世以前／城郭,,江戸前期,19610607,,,国(文部科学省),,
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.692766,139.752593,旧江戸城清水門,清水門,国宝・重要文化財（建造物）,重要文化財,近世以前／城郭,,江戸前期,19610607,,,国(文部科学省),,
千代田区,皇居外苑,-,東京都千代田区皇居外苑,35.678623,139.753793,旧江戸城外桜田門,櫓門,国宝・重要文化財（建造物）,重要文化財,近世以前／城郭,,江戸中期,19610607,,,国(環境省),皇居外苑管理事務所,
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.692766,139.752593,旧江戸城田安門,田安門,国宝・重要文化財（建造物）,重要文化財,近世以前／城郭,,江戸前期,19610607,,,国(文部科学省),,
新宿区,戸山３丁目,-,東京都新宿区戸山三丁目20番1号,35.707206,139.709115,学習院旧正門,,国宝・重要文化財（建造物）,重要文化財,近代／学校,,明治,19730602,,,学校法人学習院,,
中央区,水面調査区,-,東京都中央区築地､勝どき,35.662235,139.774918,勝鬨橋,,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,昭和,20070618,,,東京都,,
港区,白金台５丁目,-,東京都港区白金台五丁目二六番,35.635675,139.720813,旧朝香宮邸,正門,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20150708,,,東京都,,
港区,白金台５丁目,-,東京都港区白金台五丁目二六番,35.635675,139.720813,旧朝香宮邸,茶室,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20150708,,,東京都,,
港区,白金台５丁目,-,東京都港区白金台五丁目二六番,35.635675,139.720813,旧朝香宮邸,本館,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20150708,,,東京都,,
港区,白金台５丁目,-,東京都港区白金台五丁目二六番,35.635675,139.720813,旧朝香宮邸,倉庫,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20150708,,,東京都,,
港区,白金台５丁目,-,東京都港区白金台五丁目二六番,35.635675,139.720813,旧朝香宮邸,自動車庫,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20150708,,,東京都,,
渋谷区,猿楽町,-,東京都渋谷区猿楽町29番地,35.647516,139.700901,旧朝倉家住宅,土蔵,国宝・重要文化財（建造物）,重要文化財,近代／住居,,大正,20041210,,,国（文部科学省）,渋谷区,
千代田区,皇居外苑,-,東京都千代田区皇居外苑,35.678623,139.753793,旧江戸城外桜田門,外桜田門,国宝・重要文化財（建造物）,重要文化財,近世以前／城郭,,江戸中期,19610607,,,国(環境省),,
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.692766,139.752593,旧江戸城田安門,櫓門,国宝・重要文化財（建造物）,重要文化財,近世以前／城郭,,江戸前期,19610607,,,国(文部科学省),,
渋谷区,広尾４丁目,-,東京都渋谷区広尾四丁目1番地4,35.654428,139.720368,旧久邇宮邸（聖心女子大学）,御常御殿・小食堂,国宝・重要文化財（建造物）,重要文化財,近代／住居,,大正,20171128,,,学校法人聖心女子学院,,
渋谷区,広尾４丁目,-,東京都渋谷区広尾四丁目1番地4,35.654428,139.720368,旧久邇宮邸（聖心女子大学）,正門,国宝・重要文化財（建造物）,重要文化財,近代／住居,,大正,20171128,,,学校法人聖心女子学院,,
品川区,東五反田３丁目,-,東京都品川区東五反田三丁目191番地39,35.630727,139.729589,旧島津家本邸,本館,国宝・重要文化財（建造物）,重要文化財,近代／住居,,大正,20191227,,,学校法人　清泉女子大学,,
品川区,東五反田３丁目,-,東京都品川区東五反田三丁目191番地39,35.630727,139.729589,旧島津家本邸,事務所,国宝・重要文化財（建造物）,重要文化財,近代／住居,,大正,20191227,,,学校法人　清泉女子大学,,
新宿区,若宮町,-,東京都新宿区若宮町39番,35.698422,139.73849,旧馬場家牛込邸,,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20140918,,,国（最高裁判所）,,
