指標名,世界トップ企業,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,
年次,2023年,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000, https://fortune.com/global500/2023,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,,,
区,町丁,エリア,住所,緯度,経度,Name,会社名,Ranking,Rank,SALES,PROFIT,ASSETS,MARKETVALUE,Employees,URL,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５番１号　大手町ファーストスクエア　イーストタワー,35.68578,139.76403,Nippon Telegraph & Tel,ＮＴＴ（日本電信電話株式会社）,Forbes Global 2023,56,$97.36B,$9B,$190.66B,$106.81B,333840,https://www.forbes.com/companies/nippon-tel-tel/,
港区,港南１丁目,-,東京都港区東新橋１丁目７－１,35.63117,139.74361,Sony,ソニー株式会社,Forbes Global 2023,57,$85.15B,$6.92B,$240.75B,$115.17B,108900,https://www.forbes.com/companies/sony/,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目３−１,35.68107,139.76252,Mitsubishi,三菱商事,Forbes Global 2023,75,$161.02B,$9.49B,$171.08B,$53.5B,80728,https://www.forbes.com/companies/mitsubishi/,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目１番２号,35.68498,139.76237,Sumitomo Mitsui Financial,三井住友フィナンシャルグループ,Forbes Global 2023,85,$41.54B,$6.45B,$2 ,005.65B,$56.64B,101023,https://www.forbes.com/companies/sumitomo-mitsui-financial/
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目７番１号,35.68317,139.7671,Mitsubishi UFJ Financial,三菱ＵＦＪフィナンシャル・グループ,Forbes Global 2023,91,$60.22B,$3.07B,$2 ,966.29B,$76.89B,135049,https://www.forbes.com/companies/mitsubishi-ufj-financial/
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目３番１号,35.68775,139.76226,Mitsui,三井物産株式会社,Forbes Global 2023,107,$105.57B,$8.34B,$115.57B,$48.16B,-,https://www.forbes.com/companies/mitsui/,
港区,南青山２丁目,-,東京都港区南青山２丁目１－１　,35.67227,139.72375,Honda Motor,本田技研工業株式会社,Forbes Global 2023,109,$124.68B,$5.38B,$182.97B,$44.94B,197039,https://www.forbes.com/companies/honda-motor/,
港区,北青山２丁目,-,東京都港区北青山２丁目５番１号,35.67156,139.71932,Itochu,伊藤忠商事株式会社,Forbes Global 2023,125,$104.49B,$6.26B,$103.07B,$49.18B,115124,https://www.forbes.com/companies/itochu/,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目６番６号,35.68319,139.76577,Hitachi,株式会社日立製作所,Forbes Global 2023,141,$80.29B,$4.79B,$93.93B,$53.76B,322525,https://www.forbes.com/companies/hitachi/,
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目３番１号,35.68686,139.76744,Japan Post Holdings,日本郵政株式会社,Forbes Global 2023,143,$83.79B,$3.61B,$2 ,228.09B,$28.96B,232112,https://www.forbes.com/companies/japan-post-holdings/
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５–５,35.68551,139.7654,Mizuho Financial,株式会社みずほフィナンシャルグループ,Forbes Global 2023,152,$32.03B,$4.52B,$1 ,908.3B,$37.5B,52420,https://www.forbes.com/companies/mizuho-financial/
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋３丁目１０番１０号,35.70032,139.75054,KDDI,ＫＤＤＩ株式会社,Forbes Global 2023,158,$42.7B,$4.95B,$88.02B,$68.67B,-,https://www.forbes.com/companies/kddi/,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目２－１　,35.68312,139.76328,Tokio Marine Holdings,東京海上ホールディングス株式会社,Forbes Global 2023,193,$48.67B,$2.42B,$216.93B,$39.82B,43048,https://www.forbes.com/companies/tokio-marine-holdings/,
千代田区,二番町,-,東京都千代田区二番町８番地８,35.68584,139.73405,Seven & I Holdings,株式会社セブン＆アイ・ホールディングス,Forbes Global 2023,231,$88.03B,$2.09B,$77.46B,$40.76B,-,https://www.forbes.com/companies/seven-i-holdings/,
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町二丁目１番１号,35.68767,139.77463,Takeda Pharmaceutical,武田薬品工業株式会社,Forbes Global 2023,247,$29.99B,$2.09B,$102.35B,$52.78B,49095,https://www.forbes.com/companies/takeda-pharmaceutical/,
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目３－２,35.68715,139.76796,Sumitomo,株式会社三井住友銀行,Forbes Global 2023,261,$50.33B,$4.51B,$77.25B,$22.82B,5223,https://www.forbes.com/companies/sumitomo/,
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目７番１号　東京日本橋タワー,35.68191,139.77427,Marubeni,丸紅株式会社,Forbes Global 2023,266,$73.47B,$4.24B,$61.62B,$23.83B,45995,https://www.forbes.com/companies/marubeni/,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目１３－１,35.67584,139.76082,Dai-ichi Life Insurance,第一生命保険株式会社,Forbes Global 2023,269,$57.61B,$1.98B,$480.84B,$18.03B,62260,https://www.forbes.com/companies/dai-ichi-life-insurance/,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目６－１,35.67857,139.76253,Nippon Steel,日本製鉄株式会社,Forbes Global 2023,270,$59.52B,$4.92B,$71.85B,$19.78B,-,https://www.forbes.com/companies/nippon-steel/,
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目６番１号,35.68441,139.76907,Shin-Etsu Chemical,信越化学工業株式会社,Forbes Global 2023,330,$20.73B,$5.23B,$35.54B,$59.75B,24069,https://www.forbes.com/companies/shin-etsu-chemical/,
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門２丁目２－１,35.66947,139.74584,Japan Tobacco,日本たばこ産業株式会社,Forbes Global 2023,354,$20.23B,$3.42B,$47.69B,$38.6B,52640,https://www.forbes.com/companies/japan-tobacco/,
港区,浜松町２丁目,-,東京都港区浜松町２丁目４番１号　世界貿易センタービル,35.65617,139.75644,Orix,オリックス株式会社,Forbes Global 2023,371,$20.05B,$2.37B,$110.3B,$19.66B,32235,https://www.forbes.com/companies/orix/,
中央区,新川２丁目,-,東京都中央区新川２丁目２７番２号　東京住友ツインビルディング西館,35.67427,139.7843,MS&AD Insurance,ＭＳ＆ＡＤインシュアランス　グループ　ホールディングス株式会社,Forbes Global 2023,383,$37.89B,$1.11B,$189.3B,$17.72B,39962,https://www.forbes.com/companies/msad-insurance/,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目７－３　,35.67861,139.76494,Mitsubishi Electric,三菱電機株式会社,Forbes Global 2023,409,$36.92B,$1.58B,$41.95B,$26.99B,149655,https://www.forbes.com/companies/mitsubishi-electric/,
