指標名,世界トップ企業,,,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,,,
年次,2023年,,,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000, https://fortune.com/global500/2023,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,
,,,,,,,,,Fortune,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,Name,会社名,Ranking,Rank,Change in Rank,Revenues 2022($M),Revenue % Change,Profits 2022($M),Profits % Change,Assets ($M),Employees,URL,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目３−１,35.68106,139.76257,Mitsubishi,三菱商事,2023 FORTUNE GLOBAL 500 (Revenue 2022),45,-4,159371.1,3.7,8722.8,4.5,166889.3,79,706,www.mitsubishicorp.com
港区,南青山２丁目,-,東京都港区南青山２丁目１－１　,35.67227,139.72375,Honda Motor,本田技研工業株式会社,2023 FORTUNE GLOBAL 500 (Revenue 2022),70,-9,124912.2,-3.6,4812.6,-23.5,185852.5,197,39,https://global.honda/
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目３番１号,35.68775,139.76226,Mitsui,三井物産株式会社,2023 FORTUNE GLOBAL 500 (Revenue 2022),93,-5,105693.9,1,8353,2.6,115872.5,46,811,www.mitsui.com
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５－１　,35.6857,139.76374,Nippon Telegraph and Telephone,ＮＴＴ（日本電信電話株式会社）,2023 FORTUNE GLOBAL 500 (Revenue 2022),109,-26,97048.6,-10.3,8962.4,-14.8,190664.8,338,651,https://group.ntt/en/
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目１－２　,35.68606,139.76199,ENEOS Holdings,ＥＮＥＯＳホールディングス株式会社,2023 FORTUNE GLOBAL 500 (Revenue 2022),122,18,91437.1,14.1,1062.1,-77.8,74992.6,44,617,www.hd.eneos.co.jp
千代田区,二番町,-,東京都千代田区二番町８番地８,35.68584,139.73405,Seven & I Holdings,株式会社セブン＆アイ・ホールディングス,2023 FORTUNE GLOBAL 500 (Revenue 2022),129,18,88077.6,12.3,2095.3,10.9,77461,125,701,www.7andi.com
港区,港南１丁目,-,東京都港区東新橋１丁目７－１,35.63117,139.74361,Sony,ソニー株式会社,2023 FORTUNE GLOBAL 500 (Revenue 2022),140,-24,85254.9,-3.5,6923.4,-11.8,241383.3,112,994,www.sony.net
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目３番１号,35.68686,139.76744,Japan Post Holdings,日本郵政株式会社,2023 FORTUNE GLOBAL 500 (Revenue 2022),148,-54,82290.5,-17.9,3184.7,-28.7,2230763.8,227,369,www.japanpost.jp/en/
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目６番６号,35.68319,139.76577,Hitachi,株式会社日立製作所,2023 FORTUNE GLOBAL 500 (Revenue 2022),153,-40,80388.6,-12,4795.6,-7.7,94179.7,322,525,www.hitachi.com
