指標名,ギャラリー,,,,,,
出典,TokyoArtBeat(Gallery),,,,,,
年次,2024/1/29取得,,,,,,
URL,http://www.tokyoartbeat.com/venues/Gallery,,,,,,
備考,（2020年度：577件、2021年度：766件、2022年度：555件、2023年度：651件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ウェブサイト
渋谷区,桜丘町,-,東京都渋谷区桜丘町14-5-103,35.655321,139.701688,zakura（ザクラ）,https://www.zakura.tokyo/
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-6-3 虎ノ門ヒルズ ステーションタワー3F,35.667550,139.746900,art cruise gallery by Baycrew's,https://artcruisegallery.com
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-3-18 ビラ・モデルナB203,35.662032,139.705748,プレコグ・ギャラリー,https://coubic.com/precog_gallery
品川区,広町１丁目,-,東京都品川区広町1-3-22 2F,35.612866,139.734729,MAGMA GALLERY,https://www.magma-gallery.com/
千代田区,内神田２丁目,-,東京都千代田区内神田2-13-8 BMビル5F,35.691510,139.768300,TOKYO BRIGHT GALLERY,https://www.tokyobrightgallery.com
中央区,銀座７丁目,-,東京都中央区銀座7-10-16,35.668595,139.763132,銀座第7ビルギャラリー,http://www.mca-mcae.co.jp/gallery.html
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-4-11 Daiwa神宮前ビル1F,35.672770,139.712800,LAG（LIVE ART GALLERY）,https://www.live-art-books.jp/
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-24-1,35.685907,139.788344,好文画廊,https://gallerykobun.com/
江東区,北砂３丁目,-,東京都江東区北砂3-1-7 2F,35.680088,139.827737,FILTER gallery,https://www.instagram.com/designlab_shuhare/
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-25-10,35.668768,139.707838,AURORA GRAN GALLERY,https://www.auroragran.com
中央区,銀座２丁目,-,東京都中央区銀座2-9-16 サウンドバレービルB1F,35.672981,139.768445,ギャラリー SIACCA,https://www.siacca.com/gallery/
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-3-16,35.667070,139.710400,ミモザ・ギャラリー,https://mimosa-gallery.com/ja/
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-21-1,35.668250,139.708600,BLANKgallery Tokyo,https://www.instagram.com/blank_gallery_shanghai/
江東区,白河１丁目,-,東京都江東区白河1-3-13 清洲寮 208,35.681950,139.800000,art lab Melt Meri（アートラボメルトメリ）,https://www.artlabmeltmeri.com/
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西2-18-6 SPビル2F,35.649680,139.705200,UPSTAIRS GALLERY,https://www.superplanning.co.jp/upstairs/
江東区,大島４丁目,-,東京都江東区大島4-1-1 大島四丁目団地1号棟106,35.687602,139.827318,Studio 04,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/hubs/karoku-recycle/57626/
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-14-6,35.666006,139.705208,mysha Gallery,https://www.instagram.com/mysha_gallery_/
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町3-1-6 日建ビル3F,35.695651,139.755040,Gallery CORSO（ギャラリーコルソ）,https://www.lithmatic.net/lithApCorso/index.html
千代田区,神田猿楽町１丁目,-,東京都千代田区神田猿楽町1-3-1 1F,35.697752,139.759742,STUDIO 伽藍裡 garali,https://www.hinokisoken.jp/garali.html
港区,西麻布４丁目,-,東京都港区西麻布4-2-4 The Wall 3F,35.658202,139.723596,9s Gallery by TRiCERA,https://www.tricera.net/
港区,西麻布４丁目,-,東京都港区西麻布4-2-4 1F,35.658216,139.723582,WALL_alternative,https://avex.jp/wall/
港区,南青山５丁目,-,東京都港区南青山5-4-35 たつむら青山ビル,35.661950,139.713400,リノベる。表参道「b1.／ビーワン。」,https://www.renoveru.jp/lp/b1
中央区,銀座１丁目,-,東京都中央区銀座1-8-19 キラリトギンザ6F,35.674310,139.768600,dining gallery 銀座の金沢,https://www.ginzanokanazawa.jp/
中央区,銀座８丁目,-,東京都中央区銀座8-7-18 1F,35.668443,139.760908,月光荘画室2,https://gekkoso.jp/exhibition/gallery-2
港区,南青山３丁目,-,東京都港区南青山3-14-17 H BEAUTY&amp;YOUTH B1F,35.664780,139.714800,AMATEUR（アマチュア）,https://store.united-arrows.co.jp/brand/hby/
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門5-8-1 麻布台ヒルズ ガーデンプラザA B1F,35.662254,139.743897,Gallery Restaurant 舞台裏,https://artsticker.app/butaiura
中央区,銀座５丁目,-,東京都中央区銀座5-4-15 銀座エフローレビル5F,35.671612,139.762986,ギャラリーボヤージュ,https://www.voyage-ginza.co.jp/
渋谷区,代官山町,-,東京都渋谷区代官山町12-3 1F,35.650710,139.703800,Another Project Tokyo,https://www.instagram.com/anotherprojecttokyo/?hl=ja
千代田区,神田錦町１丁目,-,東京都千代田区神田錦町1-9,35.691790,139.764300,天理ギャラリー,http://tokyotenrikyokan.co.jp/gallery/
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-2-9 原宿木多マンション103,35.673800,139.706100,デザイン＆ ギャラリー装丁夜話,https://www.souteiyawa.com/gallery/
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町2-4-1 Bakurocactus 2F,35.695816,139.782436,Sakuma Art Gallery,https://www.instagram.com/sakuma_artgallery/
千代田区,内神田１丁目,-,東京都千代田区内神田1-12-6 大森内神田ビル1F,35.691243,139.765467,トーキョーディアスポラ　コンテンポラリーアートギャラリー,https://www.instagram.com/tokyodiaspora/?hl=ja
新宿区,富久町,-,東京都新宿区富久町16-12 101,35.691540,139.712600,ギャラリーからーず。,https://bar-colors.com/index.html
港区,六本木５丁目,六本木,東京都港区六本木5-17-1 AXISビル4F,35.661340,139.736500,JIDAデザインミュージアム,https://center.axisinc.co.jp/floorguide/jidamuseum/
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門5-8-1 麻布台ヒルズ ガーデンプラザA MB階,35.662431,139.744114,麻布台ヒルズギャラリー,https://www.instagram.com/azabudaihillsgallery/
