指標名,病院・診療所・クリニック,,,,,,,
出典,病院なび,,,,,,,
年次,2024/2/5取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：6,158件、2021年度：6,304件、2022年度：6,543件、2023年度：6,702件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
中央区,銀座８丁目,-,東京都中央区銀座8-5-6並木通り 中島商事ビル5F,35.66897,139.76041,KISHI CLINICA FEMINA,"婦人科, 女性内科",http://www.kishiclinicafemina.jp/
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-1-21第二東洋ビル2F2B号室,35.68275,139.77242,医療法人ガブリエル会 日本橋ウィメンズクリニック,"婦人科, 女性内科",https://www.nihonbashi-womens.jp/
中央区,銀座２丁目,-,東京都中央区銀座2丁目10番8号マニエラ銀座ビル7階,35.67231,139.76846,ZEON clinic GINZA,皮膚科,-
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-2-15ザ・レジデンス東京駅前1階,35.68051,139.77121,日本橋れいわ内科,"内科, 糖尿病内科",https://leiwa.clinic/
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-7-7笠原ビルディング3F,35.68495,139.78266,東京心臓血管・内科クリニック,"循環器内科循環器, 心臓血管外科, 内科, 糖尿病内科",https://shinzo-kekkan.clinic/
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-2-3アライヴ人形町2階,35.68475,139.78404,人形町まつだ耳鼻咽喉科,耳鼻いんこう科,https://ningyocho-matsuda-ent.com/
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-5-1日本橋高島屋三井ビルディング10F,35.68130,139.77429,医療法人舘出張 佐藤会 フィーカレディースクリニック,"婦人科, 内科",http://fika-lc.jp/
中央区,築地３丁目,-,東京都中央区築地3-4-7銀鱗ビル 5階,35.66837,139.77357,いしいクリニック築地,"皮膚科, 小児皮膚科, 美容皮膚科, 内科",https://ishii-skin.jp/
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町13-8メディカルプライム日本橋小伝馬町8F,35.69101,139.78111,おりたメンタルクリニック,"心療内科, 精神科",https://orita-mental.com/
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-6-6ライフサイエンスビル8階,35.68937,139.78089,iこころクリニック日本橋,"精神科, 心療内科",https://www.ikokoro.net/
