指標名,ホテル,,,,,,,,,
出典,Rakuten API,,,,,,,,,
年次,2024/02/07取得,,,,,,,,,
URL,https://app.rakuten.co.jp/services/api/Travel/SimpleHotelSearch/20170426,,,,,,,,,
備考,(2021年度：1649件、2022年度：1721件、2023年度：1099件),,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,レビュー数,室数,ホテルURL
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-2-7　,35.67922715,139.7698432,高濃度炭酸泉　八重桜の湯　スーパーホテルＰｒｅｍｉｅｒ東京駅八重洲中央口,4.33,3143,325,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=141356
江東区,潮見２丁目,-,東京都江東区潮見2-8-6,35.65790168,139.8188291,アパホテル＆リゾート〈東京ベイ潮見〉,3.97,16162,706,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=74637
中央区,銀座１丁目,-,東京都中央区銀座1丁目13-15,35.6732453,139.7690164,ダイワロイネットホテル銀座　ＰＲＥＭＩＥＲ,4.5,969,270,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149164
中央区,銀座３丁目,-,東京都中央区銀座3-11-15,35.67071488,139.7684815,天然温泉　奥湯河原の湯　スーパーホテルＰｒｅｍｉｅｒ銀座,4.38,543,116,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167812
中央区,京橋２丁目,日八京,東京都中央区京橋2-8-20,35.6774081,139.770812,ダイワロイネットホテル東京京橋　ＰＲＥＭＩＥＲ,4.36,588,200,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178610
中央区,京橋１丁目,日八京,東京都中央区京橋1-4-1,35.67885652,139.770082,京王プレッソイン東京駅八重洲,4.1,1466,248,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160960
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町2-25-8,35.6966567,139.7744858,天然温泉　奥湯河原の湯　スーパーホテルＰｒｅｍｉｅｒ秋葉原,3.94,515,136,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176736
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1,35.67272894,139.7581587,帝国ホテル東京,4.73,2313,570,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28576
中央区,新川２丁目,-,東京都中央区新川2－20－4,35.67432381,139.78084,亀島川温泉　新川の湯　ドーミーイン東京八丁堀（ドーミーイン・御宿野乃　ホテルズグループ）,4.42,6414,143,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=41071
中央区,築地２丁目,-,東京都中央区築地2丁目１５－１５,35.66717586,139.7703139,京急ＥＸイン　東銀座,4.18,964,198,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153347
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-1,35.68802476,139.7699931,京王プレッソイン大手町,3.9,6642,386,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40780
中央区,京橋３丁目,日八京,東京都中央区京橋3-7-8,35.67555153,139.7708477,ホテルインターゲート東京京橋,4.25,545,200,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165175
中央区,日本橋本町４丁目,日八京,東京都中央区日本橋本町4-7-15,35.6897914,139.7746146,ホテル　かずさや,4.48,358,154,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180271
江東区,新木場１丁目,-,東京都江東区新木場1-6-1,35.64509047,139.827385,ＪＲ東日本ホテルメッツ東京ベイ新木場,4.67,496,189,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176718
中央区,銀座３丁目,-,東京都中央区銀座3-12-2,35.67099055,139.7694883,ホテル銀座ダイエー,4.3,6617,126,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1494
中央区,銀座８丁目,-,東京都中央区銀座8－13－1,35.66708526,139.7632446,三井ガーデンホテル銀座プレミア,4.16,4994,361,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=41069
中央区,八丁堀１丁目,-,東京都中央区八丁堀1-13-7,35.67671792,139.7784346,ホテル　サードニクス東京,4.32,3466,135,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=15204
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-9-1,35.68067269,139.7657632,東京ステーションホテル,4.91,685,150,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=137869
中央区,京橋１丁目,日八京,東京都中央区京橋1-3-6,35.67841442,139.7708002,三井ガーデンホテル京橋,4.33,749,233,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151505
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町二丁目19-4,35.69651553,139.7723065,ヴィアイン秋葉原（ＪＲ西日本グループ）,3.81,2968,281,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=128268
千代田区,神田多町２丁目,-,東京都千代田区神田多町2-8,35.69472121,139.7691902,京王プレッソイン神田,3.87,4769,270,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18270
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-5-14,35.68157838,139.7710952,八重洲ターミナルホテル,3.75,2742,117,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=8961
中央区,銀座４丁目,-,東京都中央区銀座4丁目9-2,35.67081273,139.767233,ソラリア西鉄ホテル銀座,4.38,852,207,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=134799
中央区,日本橋茅場町３丁目,-,東京都中央区日本橋茅場町3-8-5,35.6774581,139.7782045,アパホテル〈茅場町八丁堀駅前〉（全室禁煙）,4.14,21,176,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=188130
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-1-1,35.68243416,139.7865864,ロイヤルパークホテル,4.54,3479,419,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1566
千代田区,神田富山町３０丁目,-,東京都千代田区神田富山町30-1,35.6934,139.7740312,オリンピックイン神田,4.09,143,70,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184244
江東区,東陽６丁目,-,東京都江東区東陽6-3-3,35.67500241,139.8140788,ホテルイースト２１東京（オークラホテルズ＆リゾーツ）,4.21,4282,394,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=4822
江東区,潮見２丁目,-,東京都江東区潮見2-8-16,35.6603274,139.8173478,東京ベイ潮見プリンスホテル,4.52,725,605,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178293
中央区,日本橋小伝馬町２丁目,-,東京都中央区日本橋小伝馬町2-3,35.69029304,139.7781832,伝馬の湯　ドーミーインＰＲＥＭＩＵＭ東京小伝馬町（ドーミーイン・御宿野乃　ホテルズグループ）,4.48,1064,134,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158347
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-16,35.6952086,139.7706746,明神の湯ドーミーインＰＲＥＭＩＵＭ神田（ドーミーイン・御宿野乃　ホテルズグループ）,4.17,1023,137,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=161040
江東区,南砂２丁目,-,東京都江東区南砂2-1-5,35.6695004,139.8198202,Ｒ＆Ｂホテル東京東陽町,4.15,2321,202,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=52322
中央区,京橋３丁目,日八京,東京都中央区京橋3-6-7,35.675158,139.770526,アパホテル〈銀座　京橋〉（東京駅八重洲南口）,3.98,710,170,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=143288
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-4-8,35.678682,139.7780306,京急ＥＸイン　東京・日本橋,4.37,603,142,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178446
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-3-22,35.68310034,139.7711821,ホテル龍名館東京,4.64,1714,135,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=76496
中央区,銀座８丁目,-,東京都中央区銀座8-6-15,35.66818228,139.760167,銀座グランドホテル,3.36,5026,257,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=767
千代田区,神田司町２丁目,-,東京都千代田区神田司町2-2,35.69251309,139.7681931,グランドセントラルホテル＜東京都＞,4.02,5552,157,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5309
江東区,門前仲町２丁目,-,東京都江東区門前仲町2-8-9,35.6729202,139.796626,京成リッチモンドホテル東京門前仲町,4.45,407,123,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171942
江東区,潮見２丁目,-,東京都江東区潮見2-8-11,35.6590818,139.8180307,東京イーストサイド　ホテル櫂会,4.6,416,226,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178266
中央区,日本橋本町１丁目,日八京,東京都中央区日本橋本町1-4-14,35.68621124,139.776351,スマイルホテル日本橋三越前,3.72,1364,164,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1990
