指標名,美術館・博物館,,,,,日本博物館協会,https://www.j-muse.or.jp/
出典,日本博物館協会、Tokyo Art Beat、artscape、Internet Museum,,,,,TokyoArtBeat(EventSpace・美術館),http://www.tokyoartbeat.com/venues/Museum
年次,2024/1/29取得,,,,,artscape,https://artscape.jp/mdb/mdb_result.php?area=8
URL,右表参考,,,,,Internet Museum,https://www.museum.or.jp/modules/im_museum/
備考,4つの出典のうち、2つ以上に掲載されているもの（2020年度：202件、2021年度：204件、2022年度：125件、2023年度：233件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL or TEL
渋谷区,東３丁目,-,東京都渋谷区東3-1-5MITSUO KAJI ﾋﾞﾙ2F,35.652104,139.713065,エマーユ七宝美術館,03-3407-3227
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-10-10,35.669429,139.704899,太田記念美術館,03-3403-0880
千代田区,三番町,-,東京都千代田区三番町12,35.690988,139.74236,大妻女子大学博物館,03-5275-5739
千代田区,北の丸公園,-,東京都千代田区北の丸公園2-1,35.691189,139.753023,科学技術館,03-3212-8544
品川区,上大崎２丁目,-,東京都品川区上大崎2-25-5久米ﾋﾞﾙ8階,35.634602,139.714642,久米美術館,03-3491-1510
千代田区,千代田,-,東京都千代田区千代田1-8,35.681564,139.750095,皇居三の丸尚蔵館,03-6268-0306
渋谷区,上原３丁目,-,東京都渋谷区上原3-6-12,35.66782,139.680038,古賀政男音楽博物館,03-3460-9051
渋谷区,東４丁目,-,東京都渋谷区東4-10-28,35.655644,139.71165,國學院大學博物館,03-5466-0359
新宿区,大京町,-,東京都新宿区大京町31-10 ｱｰﾄ千駄ヶ谷ﾋﾞﾙ,35.681742,139.714979,佐藤美術館,03-3358-6021
品川区,大井６丁目,-,東京都品川区大井6-11-1,35.59666,139.730153,品川区立品川歴史館,03-3777-4060
渋谷区,松涛２丁目,-,東京都渋谷区松濤2-14-14,35.65868,139.691788,渋谷区立松濤美術館,03-3465-9421
千代田区,九段北１丁目,-,東京都千代田区九段北1-11-5 ｸﾞﾘｰﾝｵｰｸ九段2階,35.697016,139.751113,しょうけい館（戦傷病者史料館）,03-3234-7821
千代田区,九段南１丁目,-,東京都千代田区九段南1-6-1,35.695205,139.7511,昭和館,03-3222-2577
渋谷区,東４丁目,-,東京都渋谷区東4-9-1,35.656392,139.712561,白根記念渋谷区郷土博物館・文学館,03-3486-2791
新宿区,四谷三栄町,-,東京都新宿区四谷三栄町12- 16,35.689949,139.725875,新宿区立新宿歴史博物館,03-3359-2131
品川区,上大崎４丁目,-,東京都品川区上大崎4-6-19,35.631622,139.715856,杉野学園衣裳博物館,03-6910-4413
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-26-1,35.692684,139.696153,SOMPO美術館,03-3349-3081
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1,35.690542,139.754642,東京国立近代美術館,03-3214-2561
江東区,三好４丁目,-,東京都江東区三好4-1-1,35.679725,139.807995,東京都現代美術館,03-5245-4111
港区,白金台５丁目,-,東京都港区白金台5-21-9,35.636858,139.71938,東京都庭園美術館,03-3443-0201
新宿区,神楽坂１丁目,-,東京都新宿区神楽坂1-3,35.699399,139.741398,東京理科大学近代科学資料館,03-5228-8224
江東区,青海２丁目,-,東京都江東区青海2-3-6,35.619184,139.776551,日本科学未来館,03-3570-9151
千代田区,一番町,-,東京都千代田区一番町25JCII 一番町ﾋﾞﾙ地下1階,35.688259,139.741173,日本カメラ博物館,03-3263-7110
港区,南青山６丁目,-,東京都港区南青山6-5-1,35.662138,139.717543,根津美術館,03-3400-2536
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-22-7新宿文化ｸｲﾝﾄﾋﾞﾙ,35.686235,139.694914,文化学園服飾博物館,03-3299-2387
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-6-1新宿住友ﾋﾞﾙ33階,35.69142,139.692595,平和祈念展示資料館,03-5323-8709
港区,白金台５丁目,-,東京都港区白金台5-12-6,35.639955,139.721802,松岡美術館,03-5449-0251
港区,白金台４丁目,-,東京都港区白金台4-6-2,35.639391,139.726366,港区立郷土歴史館,03-6450-2869
新宿区,信濃町,-,東京都新宿区信濃町8,35.682619,139.71929,民音音楽博物館,03-5362-3555
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-1,35.69753,139.761447,明治大学博物館,81-(3)-3296-4448
千代田区,九段北３丁目,-,東京都千代田区九段北3-1-1,35.694038,139.742548,靖國神社遊就館,03-3261-8326
渋谷区,広尾３丁目,-,東京都渋谷区広尾3-12-36,35.653238,139.713715,山種美術館,03-5467-1101
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田1-6- 1,35.709177,139.72014,早稲田大学會津八一記念博物館,03-5286-3835
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田1-6-1,35.70915,139.719072,早稲田大学坪内博士記念演劇博物館,03-5286-1829
港区,芝公園４丁目,-,東京都港区芝公園4-7-35,35.657473,139.748221,増上寺宝物展示室,https://artscape.jp/mdb/10108047_1900.html
中央区,銀座１丁目,-,東京都中央区銀座1-5-2 西勢ビル2F,35.675058,139.767424,藍画廊,https://artscape.jp/mdb/1196534_1900.html
中央区,銀座３丁目,-,東京都中央区銀座3-13-17　辰中ビル3F,35.670541,139.769371,IG Photo Gallery,https://artscape.jp/mdb/10168062_1900.html
中央区,銀座３丁目,-,東京都中央区銀座3-5-16　島田ビル2F/3F,35.6727,139.76604,青木画廊,https://artscape.jp/mdb/1196535_1900.html
港区,南青山５丁目,-,東京都港区南青山5-12-3 Noirビル2F,35.661583,139.712928,Akio Nagasawa Gallery Aoyama,https://artscape.jp/mdb/10176805_1900.html
中央区,銀座４丁目,-,東京都中央区銀座4-9-5 銀昭ビル6F,35.670612,139.767065,Akio Nagasawa Gallery Ginza,https://artscape.jp/mdb/10176804_1900.html
千代田区,外神田６丁目,-,東京都千代田区外神田6-11-14 アーツ千代田3331  201/202,35.704269,139.770719,アキバタマビ21,https://artscape.jp/mdb/10162365_1900.html
港区,南青山４丁目,-,東京都港区南青山4-18-9,35.663395,139.717617,秋山庄太郎写真芸術館,https://artscape.jp/mdb/1196974_1900.html
中央区,銀座３丁目,-,東京都中央区銀座3-3-5 無印良品 銀座 6F,35.673214,139.765368,ATELIER MUJI GINZA,https://artscape.jp/mdb/10175526_1900.html
