指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2024/01/31取得,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,(2021年度：343件、2022年度：344件、2023年度：514件),,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用金額,URL
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-29-1 東急歌舞伎町タワー B1F-B4F,35.6957513,139.7005894,ZEROTOKYO,クラブ,HipHop ･ House ･ Trance ･ Techno ･ Bass ･ EDM ･ etc.,"VIP予約:
03-6380-2013",23:00～ ※イベントにより変わるため要確認,(火-木 ※祝前は変わる場合あり)要確認,1500名,"5,000円～",https://www.tokyo-club.net/zerotokyo/
中央区,銀座５丁目,-,東京都中央区銀座5-2-1 東急プラザ銀座6F,35.6722448,139.7624127,RAISE,クラブ,All Genre,03-6263-8953,20:00～ / 土 21:00～,日-火,400名,"5,000円～",https://www.tokyo-club.net/raise/
港区,六本木４丁目,六本木,東京都港区六本木4-11-11 GMビル B1F,35.6642101,139.7315322,unravel tokyo,ライブハウス,Live ･ Allmix ･ POPs ･ Rock ･ Acoustic,03-6721-1455,イベント･ライブにより異なる,無し,着席100人 / スタンディング200人,,https://www.tokyo-club.net/unravel-tokyo/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-13 渋谷デリタワービル B1F,35.6601085,139.6961331,BRAND SHIBUYA,クラブ,House ･ Techno,03-6416-0111,21:00～ラスト,不定休,80人(スタンディング) / 30席,"2,000円",https://www.tokyo-club.net/brand-shibuya/
渋谷区,広尾１丁目,-,東京都渋谷区広尾1-11-2 アイオス広尾ビル1F,35.650109,139.7125988,Oriental Diner IGAO,バー,R&B ･ Live ･ Others,03-5793-3778,"18:00-25:00
ランチ: 平日 11:00-15:00",日,30人,"2,000円～",https://www.tokyo-club.net/igao/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-10-3 G3ビル1F,35.6947651,139.7029833,Music Fashion Bar RUN,ミュージックバー,ALLMIX,03-6233-7903,20:00-04:00,日,150名,"5,000円",https://www.tokyo-club.net/run-shinjuku/
渋谷区,宇田川町３３丁目,-,東京都渋谷区宇田川町33-14 久保ビル2F,35.6608386,139.6970804,LITTS BAR & GRILL SHIBUYA,DJバー,Allmix ･ EDM ･ House ･ HipHop ･ R&B,03-6455-3137,18:00-05:00,不定休あり,着席 40名 / 立食 60名,"3,000円～",https://www.tokyo-club.net/litts-shibuya/
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-19-17 GEMS神宮前 8F-9F,35.6637445,139.7023766,BLACK BOX,サウンド＆シーシャバー,All Genre,03-6712-6955,20:00-29:00,無し,100人,"5,000円",https://www.tokyo-club.net/black-box/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル 1F-B1F,35.6589847,139.6955447,CLUB NEVERLAND,CLUB,ALLMIX ･ EDM ･ TOP40 ･ House ･ R&B ･ etc.,03-6416-0377,20:00～,無し,(200名～ ※目算),"2,000円～",https://www.tokyo-club.net/neverland/
渋谷区,宇田川町１３丁目,-,東京都渋谷区宇田川町13-8 ちとせ会館B1F,35.6611121,139.6985442,TK NIGHTCLUB,CLUB,WORLD DANCE MUSIC,03-5456-2400,22:00-04:30,なし,1000人 / 20席,"5,000円",https://www.tokyo-club.net/tk-nightclub/
港区,六本木３丁目,六本木,東京都港区六本木3-8-15 六本木日拓ビル 1F-3F,35.6633285,139.7341877,ZEUS GARDEN,クラブ,Allmix,Closed,"営業日: 火-土･祝前日
1階: 18:00～
2階: 19:00～
3階: 木曜日 19:00-24:00 / 金曜･土曜 22:00-05:00",日 ･ 月 ･ 祝,"300名
面積: 350坪 (3フロア合計)","4,000円
バー利用 1,000円～",https://www.tokyo-club.net/zeus-garden/
港区,麻布十番１丁目,-,東京都港区麻布十番1-4-5 深尾ビル1F-B1F,35.6569619,139.7353052,1OAK TOKYO,クラブ,HipHop ･ etc.,03-5572-7535,23:00-05:00,月,350人,"5,000円",https://www.tokyo-club.net/1oaknew/
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-1-9 渋谷第3KKビルB1F,35.6576933,139.7078411,Violetta,バー,Others ･ Electro,03-6427-5041,17:00-24:00 ※変動あり,不定休,立40人,"(3,500円)",https://www.tokyo-club.net/violetta/
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-20-10 ミヤシタパーク北街区 1F-3F,35.6622664,139.7018931,or,カフェ ･ クラブ,Others,03-6712-5277,11:00-05:00 / 日曜 11:00-24:00,商業施設ミヤシタパークの営業に準ずる,"1階: 100名 / 22席 (151平米)
2階: 100名 / 22席 (149平米)
3階: 300名 / 54席 (279平米)
合計: 500名 / 98席
※人数はフロアごとの最大入場可能者数","4,000円～",https://www.tokyo-club.net/or-shibuya/
港区,海岸１丁目,-,東京都港区海岸1-10-45 アトレ竹芝(シアター棟) 1F,35.6567464,139.7620412,BANK30,ラウンジ,Others,03-5422-1094,11:00-15:00 / 17:00-23:00,アトレ竹芝の営業に準ずる,立500人 / 席220,"6,000円 / ランチ1,500円～",https://www.tokyo-club.net/bank30/
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-13-3 MST道玄坂2F,35.6575064,139.6986261,Rockin Cafe Shibuya GABIGABI,ライブバー,Rock ･ Acoustic ･ Folk ･ Blues ･ POPs ･ Others,03-3463-5538,19:00-25:00,無し,20席前後,"1,500円～2,000円",https://www.tokyo-club.net/gabigabi/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-15-5 ビックレモンビルB2F,35.6941659,139.7018671,Soul Dining Bar 歌舞伎町 鶴千,ミュージックバー,BlackMusic ･ 70s ･ 80s ･ Soul ･ Funk ･ POPs ･ Rock ･ AOR ･ etc.,03-6233-7083,"月-木: 18:00-03:00
金･土: 18:00-05:00
日: 18:00-24:00",不定,120名,"3,500円
ドリンク1杯: 900円前後",https://www.tokyo-club.net/kabukicho-tsurusen/
渋谷区,桜丘町１６丁目,-,東京都渋谷区桜丘町16-7 鈴木ビルB1F,35.6564106,139.7010796,Woodstock,バー,Live ･ Rock ･ etc.,03-6712-7963,19:00-03:00,日,目算80名未満 / 40席前後,"3,000円
カクテル800円～ / ビール650円～",https://www.tokyo-club.net/woodstock/
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-5-6 ラ･コリーナ渋谷B1F,35.6610474,139.7060359,INC COCKTAILS,バー,Jazz ･ Blues ･ Soul ･ etc.,03-6805-1774,19:00-03:00,無し,"ドリンク: 1,200円前後",無し,https://www.tokyo-club.net/inccocktails/
渋谷区,宇田川町１５丁目,-,東京都渋谷区宇田川町15-1 渋谷PARCO内 B1F,35.6620484,139.6987767,QUATTRO LABO,カフェバー,Jazz ･ Soul ･ AOR ･ 70s ･ 80s ･ World ･ R&B ･ Rock ･ etc.,03-6455-3001,"月-土・祝前: カフェ11:00-17:00 / バー18:00-26:00
日曜・祝日: 23:30まで",無し・パルコの営業日に準ずる,33席,"1,000円～",https://www.tokyo-club.net/quattrolabo/
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-29-5,35.6718083,139.7097062,Deus Ex Machina,カフェ,House ･ Others,Closed,"バー営業: 金19:00-23:00
カフェ: 09:00-20:00",無し,40名ほど,"1,500円～",https://www.tokyo-club.net/deus-ex-machina/
新宿区,新宿２丁目,-,東京都新宿区新宿2-19-9 カドビルB1F,35.6917447,139.707393,DJ BAR Heart,DJバー,Disco ･ HipHop ･ House ･ Techno ･ Allmix ･ etc.,03-6384-1053,20:00-05:00,日,約215平米(※フロア総面積),"2,500円～
ドリンク800円前後から",https://www.tokyo-club.net/djbar-heart/
港区,西麻布１丁目,-,東京都港区西麻布1-8-10 1F,35.6603723,139.7249885,PULPLISM,ハンバーガーショップ,Others,03-3401-8350,"11:30-24:00
金･土 11:30-02:00
日 11:30-18:00",不定,10席,"1,000円～",https://www.tokyo-club.net/pulplism/
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-2-3 渋谷フクラス(東急プラザ渋谷)17F-18F,35.6576545,139.7003114,CE LA VI TOKYO,レストラン ･ クラブ,House ･ Electro ･ etc.,0800-111-3065,"セラヴィクラブラウンジ (17階)
月曜定休
火-木 22:00-04:00
金･土 22:00-04:30
日･祝 15:00-22:00
※イベントにより変動","不定
※1月1日は休業の可能性あり","200名 / 56席 (CE LA VI CLUB LOUNGE)
98席 (BAO by CE LA VI)
116席 (CE LA VI RESTAURANT&SKY BAR)","クラブラウンジ 5,000円～ ※目安
レストラン ディナー 13,000円
ランチ 4,000円",https://www.tokyo-club.net/celavi/
港区,六本木６丁目,六本木,東京都港区六本木6-8-22 イケガミビル1F,35.6598356,139.7322777,THE PUBLIC SIX,バー,House ･ Allmix,03-5413-3182,17:00～,無し,立150名 (108席),"3,800円～",https://www.tokyo-club.net/publicsix/
港区,六本木３丁目,六本木,東京都港区六本木3-13-8 ゾーナンビル2F,35.6626778,139.7339961,mint,カフェバー,Others,03-6823-1219,12:00-04:00 (ランチ: 17:00まで),火,立90名未満 / 44席,"3,000円～",https://www.tokyo-club.net/mint/
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-6-5 銀座裏コリドー内,35.6690711,139.7585754,club GHQ,CLUB,Allmix,03-6550-9655,18:00-24:00 / 金･土 18:00～,不定,350人,"男性4,000円 / 女性1,000円",https://www.tokyo-club.net/club-ghq/
渋谷区,宇田川町３３丁目,-,東京都渋谷区宇田川町33-1 グランド東京渋谷ビルB1F-B2F,35.6607517,139.6973995,Veats Shibuya,ライブハウス,POPs ･ All Genre,03-5467-6390,スケジュールによる,不定,700名,ライブごとに変動,https://www.tokyo-club.net/veats/
渋谷区,神南１丁目,-,東京都渋谷区神南1-23-10 マグネット内 7F,35.659849,139.700863,MAG7 (MAGNET by SHIBUYA109),飲食施設,House ･ Allmix ･ J-POP ･ Disco ･ BassMusic ･ Others,03-3477-5111,"飲食店舗営業: 11:00-23:00
(金曜: DJパーティ 20:30-22:30) ※要確認",MAGNETの営業日に準ずる,(イベントスペース: 立100名以上 ※目算),"1,000円～",https://www.tokyo-club.net/magseven/
港区,西麻布１丁目,-,東京都港区西麻布1-14-17 WAVE西麻布1F-2F,35.6613097,139.7233922,Trip Bar,ダイニングバー,TOP40 ･ 80s ･ HipHop ･ BlackMusic ･ etc.,Closed,"月-土 18:00-04:00 (2階: 05:00まで)
日･祝 17:00-24:00",不定,1階: 45席前後 / 2階: 30名以上,"5,000円～",https://www.tokyo-club.net/trip-bar/
中央区,銀座８丁目,-,東京都中央区銀座8-6-18 銀座カレラ弐番館B2F,35.6685083,139.7603967,CYGNUS,ライブバー,Chanson ･ BossaNova ･ Jazz ･ Disco ･ R&B ･ etc.,03-3289-0986,18:30-23:30,日,70名前後,"6,000円
(2,000円 ミュージックチャージ)
(お通し 1,100円)",https://www.tokyo-club.net/cygnus/
港区,六本木３丁目,六本木,東京都港区六本木3-15-22 陽光セントラル六本木ビル6F,35.6622324,139.7351655,JP Bar,バー,Latin ･ etc.,03-6886-6286,"19:00～
(23:00までハッピーアワー)
変わる可能性あり確認要",日,要確認 (目算:40名～),"2,000円～",https://www.tokyo-club.net/jp-bar/
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-5-1 新丸ビル7F,35.6825868,139.7644093,(marunouchi)HOUSE,レストランフロア,Jazz ･ Disco ･ 80s ･ Lounge ･ HipHop ･ House ･ Techno ･ Allmix ･ Live ･ Others,03-5218-5100,11:00-04:00 / 日･祝 11:00-23:00,不定休 (新丸の内ビルディングの営業日に準ずる),"ソータイアード: 108席
文史郎: 91席
来夢来人: 33席
ソバキチ: 42席
リゴレット: 108席
現バー: 38席
ヘンリーグッドセブン: 50席
ムスムス: 38席
沢村: 58席","店により異なる
(夜: 大方4,000円前後)",https://www.tokyo-club.net/marunouchi-house/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-19-3 ライオンズマンション道玄坂1F,35.6590763,139.6964422,Good Wood Terrace,カリブ料理屋,Reggae ･ HipHop ･ R&B ･ etc.,03-5728-7418,15:00-03:00 / ランチ 11:30-15:00,年始,15～20席,"昼 1,000円 / 夜 2,000円～",https://www.tokyo-club.net/good-wood-terrace/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-19-11 中村ビル1F-2F,35.6594638,139.6960234,Mikkeller Tokyo,ビアバー,Others,03-6427-0793,"平日 15:00-24:30
金 15:00-25:30
土 12:00-25:30
日 12:00-24:30",無休,1階:30名程(スタンディング含め) ※目算,"3,000円
ビア1杯: ハーフサイズ550円～ / パイント1,000円前後～",https://www.tokyo-club.net/mikkeller-tokyo/
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-1-9 第3KKビルB1F,35.6580597,139.707553,Test Flight,バー兼カフェ,Acoustic ･ POPs ･ Classics ･ Soul ･ 90s ･ Lounge ･ etc.,Closed,12:00-24:00 ※変動の可能性あり、要事前確認,不定,20席前後 ※目算,"昼 1,000円 / 夜 2,000円～",https://www.tokyo-club.net/testflight/
港区,高輪４丁目,-,東京都港区高輪4-10-30 品川プリンスホテルメインタワー39F,35.6276208,139.7367056,TABLE 9 TOKYO (NINE BAR),レストラン (NINE BAR: DJバー),Lounge Music ･ House ･ Techno ･ Jazz ･ Disco ･ Soul ･ Black Music,03-5421-1114 ※代表,"ナインバー: 17:00-04:00
(DJタイム: 火-土 21:00-23:45)",無し,48席,"6,000円～
エントランス: 2,000円～",https://www.tokyo-club.net/table9-ninebar/
品川区,東五反田１丁目,-,東京都品川区東五反田1-11-5 バルミー五反田B1F,35.6272381,139.7256233,VRAIMENT,クラブバー,Allmix ･ Others,03-6456-4459,19:00-05:00,不定休,40名前後,"基本的にエントランス無料
ドリンク 600円～",https://www.tokyo-club.net/vraiment/
