,,,,,,,,,,,2023年度,昨年
指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,,認可,644,603
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,,認証A,88,98
年次,2024/2/6取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,,認証B,11,12
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,,認定こども園（幼保連携型）,7,7
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件）,,,,,,,,,認定こども園（保育所型）,41,38
,,,,,,,,,,認定こども園（地方裁量型）,0,1
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点,,,
千代田区,外神田４丁目,-,千代田区外神田４－８－６,35.702695,139.772766,ほっぺるランド外神田,認可,87,令和5年10月1日時点,,,
千代田区,外神田３丁目,-,千代田区外神田３－６－１３,35.70246,139.76986,外神田かなりや保育園,認可,50,令和5年10月1日時点,,,
千代田区,神田和泉町,-,千代田区神田和泉町１,35.699154,139.778474,いずみこども園,認可,36,令和5年10月1日時点,,,
千代田区,東神田２丁目,-,千代田区東神田２－６－５　東神田ビル２・３階,35.695855,139.780285,アイグラン保育園東神田,認可,63,令和5年10月1日時点,,,
千代田区,岩本町２丁目,-,千代田区岩本町２－１０－１２,35.693687,139.77671,岩本町ちとせ保育園,認可,80,令和5年10月1日時点,,,
千代田区,神田岩本町,-,千代田区神田岩本町１５－７,35.696679,139.775092,千代田せいが保育園,認可,51,令和5年10月1日時点,,,
千代田区,神田美倉町,-,千代田区神田美倉町１０－２,35.690838,139.774452,保育園神田ベアーズ,認可,72,令和5年10月1日時点,,,
千代田区,内神田２丁目,-,千代田区内神田２－１－１３,35.689011,139.768395,ベネッセ内神田保育園,認可,60,令和5年10月1日時点,,,
千代田区,神田神保町２丁目,-,千代田区神田神保町２－２０－３１,35.697114,139.756543,まなびの森保育園神保町,認可,100,令和5年10月1日時点,,,
千代田区,神田淡路町２丁目,-,千代田区神田淡路町２－１０９,35.696812,139.767009,神田保育園,認可,120,令和5年10月1日時点,,,
千代田区,神田淡路町２丁目,-,千代田区神田淡路町２－１２,35.697841,139.768764,神田淡路町保育園大きなおうち,認可,99,令和5年10月1日時点,,,
千代田区,西神田２丁目,-,千代田区西神田２－６－２　西神田コスモス館,35.69888,139.75488,西神田保育園,認可,99,令和5年10月1日時点,,,
