指標名,レストラン,,,,,,,
出典,hotpepper,,,,,,,
年次,2024/01/19取得,,,,,,,
URL,http://webservice.recruit.co.jp/hotpepper/gourmet/v1,,,,,,,
備考,(2021年度：35615件、2022年度：35814件、2023年度：15927件),,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,レストラン名,ジャンル,URL
千代田区,神田三崎町２丁目,-,東京都千代田区神田三崎町２－22－18　西山興業水道橋ビル6F,35.70240822,139.7521569,魚心 うおしん 水道橋西口駅前店,居酒屋,https://www.hotpepper.jp/strJ003411733/?vos=nhppalsa000016
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-3-7 なる巳ビル3F,35.67342559,139.7608212,個室居酒屋 鶏屋むさし 有楽町店,居酒屋,https://www.hotpepper.jp/strJ001294940/?vos=nhppalsa000016
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町１－１６ダイニングスクエア秋葉原ビル５F,35.69796876,139.774579,鮨と酒日和 ととうお 秋葉原駅前店,居酒屋,https://www.hotpepper.jp/strJ003649219/?vos=nhppalsa000016
千代田区,神田佐久間町２丁目,-,東京都千代田区神田佐久間町２-13-27  B1,35.69823351,139.7767158,産直鮮魚と47都道府県の日本酒の店 黒潮 秋葉原店,居酒屋,https://www.hotpepper.jp/strJ003582353/?vos=nhppalsa000016
千代田区,東神田１丁目,-,東京都千代田区東神田１-14-10 1F,35.69438492,139.7818816,東神田 粋ざま,居酒屋,https://www.hotpepper.jp/strJ003671716/?vos=nhppalsa000016
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-3-6　九重会館8F,35.67318676,139.7617578,炉端焼きと海鮮とおでん　完全個室居酒屋　吟乃月　有楽町,居酒屋,https://www.hotpepper.jp/strJ003625350/?vos=nhppalsa000016
千代田区,内幸町１丁目,-,東京都千代田区内幸町１丁目7-1　日比谷オクロジ内,35.67058282,139.7593409,花信風,居酒屋,https://www.hotpepper.jp/strJ003648791/?vos=nhppalsa000016
千代田区,神田三崎町２丁目,-,東京都千代田区神田三崎町２-22-18 西山興業新水道橋ビル7階,35.70240822,139.7521569,市場直送鮮魚×野菜巻き串個室工房 SHIORI 水道橋店,居酒屋,https://www.hotpepper.jp/strJ003498685/?vos=nhppalsa000016
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町１丁目13番チョムチョム秋葉原 5階,35.69790654,139.7741996,海底撈火鍋 秋葉原店,中華,https://www.hotpepper.jp/strJ001275173/?vos=nhppalsa000016
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町１－６－５　三州屋ビル,35.69017733,139.7712616,和バル ko iki コイキ 神田店,居酒屋,https://www.hotpepper.jp/strJ001146551/?vos=nhppalsa000016
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-2-9 TS日比谷ビル4F,35.67276788,139.7602324,鶏のまるよし 有楽町日比谷店,居酒屋,https://www.hotpepper.jp/strJ003433565/?vos=nhppalsa000016
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町２－２－９　共伸会館７Ｆ,35.69155328,139.7713646,四国郷土活性化 藁家88 神田店,居酒屋,https://www.hotpepper.jp/strJ000963959/?vos=nhppalsa000016
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町１－24　ＧＡＴＯ秋葉原ビル 5階,35.69836234,139.7751581,仙台牛タンと肉寿司 政宗 秋葉原店,居酒屋,https://www.hotpepper.jp/strJ003451179/?vos=nhppalsa000016
