指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2024/2/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件、2022年度：728件、2023年度：793件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間
港区,芝浦四丁目,-,東京都港区芝浦4-19,35.638522,139.749775,C5-13.区立芝浦西運河沿緑地 / Green Zone along the Shibaura-nishi Canal,-,Open for 24 hours
江東区,豊洲六丁目,-,東京都江東区豊洲6-5先,35.64492,139.782405,H1-134.豊洲ぐるり公園 / Toyosu Gururi park,-,Open for 24 hours 
品川区,八潮三丁目,-,東京都品川区八潮3-3-22,35.584986,139.75811,I1-95.東京レールゲート EAST / TOKYO RAIL GATE EAST,-,Open for 24 hours
江東区,豊洲三丁目,-,東京都江東区豊洲3-1,35.659454,139.793204,H1-01.豊洲IHIビル前（晴海通り） / Toyosu IHI Building,-,Open for 24 hours
江東区,豊洲五丁目,-,東京都江東区豊洲5-5,35.653405,139.796398,H1-02.豊洲駅 / Toyosu Station,-,Open for 24 hours
江東区,東雲二丁目,-,東京都江東区東雲2-8,35.640668,139.804164,H1-03.東雲駅 / Shinonome Station,-,Open for 24 hours
江東区,有明三丁目,-,東京都江東区有明3-7,35.633044,139.791546,H1-04.石と光の広場（国際展示場駅） / Ishito Hikarino Hiroba (Kokusai-tenjijo Station),-,Open for 24 hours
江東区,有明三丁目,-,東京都江東区有明3-6,35.631438,139.790094,H1-05.相鉄グランドフレッサ 東京ベイ有明 / SOTETSU GRAND FRESA TOKYO-BAY ARIAKE,-,Open for 24 hours
江東区,有明三丁目,-,東京都江東区有明3-3,35.630932,139.786483,H1-06.武蔵野大学 / Musashino University,-,Open for 24 hours
江東区,青海一丁目,-,東京都江東区青海1-2,35.627252,139.778937,H1-08.東京テレポート駅 / Tokyo Teleport Station,-,Open for 24 hours
