,,,,,,,
指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2024/01/12取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,(2021年度：912件、2022年度：959件、2023年度：1422件),,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3-4,Victoria(ヴィクトリア) 御茶ノ水本店,スポーツ用品/スポーツウェア,35.695214,139.7628945
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-2-6,F.JANCK(エフジャンク),スポーツ用品/スポーツウェア,35.6946883,139.7646689
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3-1,エスポートミズノ(ミズノ東京),スポーツ用品/スポーツウェア,35.694342,139.762253
千代田区,日比谷公園1丁目,-,東京都千代田区日比谷公園1-6,日比谷公園庭球場,テニスコート,35.6748914,139.7564432
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-4-14,ヴィクトリアゴルフ 御茶ノ水店,ゴルフショップ,35.6945752,139.7638042
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3-6,SUPER SPORTS XEBIO(スーパースポーツゼビオ) 御茶ノ水本店,スポーツ用品/スポーツウェア,35.6955446,139.7617541
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-4-8 MYビル,ムラサキスポーツ 神田小川町店,スポーツ用品/スポーツウェア,35.6945894,139.7641606
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3-10,石井スポーツ 神田本館,スポーツ用品/スポーツウェア,35.6961102,139.7610151
千代田区,神田神保1丁目,-,東京都千代田区神田神保1-6-1 タキイ東京ビル2F,石井スポーツ 登山本店,スポーツ用品/スポーツウェア,35.6963701,139.759338
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-5-1 新丸の内ビルディング(新丸ビル)B1F,MARUNOUCHI Bike&Run(マルノウチ バイクアンドラン),スポーツクラブ/フィットネスクラブ,35.6826212,139.7642436
千代田区,内神田2丁目,-,東京都千代田区内神田2-1-8,千代田区立スポーツセンター,スポーツ施設/運動公園,35.6891363,139.7676839
千代田区,五番先,-,東京都千代田区五番先,外濠公園総合グラウンド,スポーツ施設/運動公園,35.689718,139.7339083
千代田区,神田淡路町1丁目,-,東京都千代田区神田淡路町1-19 白須ビル1階,ココナッツ本店,サーフショップ/ダイビングショップ,35.6953586,139.7657371
千代田区,内神田1丁目,-,東京都千代田区内神田1-8-1 三井ビル 1F,ラフィネ ランニングスタイル神田店,スポーツ施設/運動公園,35.6901228,139.7666771
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-2 サンブリヂ小川町ビル 1F,オオイワスポーツ,スポーツ用品/スポーツウェア,35.6947837,139.7645491
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-9-1 大丸東京店11階,石井スポーツ 大丸東京店,スポーツ用品/スポーツウェア,35.6815527,139.7689401
千代田区,大手町1丁目,大丸有,東京都千代田区大手町1-9-2 大手町フィナンシャルシティ グランキューブ B1F,SPA OTEMACHI FITNESS CLUB(スパ オオテマチ フィットネス クラブ),スポーツクラブ/フィットネスクラブ,35.6884052,139.7647492
千代田区,神田相生町,-,東京都千代田区神田相生町1 秋葉原センタープレイスビルB1,jump one Akihabara(ジャンプ ワン アキハバラ),スポーツクラブ/フィットネスクラブ,35.6992908,139.7739578
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-30 昭和ビル1F,さかいやスポーツ エコープラザ,アウトドア用品,35.6956072,139.7557145
千代田区,皇居外苑,-,東京都千代田区皇居外苑,パレスサイクリングコース,スポーツ施設/運動公園,35.6796282,139.7588189
千代田区,飯田橋1丁目,-,東京都千代田区飯田橋1-12-12 九段大和エステート 1-3F,エニタイムフィットネス 九段下店,スポーツクラブ/フィットネスクラブ,35.6984398,139.7488973
千代田区,六番町,-,東京都千代田区六番町13番地2 桃園学園ビル,ゴールドジム 四ツ谷東京,スポーツクラブ/フィットネスクラブ,35.6862327,139.7321161
千代田区,丸の内2丁目,大丸有,東京都千代田区丸の内2丁目6番地1号 Marunouchi BRICK SQUARE 4F,ティップネス丸の内スタイル,スポーツクラブ/フィットネスクラブ,35.6788806,139.7627203
千代田区,有楽町1丁目,大丸有,東京都千代田区有楽町1-2-2 日比谷シャンテ別館B1-B2F,メガロス日比谷シャンテ,スポーツクラブ/フィットネスクラブ,35.6731283,139.7598772
千代田区,外神田6丁目,-,東京都千代田区外神田6-14-8,ヨガ教室ノア 秋葉原校,スポーツクラブ/フィットネスクラブ,35.7034671,139.7715378
千代田区,大手町1丁目,大丸有,東京都千代田区大手町1-2-1 OTEMACHI ONE B1F,ラフィネランニングスタイル Otemachi One店,スポーツ用品/スポーツウェア,35.6877019,139.76284
千代田区,神田花岡町1丁目,-,東京都千代田区神田花岡町1-1 ヨドバシAKIBA 9F,アクティブAKIBAゴルフガーデン,ゴルフ練習場,35.6989753,139.7746922
千代田区,神田神保町1丁目,-,東京都千代田区神田神保町1-4日商第一ビル2F,神保町ゴルフスクール,ゴルフ練習場,35.696315,139.7597373
千代田区,内神田1丁目,-,東京都千代田区内神田1-13-1 豊島屋ビル B2F,BOULCOM(ボルコム) 東京店,スポーツクラブ/フィットネスクラブ,35.6910329,139.765168
千代田区,平河町1丁目,-,東京都千代田区平河町1-6-4 H1O平河町503,Fun Azul Fleet,サーフショップ/ダイビングショップ,35.682556,139.740242
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3-6,スキーショップ アスペン,スキー/スノボショップ,35.6955446,139.7617541
千代田区,大手町1丁目,大丸有,東京都千代田区大手町1-6-1,ゴルフパートナー 大手町ビル店,ゴルフショップ,35.6863979,139.7648547
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-20,ダイブ クラップス,サーフショップ/ダイビングショップ,35.6967846,139.7566657
千代田区,神田駿河台2丁目,-,東京都千代田区神田駿河台2-1-20 お茶の水ユニオンビル B1F,エニタイムフィットネス 御茶ノ水店,スポーツクラブ/フィットネスクラブ,35.6997168,139.7621994
千代田区,岩本町1丁目,-,東京都千代田区岩本町1-6-3 プライム岩本町ビル 1F,エニタイムフィットネス 千代田岩本町店,スポーツクラブ/フィットネスクラブ,35.6916897,139.7769252
千代田区,外神田2丁目,-,東京都千代田区外神田2-5-12 タカラビル1F-B1,エニタイムフィットネス 秋葉原店,スポーツクラブ/フィットネスクラブ,35.700219,139.7689818
千代田区,麹町4丁目,-,東京都千代田区麹町4-8 麹町クリスタルシティ 1F,エニタイムフィットネス 麹町店,スポーツクラブ/フィットネスクラブ,35.6844535,139.7371413
千代田区,内神田1丁目,-,東京都千代田区内神田1-15-2 神田オーシャンビル B1F,エニタイムフィットネス 内神田店,スポーツクラブ/フィットネスクラブ,35.6915859,139.765787
千代田区,飯田橋4丁目,-,東京都千代田区飯田橋4丁目4-7 1F,サナーレ(sanare),スポーツクラブ/フィットネスクラブ,35.7005983,139.746502
千代田区,神田和泉町1丁目,-,東京都千代田区神田和泉町1-8-2 八木ビル102,ファイトフィット秋葉原,スポーツクラブ/フィットネスクラブ,35.699687,139.7770495
千代田区,神田駿河台2丁目,-,東京都千代田区神田駿河台2-10-6 VORT御茶ノ水 BF,Private Practice Range(プライベート プラクティス レンジ),ゴルフ練習場,35.6988349,139.7641942
千代田区,神田三崎町2丁目,-,東京都千代田区神田三崎町2-17-2 日宝水道橋ビル B1F,GRIT FIGHT SHOP(グリット ファイト ショップ),スポーツ用品/スポーツウェア,35.7012894,139.7534088
千代田区,東神田2丁目,-,東京都千代田区東神田2-10-15 REID-C東神田ビル 1F,ACTEK GOLF(アクテック ゴルフ),ゴルフショップ,35.6955368,139.7812861
千代田区,岩本町1丁目,-,東京都千代田区岩本町1-9-1 アイアンビルヂング 5F,ボクシングスタジオTRINITY(トリニティ),スポーツクラブ/フィットネスクラブ,35.6925469,139.777379
千代田区,神田須田町1丁目,-,東京都千代田区神田須田町1-24 AKビル 1F,ダイビングショップ アクオス,スポーツ用品/スポーツウェア,35.6948347,139.7709387
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-14 SP神保町ビル 1F,さかいやスポーツ シューズ館,その他靴店,35.6966056,139.7574214
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-44,さかいやスポーツ モンベルルーム,アウトドア用品,35.6981627,139.7560861
千代田区,神田岩本町1丁目,-,東京都千代田区神田岩本町1-20 窪田ビル 2F,WIN & WIN(ウイン アンド ウイン) 東京ショールーム,スポーツ用品/スポーツウェア,35.6962196,139.775093
