指標名,スタートアップ企業,,,,,,,,,,,,
出典,IINITIAL,,,,,,,,,,,,
年次,2024/02/06取得,,,,,,,,,,,,
URL,https://initial.inc/companies,,,,,,,,,,,,
備考,(2021年度：8785件、2022年度：-件、2023年度：11361件),,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,会社名,代表者,従業員数,総調達額,URL,設立,タイプ,業種
千代田区,-,-,東京都千代田区6-7-4,35.704595,139.7699902,gooddaysホールディングス株式会社,小倉　博、　小倉　弘之,243,"100,000",http://gooddays.jp/,2016/3/1,IPO / Exit企業,金融・保険・不動産 ICT
渋谷区,-,-,東京都渋谷区3-1-9,35.6571509,139.6995934,Foobe株式会社,岩井　恋真,,,https://www.foobe.jp/,2019/5/13,未公開企業,コンピューター - ITサービス
渋谷区,-,-,東京都渋谷区3-16-1 ベルザ恵比寿ビル6F,35.6498072,139.7101052,株式会社GA-YA-CHA,池内　慶,,"20,000",https://www.gayacha.com/,2018/1/25,未公開企業,コンピューター - ITサービス
新宿区,-,-,東京都新宿区1丁目16-9 シャンヴィラカテリーナ3F,35.7162518,139.6876327,株式会社東京,羅　悠鴻,28,"2,131,433",https://www.corp.tokyo-inc.com/,2017/2/10,未公開企業,コンピューター - ITサービス
千代田区,２番町１１丁目,-,東京都千代田区2番町11-7,35.6856988,139.7381018,株式会社ハイパータッチ,鈴木　領一,,"3,000",https://hypertouch.jp/,2021/6/7,未公開企業,コンピューター - ITサービス
千代田区,２番町３丁目,-,東京都千代田区2番町3-5,35.6855696,139.737344,株式会社ナレルグループ,小林　良,21,,https://nareru-group.co.jp/,2019/5/27,IPO / Exit企業,ビジネスサービス
新宿区,⻄新宿,-,東京都新宿区⻄新宿 6-22-1 新宿スクエアタワー3階,35.6940275,139.6877011,エリアビイジャパン株式会社,鈴木　一成,,"614,689",https://www.areabe.com/,2001/11/1,未公開企業,ビジネスサービス
新宿区,⻄新宿,-,東京都新宿区⻄新宿1丁⽬26-2 新宿野村ビル 32F,35.6890558,139.7122067,株式会社Prediction,⼤⽊　健⼀朗,2,"55,002",https://prediction.co.jp,2022/5/2,未公開企業,ビジネスサービス
新宿区,愛住町,-,東京都新宿区愛住町2,35.6887112,139.7187634,株式会社GOYOH,伊藤　幸彦,,"65,000",https://www.goyoh.jp/,2018/8/24,未公開企業,金融・保険・不動産 ICT
新宿区,愛住町,-,東京都新宿区愛住町12 LaKRSビル2階,35.6902552,139.7180545,株式会社ClubT,三宅　朝広,8,"54,490",https://clubt.jp/,2005/9/15,未公開企業,消費者向けサービス・販売
新宿区,愛住町,-,東京都新宿区愛住町12 LaKRSビル2階,35.6902552,139.7180545,株式会社HRデータラボ,三宅　朝広,,"9,990",https://hrdatalab.com/,2017/3/1,未公開企業,コンピューター - ITサービス
新宿区,愛住町,-,東京都新宿区愛住町22 第3山田ビル10階,35.6916447,139.7199305,リーテックス株式会社,小倉　隆志,12,"1,246,500",https://le-techs.com/,2019/1/16,未公開企業,コンピューター - ソフトウェア
新宿区,愛住町,-,東京都新宿区愛住町22 第3山田ビル8階,35.6916447,139.7199305,リーテックス株式会社,小倉　隆志,,"317,000",https://le-techs.com/,2019/9/20,未公開企業,ビジネスサービス
新宿区,愛住町,-,東京都新宿区愛住町23番地14 べルックス新宿ビル10階,35.6916364,139.719527,株式会社メディアグリッド,木村　愼,10,"274,762",http://www.mediagrid.co.jp/,2003/12/8,未公開企業,コンピューター - ITサービス
新宿区,愛住町１８丁目,-,東京都新宿区愛住町18－3,35.6906488,139.7194816,株式会社エコトバ,棕澤　和宏,1,"4,000",http://ekotova.com/wp/,2007/2/22,未公開企業,消費者向けサービス・販売
新宿区,愛住町１９丁目,-,東京都新宿区愛住町19-13 泰美ビル6F,35.6915145,139.7191824,PRIME HOLDINGS株式会社,石嵜　隆博,3,,http://prime-holdings.jp/,2023/2/1,未公開企業,コンピューター - ITサービス
新宿区,愛住町１９丁目,-,東京都新宿区愛住町19-13 泰美ビル6F,35.6915145,139.7191824,PRIME HOLDINGS株式会社,石嵜　隆博,3,,http://prime-holdings.jp/,2023/2/1,未公開企業,コンピューター - ITサービス
新宿区,愛住町１９丁目,-,東京都新宿区愛住町19-13 泰美ビル5F,35.6915145,139.7191824,ファンタジーリゾート株式会社,鶴浜　朗,62,"720,600",http://www.fantasyresort.jp/,2005/2/2,未公開企業,消費者向けサービス・販売
港区,愛宕,-,東京都港区愛宕2‐5-1 愛宕グリーンヒルズMORIタワー38階,35.6621409,139.7488929,株式会社Info Deliver,尚　捷,,"935,655",http://www.infodeliver.com/,1999/4/15,未公開企業,コンピューター - ITサービス
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1,35.6621409,139.7488929,株式会社ＬＴＴバイオファーマ,稲垣　哲也,14,,http://www.ltt.co.jp/,2003/1/6,IPO / Exit企業,バイオテクノロジー
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1,35.6621409,139.7488929,PGMホールディングス株式会社,レニハン・ジョセフ・エドワード,8,,,2004/12/9,IPO / Exit企業,ビジネスサービス
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1,35.6621409,139.7488929,PGMホールディングス株式会社,レニハン・ジョセフ・エドワード,8,,,2004/12/9,IPO / Exit企業,ビジネスサービス
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1,35.6621409,139.7488929,Appier Group株式会社,,492,,https://www.appier.com/ja/,2018/4/20,IPO / Exit企業,コンピューター - ITサービス
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1,35.6621409,139.7488929,株式会社ラキール,,387,,https://www.lakeel.com/,2017/10/5,IPO / Exit企業,コンピューター - ITサービス
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1,35.6621409,139.7488929,株式会社ＬＴＴバイオファーマ,稲垣　哲也,14,,http://www.ltt.co.jp/,2003/1/6,IPO / Exit企業,バイオテクノロジー
