指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,
出典,The Tabelog Award 2024,,,,,,,,,,,,,
年次,2024/01/31取得,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,
備考,(2021年度：211件、2022年度：147件、2023年度：158件(うち７区137件抽出)),,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,受賞・選出歴,星数,口コミ数,夜予算,昼予算,URL
港区,西麻布３丁目,-,東京都港区西麻布3-21-3,35.66003534,139.7252578,蒼,イノベーティブ、フレンチ,GOLD,"2024/gold, 2023/gold, 2022/silver, 2021/silver",4.5,329,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1307/A130701/13243463/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.68686464,139.7723437,アカ,スペイン料理,GOLD,"2024/gold, 2023/gold, 2022/gold, 2021/silver",4.61,346,"￥30,000～￥39,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1302/A130202/13249117/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-11-7,35.67457214,139.7375403,赤坂 詠月,日本料理,BRONZE,"2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2018/-, 2017/-, 2023/hyakumeiten, 2021/hyakumeiten",4.09,306,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1308/A130801/13116523/
港区,赤坂６丁目,赤坂,東京都港区赤坂6-3-13,35.67088914,139.7352811,赤坂おぎ乃,日本料理,SILVER,"2024/silver, 2023/bronze, 2023/hyakumeiten, 2021/hyakumeiten",4.24,223,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1308/A130801/13245499/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-9-12,35.67686814,139.7362441,赤坂 らいもん,焼肉、ホルモン,SILVER,"2024/silver, 2023/gold, 2022/silver, 2021/silver, 2020/silver, 2023/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten, 2020/hyakumeiten, 2019/hyakumeiten",4.46,378,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1308/A130801/13224635/
中央区,日本橋兜町１丁目,-,東京都中央区日本橋兜町1-4,35.68270774,139.7793238,ASAHINA Gastronome,フレンチ,BRONZE,"2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2023/hyakumeiten, 2021/hyakumeiten",4.22,389,"￥40,000～￥49,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1302/A130203/13227385/
港区,麻布十番２丁目,-,東京都港区麻布十番2-7-2,35.65593894,139.7336106,麻布 かどわき,日本料理,BRONZE,"2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2023/hyakumeiten, 2021/hyakumeiten",3.95,458,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1307/A130702/13001664/
港区,麻布十番１丁目,-,東京都港区麻布十番1-5-5,35.6573319,139.7329393,麻布 幸村,日本料理,BRONZE,"2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2018/-, 2017/-, 2023/hyakumeiten, 2021/hyakumeiten",4.02,154,-,-,https://tabelog.com/tokyo/A1307/A130702/13005316/
中央区,湊3丁目,-,東京都中央区湊3-13-15,35.66994214,139.779697,味ひろ,日本料理,BRONZE,"2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2018/-, 2023/hyakumeiten, 2021/hyakumeiten",4.26,155,-,-,https://tabelog.com/tokyo/A1313/A131301/13200027/
港区,六本木３丁目,六本木,東京都港区六本木3-8-8,35.66331124,139.7347264,味満ん,ふぐ,BRONZE,"2024/bronze, 2023/bronze, 2022/silver, 2021/bronze, 2020/silver, 2019/silver, 2018/-, 2017/-",4.31,253,-,-,https://tabelog.com/tokyo/A1307/A130701/13001332/
