指標名,観光地,,,,,,,,,
出典,google places API,,,,,,,,,
年次,2024/02/09取得,,,,,,,,,
URL,https://maps.googleapis.com/maps/api/place/nearbysearch,,,,,,,,,
備考,(2021年度：1925件、2022年度：1922件、2023年度：2497件),,,,,,,,,
,,,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
千代田区,新橋２丁目,虎ノ門広域,港区新橋２丁目７,35.667067,139.7576338,新橋駅西口広場 (SL広場),"tourist_attraction, park, point_of_interest, establishment",3.7,2155,ChIJ--QO2OuLGGARArLS5ggknfU
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6735053,139.7567875,大噴水,"tourist_attraction, point_of_interest, establishment",4,50,ChIJr62ciOSLGGARIs6ax4bn-a8
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6747197,139.7582922,心字池,"tourist_attraction, point_of_interest, establishment",4.2,34,ChIJ23HgvY-LGGARzGvMuq9sbFQ
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6728688,139.756388,第二花壇,"tourist_attraction, point_of_interest, establishment",4.4,19,ChIJ53TCnvGLGGARZ9EW5avOp3o
千代田区,内幸町２丁目,-,千代田区内幸町２丁目１−４ 日比谷中日ビル,35.6714844,139.7531714,石の塔,"tourist_attraction, point_of_interest, establishment",4,1,ChIJuTHhudiLGGARCvd163jE0ps
千代田区,内幸町２丁目,-,千代田区内幸町２丁目２,35.6698976,139.7552847,足長カリヨン,"tourist_attraction, point_of_interest, establishment",4,4,ChIJ7dc7ddqLGGARZlPvr7U9Ibo
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6733726,139.7548301,日比谷公園 鶴の噴水,"tourist_attraction, point_of_interest, establishment",4.5,21,ChIJhxcV4MGLGGARopLeXlAS9tY
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6749088,139.7574644,日比谷公園 第一花壇,"tourist_attraction, point_of_interest, establishment",4.7,29,ChIJ05OYU2qLGGARdiRMwrnekMs
千代田区,内幸町２丁目,-,千代田区内幸町２丁目２−２ 富国生命ビル,35.6703905,139.7552746,フコクフレンドリーフォレスト,"tourist_attraction, point_of_interest, establishment",5,3,ChIJQf2qSKmLGGARiyGhi6ydSC0
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6722354,139.753442,カモメの噴水,"tourist_attraction, point_of_interest, establishment",4.5,24,ChIJj-mxUWKLGGARvJ3Fmt3Vn-s
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6752383,139.7576714,ペリカン噴水,"tourist_attraction, point_of_interest, establishment",3.9,20,ChIJ-6ZEL_CLGGARRMzYsKSF188
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6751406,139.7587964,日比谷見附跡,"tourist_attraction, point_of_interest, establishment",4,51,ChIJSVlhwPGLGGARz28AxXTPVEo
千代田区,日比谷公園,-,千代田区日比谷公園１,35.672234,139.7560025,日比谷公園 にれの木広場,"park, tourist_attraction, point_of_interest, establishment",3.7,52,ChIJ4Zvuje2LGGARVk20UrzivBY
千代田区,西新橋２丁目,虎ノ門,港区西新橋２丁目１０−１３,35.6663773,139.7527195,港区立南桜公園,"park, tourist_attraction, point_of_interest, establishment",3.7,604,ChIJ_QAlUuuLGGARdGsUP8-SV8k
千代田区,新橋１丁目,虎ノ門広域,港区新橋１丁目３,35.6685916,139.7580123,幸橋門跡,"tourist_attraction, point_of_interest, establishment",2.8,12,ChIJiaQJUemLGGAR0TxarYix294
