,,,,,,,,,,,,,,
,指標名,バス停,,,,,,,,,,,,
,出典,NAVITIME,,,,,,,,,,,,
,年次,2025/2/5 取得,,,,,,,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,,,,,,,
,備考,（2022年度：3590件、2023年度：3645件、2024年度：3652件）,,,,,,,,,,,,
,,,,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリームルリエ号：東京-大阪〔ＪＲバス〕,高速バス,大阪駅ＪＲ高速バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,グランドリーム号：東京-京都・大阪・神戸〔ＪＲバス〕,高速バス,京都駅〔烏丸口〕/大阪駅ＪＲ高速バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,グラン昼特急：東京-京都・大阪〔ＪＲバス〕,高速バス,京都駅〔烏丸口〕/大阪駅ＪＲ高速バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,青春エコドリーム号：東京-京都・大阪・神戸〔ＪＲバス〕,高速バス,京都駅〔烏丸口〕/大阪駅ＪＲ高速バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,青春昼特急：東京-京都・大阪〔ＪＲバス〕,高速バス,大阪駅ＪＲ高速バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,いわき号：東京・新宿-いわき,高速バス,いわき駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム青森／盛岡・東京号,高速バス,盛岡駅前〔東口〕/青森駅前方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム福島・東京号,高速バス,郡山駅前（福島県）/福島駅東口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム秋田・東京号,高速バス,秋田駅東口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,しみずライナー：東京-清水,高速バス,清水駅前方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリームなごや号：東京-名古屋〔ＪＲバス〕,高速バス,名古屋駅〔新幹線口〕/ＪＲ岐阜駅前〔北口〕方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,中央ライナーなごや号：東京-名古屋〔ＪＲバス関東〕,高速バス,名古屋駅〔新幹線口〕方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,マロニエ新宿・マロニエ東京号：新宿・東京-佐野,高速バス,佐野新都市バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,御殿場プレミアム・アウトレット号〔ＪＲバス〕,高速バス,御殿場プレミアム・アウトレット方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東名ハイウェイバス：東京-静岡-浜松-名古屋,高速バス,静岡駅北口/名古屋駅〔新幹線口〕方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム静岡・浜松号：東京・横浜-静岡・浜松,高速バス,浜松駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京駅-河口湖,高速バス,富士急ハイランド〔第１ゲート側〕/河口湖駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,房総なのはな・新宿なのはな号：新宿・東京-館山,高速バス,館山駅前/安房白浜方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,上州ゆめぐり号：新宿-伊香保温泉・草津温泉,高速バス,伊香保温泉〔見晴下〕/草津温泉バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,つくば号：東京-つくば,高速バス,つくばセンター/筑波大学方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,みと号：東京-水戸,高速バス,石岡〔高速バス〕/水戸駅南口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京・新宿-本庄・伊勢崎,高速バス,伊勢崎駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,かしま号：東京-潮来・鹿嶋,高速バス,鹿島神宮駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,スサノオ号：東京-松江・出雲,高速バス,松江駅/出雲大社方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム阿南・徳島号：東京・新宿-徳島・阿南,高速バス,徳島駅前方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム岡山・広島号：東京・横浜-岡山・広島〔ＪＲ〕,高速バス,岡山駅〔西口〕/広島バスセンター方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,マイタウン・ダイレクトバス：東京-TDR・新浦安,高速バス,日の出七丁目方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム知多号：東京-知立・刈谷・金山駅,高速バス,知立駅北〔リリオホール前〕/刈谷駅南口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,エアポートバス東京・成田〔TYO-NRT〕,高速バス,成田空港第１ターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京駅-ムーミンバレーパーク,高速バス,メッツァ方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京-境町,高速バス,境町高速ＢＴ方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ひたち号：東京-日立・高萩,高速バス,日立駅/高萩駅（茨城県）方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,中央ライナー可児号：東京・新宿-中津川・多治見・可児,高速バス,可児車庫方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム可児号：東京・新宿-中津川・多治見・可児,高速バス,可児車庫方面,,バス停
