,,,,,,,
指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2025/2/20取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention_venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2021年度：199件、2022年度：202件、2023年度：198件、2024年度：167件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
江東区,有明３丁目,-,江東区有明3-11-1,35.62982,139.79445,東京ビッグサイト(東京国際展示場),http://www.bigsight.jp/
江東区,有明３丁目,-,江東区有明3-1,35.63063,139.78513,東京ファッションタウン(TFT)ビル,https://www.bigsight.jp/organizer/buildings/tft/
江東区,青海２丁目,-,江東区青海2-3-6,35.61934,139.77646,日本科学未来館,https://www.miraikan.jst.go.jp/
江東区,有明３丁目,-,江東区有明3-5-7,35.63263,139.78893,ＴＯＣ有明Convention Hall,https://www.toc.co.jp/saiji/ariake/
江東区,青海２丁目,-,江東区青海2-2-1,35.6205,139.77542,東京国際交流館 プラザ平成,https://www.jasso.go.jp/ryugaku/kyoten/tiec/plazaheisei/index.html
江東区,青海２丁目,-,江東区青海2-4-32,35.61745,139.77708,タイム24ビル,https://www.bigsight.jp/organizer/buildings/time/
江東区,青海２丁目,-,江東区青海2-5-10,35.61681,139.78021,テレコムセンタービル,https://www.tokyo-teleport.co.jp/b/tel/
江東区,有明２丁目,-,江東区有明2-2-22,35.63533,139.78816,有明コロシアム,https://www.tptc.co.jp/park/02_03/colosseum/04#mainbody
江東区,有明３丁目,-,江東区有明3-7-11,35.63363,139.79247,東京ベイ有明ワシントンホテル,https://washington-hotels.jp/ariake/
江東区,有明３丁目,-,江東区有明3-6-6,35.63221,139.78952,相鉄グランドフレッサ東京ベイ有明,https://fresa-inn.jp/ariake/
江東区,住吉２丁目,-,江東区住吉2-28-36,35.68848,139.81819,江東公会堂(ティアラこうとう),https://www.kcf.or.jp/tiara/
江東区,三好４丁目,-,江東区三好4-1-1,35.67979,139.80807,東京都現代美術館,http://www.mot-art-museum.jp/
江東区,新木場１丁目,-,江東区新木場1-18-8,35.64397,139.82684,木材会館,https://www.mokuzai-tonya.jp
江東区,東陽６丁目,-,江東区東陽6-3-3,35.67483,139.81483,ホテル イースト21東京,http://www.hotel-east21.co.jp
江東区,有明２丁目,-,江東区有明2-1,35.63832,139.79355,東京ガーデンシアター,https://www.shopping-sumitomo-rd.com/tokyo_garden_theater/
江東区,有明３丁目,-,江東区有明3-7-18,35.63363,139.79247,有明セントラルタワーホール＆カンファレンス,https://ariake-hall.jp/
江東区,有明１丁目,-,江東区有明1-10-1,35.64157,139.79213,有明GYM-EX（ジメックス）,https://www.bigsight.jp/organizer/buildings/gym-ex/
江東区,青海１丁目,-,江東区青海 1-1-10,35.62326,139.77377,Zepp DiverCity(TOKYO),https://www.zepp.co.jp/
江東区,有明１丁目,-,江東区有明1-11-1,35.6434,139.79482,有明アリーナ,https://ariake-arena.tokyo/
港区,東新橋１丁目,虎ノ門広域,港区東新橋1-1-19,35.666,139.76027,ニッショーホール,http://nissho-hall.jp/
港区,東新橋１丁目,虎ノ門広域,港区東新橋1-9-1,35.6625,139.76089,コンラッド東京,http://www.ConradTokyo.co.jp
港区,新橋１丁目,虎ノ門広域,港区新橋1-2-6,35.66873,139.75735,第一ホテル東京,https://www.hankyu-hotel.com/group/mice
港区,赤坂９丁目,六本木,港区赤坂9-7-2,35.66602,139.73221,東京ミッドタウン ホール& カンファレンス,https://www.tokyo-midtown.com/jp/facilities/hall/
港区,六本木１丁目,虎ノ門,港区六本木1-5-2,35.66464,139.74081,泉ガーデンギャラリー,https://www.bellesalle.co.jp/shisetsu/roppongi/izumig_gallery/
港区,赤坂７丁目,赤坂,港区赤坂7-2-21,35.67384,139.72997,草月ホール,http://www.sogetsu.or.jp
港区,六本木５丁目,六本木,港区六本木5-11-16,35.65844,139.7334,国際文化会館,https://www.i-house.or.jp/facilities/banquet/
港区,虎ノ門２丁目,虎ノ門,港区虎ノ門2-10-4,35.66731,139.74419,オークラ東京,https://theokuratokyo.jp/
港区,赤坂１丁目,虎ノ門,港区赤坂1-12-33,35.66734,139.7413,ANAインターコンチネンタルホテル東京,https://anaintercontinental-tokyo.jp/
港区,六本木６丁目,六本木,港区六本木6-10-3,35.66021,139.7292,グランド ハイアット 東京,https://www.tokyo.grand.hyatt.co.jp/banquets/
港区,赤坂９丁目,六本木,港区赤坂9-7-1,35.66602,139.73221,ザ・リッツ・カールトン東京,https://www.ritzcarlton.com/jp/hotels/japan/tokyo/
港区,虎ノ門１丁目,虎ノ門,港区虎ノ門1-23-3,35.66683,139.74921,虎ノ門ヒルズフォーラム,https://forum.academyhills.com/toranomon/
港区,虎ノ門１丁目,虎ノ門,港区虎ノ門1-23-4,35.66683,139.74921,アンダーズ 東京,http://tokyo.andaz.hyatt.com/ja/hotel/home.html
港区,台場２丁目,-,港区台場2-6-1,35.6251,139.7715,グランドニッコー東京 台場,https://www.tokyo.grandnikko.com/
港区,台場１丁目,-,港区台場1-9-1,35.6262,139.77065,ヒルトン東京お台場,http://hiltonodaiba.jp/
港区,港南１丁目,-,港区港南1-9-36,35.63068,139.74197,東京コンファレンスセンター・品川,http://www.tokyo-cc.co.jp
港区,港南２丁目,-,港区港南2-15-4,35.62634,139.742,品川インターシティホール,http://sic-hall.com/
