指標名,コワーキング施設,,,,,,,,
出典,コワーキングスペース検索,,,,,,,,
年次,2025/2/19取得,,,,,,,,
URL,https://coworking-search.jp/zenkoku/,,,,,,,,
備考,2020：346件、2021：369件、2022：406件、2023：403件、2024：387件),,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,座席数,法人登記,URL
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-4-1新国際ビル8f,35.6767148,139.7612147,"リージャス 丸の内新国際ビルビジネスセンター
",可能,-,https://coworking-search.jp/space/23/
千代田区,二番町,-,東京都千代田区二番町9-3thebase麹町,35.6842531,139.7355247,"THE HUB 麹町
",可能,14,https://coworking-search.jp/space/2615/
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-8-2鉄鋼ビルディング4f,35.6830017,139.7702356,"リージャス 丸の内鉄鋼ビルビジネスセンター
",可能,-,https://coworking-search.jp/space/22/
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-9-2グラントウキョウサウスタワー11階,35.678574,139.7672846,"JustCoグラントウキョウサウスタワー
",可能,ホットデスク約40席（変動する場合がございます。）,https://coworking-search.jp/space/2571/
千代田区,岩本町１丁目,-,東京都千代田区岩本町1-3-1神田ビジネスセンター1f,35.6916635,139.7751523,"THE HUB 神田EAST
",可能,2,https://coworking-search.jp/space/2971/
千代田区,丸の内１丁目,大丸有,"東京都千代田区丸の内1-11-1パシフィックセンチュリープレイス丸の内8f,13f",35.6780553,139.7668852,"リージャス 丸の内パシフィックセンチュリープレイスビジネスセンター
",可能,-,https://coworking-search.jp/space/21/
千代田区,神田須田町２丁目,-,"東京都千代田区神田須田町2-25gyb秋葉原4f,5f",35.6967141,139.7747049,"リージャス 秋葉原南ビジネスセンター
",可能,-,https://coworking-search.jp/space/9/
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-14-1ヒューリック神田須田町ビル1f-4f,35.6955122,139.7697478,"リージャス 神田ビジネスセンター
",可能,-,https://coworking-search.jp/space/1069/
千代田区,内幸町２丁目,-,東京都千代田区内幸町2-1-1飯野ビルディング9階,35.6708825,139.7527569,"クロスオフィス日比谷
",可能,約98席,https://coworking-search.jp/space/2133/
千代田区,麹町４丁目,-,"東京都千代田区麹町4-5-20ksビル4f,7f,8f",35.683583,139.7365853,"リージャス 麹町ビジネスセンター
",可能,-,https://coworking-search.jp/space/17/
千代田区,神田岩本町,-,東京都千代田区神田岩本町15-1cyk神田岩本町b1f,35.6966611,139.7748288,"BIZcomfort 秋葉原
",可能,23,https://coworking-search.jp/space/2617/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-13-2第一生命日比谷ファースト12f,35.6758374,139.7608173,"Signature 日比谷ファースト
",可能,-,https://coworking-search.jp/space/2828/
千代田区,大手町１丁目,大丸有,"東京都千代田区大手町1-6-1大手町ビル1f,2f",35.6864055,139.7648086,"SPACES 大手町
",可能,-,https://coworking-search.jp/space/503/
千代田区,内神田３丁目,-,東京都千代田区内神田3-12-4第一岸ビル5f,35.6912581,139.7700154,"THE HUB 神田西口
",可能,13,https://coworking-search.jp/space/2865/
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-5-1大手町ファーストスクエアイーストタワー4f,35.6859264,139.7643294,"リージャス 大手町ファーストスクエアビジネスセンター
",可能,-,https://coworking-search.jp/space/19/
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-7-1有楽町イトシアビル12f,35.6738004,139.7641258,"リージャス 有楽町イトシアビジネスセンター
",可能,-,https://coworking-search.jp/space/18/
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町2-19-23daiwa秋葉原ビル2f,35.6965896,139.7720789,"リージャス 秋葉原万世橋ビジネスセンター
",可能,-,https://coworking-search.jp/space/2935/
千代田区,神田多町２丁目,-,東京都千代田区神田多町2-11カツミビル601,35.6945242,139.7688221,ソフトオフィス神田,可能,-,https://coworking-search.jp/space/404/
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1-14第2東ビル303,35.6978414,139.7744134,秋葉原コワーキングスペース「Rampart」,可能,-,https://coworking-search.jp/space/1400/
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-10-1東京交通会館6f,35.6748902,139.7643308,goodoffice 有楽町,可能,オープン席：38席,https://coworking-search.jp/space/2760/
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-12-3安富ビル,35.6965866,139.7568824,EDITORY 神保町,可能,-,https://coworking-search.jp/space/1129/
千代田区,平河町１丁目,-,"東京都千代田区平河町1-3-6bizmarks麹町2,3,5,6f",35.682857,139.7397757,BIZMARKS 麹町,可能,-,https://coworking-search.jp/space/1864/
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-6-2新丸の内センタービル21階,35.6841764,139.766406,エグゼクティブセンター 新丸の内センタービル,可能,-,https://coworking-search.jp/space/105/
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町2-19-23野村第3ビル4階,35.6965896,139.7720789,コワーキングスペース 秋葉原 Weeyble,不可,-,https://coworking-search.jp/space/1631/
千代田区,神田錦町２丁目,-,東京都千代田区神田錦町2-4ダヴィンチ小川町3f,35.6938675,139.7636506,FUSION_N,可能,-,https://coworking-search.jp/space/1531/
千代田区,神田佐久間河岸,-,東京都千代田区神田佐久間河岸78-3柴田ビル3階,35.6970744,139.778048,アイラボ・シェアオフィス 秋葉原,不可,6席,https://coworking-search.jp/space/1535/
千代田区,外神田１丁目,-,東京都千代田区外神田1-13-2うすやビル1f,35.6989731,139.7716346,カラオケパセラ 秋葉原電気街店,不可,40席,https://coworking-search.jp/space/2238/
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-10-1東京交通会館ビル6階,35.6750271,139.7629618,LEAGUE有楽町,可能,-,https://coworking-search.jp/space/717/
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-2-3丸の内二重橋ビルディング2f、3f,35.6777281,139.7617738,サーブコープ 丸の内二重橋ビルディング,可能,-,https://coworking-search.jp/space/2633/
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関1-4-1日土地ビル2階,35.671004,139.7502998,SENQ 霞が関,可能,-,https://coworking-search.jp/space/957/
千代田区,神田神保町２丁目,-,"東京都千代田区神田神保町2-2b1,3f",35.6964345,139.757755,東京レンタル自習室 神保町,不可,-,https://coworking-search.jp/space/1612/
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-41,35.6947195,139.7610426,サービスオフィス神保町,可能,55席,https://coworking-search.jp/space/2710/
新宿区,袋町,-,東京都新宿区袋町5-1faro神楽坂,35.7012638,139.7382427,FARO神楽坂,可能,フリーアドレス（共有席）：10席　プライベートデスク（専有席）：11席,https://coworking-search.jp/space/1863/
千代田区,神田小川町１丁目,-,東京都千代田区神田小川町1-6-1宝ビル8f,35.6952112,139.7662862,イノバゼスト 神田,可能,-,https://coworking-search.jp/space/1630/
千代田区,九段南２丁目,-,東京都千代田区九段南2-4-11,35.6933988,139.7442486,HIVE TOKYO,可能,8席,https://coworking-search.jp/space/546/
千代田区,神田多町２丁目,-,東京都千代田区神田多町2-1神田東山ビル7f/8f,35.6928428,139.7694405,BIZcomfort Connect-Lounge神田,可能,78席,https://coworking-search.jp/space/1894/
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋4-8-13山商ビル5f,35.701394,139.745983,ジェネラボ 飯田橋,不可,-,https://coworking-search.jp/space/1302/
千代田区,東神田１丁目,-,"東京都千代田区東神田1-15-92f,3f",35.6949497,139.7826815,クロックカフェ,不可,-,https://coworking-search.jp/space/1773/
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-4-6クロサワビル6f,35.6961937,139.7598371,コワーキングスペース『BasisPoint 神保町』,不可,-,https://coworking-search.jp/space/1420/
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-11-13飯田橋i-markannex9f,35.7026968,139.7482307,NewWork 飯田橋,不可,28席,https://coworking-search.jp/space/2158/
千代田区,五番町,-,東京都千代田区五番町1-9mg市ヶ谷ビルディング7f,35.6907914,139.7364007,NewWork 市ヶ谷,不可,32席,https://coworking-search.jp/space/2853/
千代田区,神田司町２丁目,-,東京都千代田区神田司町2-13,35.6941387,139.7671448,ワイムビジネスプラザ神田,可能,-,https://coworking-search.jp/space/446/
千代田区,神田佐久間町３丁目,-,東京都千代田区神田佐久間町3-28星野ビル5f,35.6985028,139.7784574,STEPレンタルオフィス,可能,フリースペース：4席,https://coworking-search.jp/space/2685/
千代田区,岩本町３丁目,-,東京都千代田区岩本町3-8-8中和秋葉原ビル,35.6963887,139.7772991,BIZcomfort 秋葉原岩本町,可能,33席,https://coworking-search.jp/space/1900/
