指標名,薬局,,,,,,,
出典,病院なび,,,,,,,
年次,2025/3/6取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：1,315件、2021年度：1,321件、2022年度：1,323件、2023年度：1,310件、2024年度：1,336件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町一丁目6番9号 人形町大内ビル1階,35.68467,139.78236,健ナビ薬樹薬局 人形町,薬局,https://www.yakuju.co.jp/pharmacy/view/164
中央区,築地６丁目,-,東京都中央区築地6-26-3 DO築地ビル1F,35.66500,139.77171,株式会社ファーマみらい 共創未来 築地場外市場薬局,薬局,http://www.phmirai.co.jp/shops/detail.php?id=17
中央区,築地４丁目,-,東京都中央区築地4-3-11うねめビル1F,35.66687,139.76825,株式会社ファーマみらい 共創未来 築地4丁目薬局,薬局,http://www.phmirai.co.jp/shops/detail.php?id=71
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町13-8 メディカルプライム日本橋小伝馬町1F,35.69101,139.78110,株式会社なの花 メトロファーマシー日本橋小伝馬町店,薬局,https://www.metropharmacy.tokyo/
中央区,月島１丁目,-,東京都中央区月島1-11-9,35.66504,139.78189,フレンド薬局,薬局,https://www.monet-ph.com/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-4-3 日本橋室町野村ビル7階,35.68733,139.77391,アイセイ薬局 日本橋室町店,薬局,https://www.aisei.co.jp/
中央区,明石町,-,東京都中央区明石町11-15,35.66711,139.77475,望星築地薬局,薬局,https://www.bohseipharmacy.co.jp/
中央区,銀座５丁目,-,東京都中央区銀座5-7-7,35.67090,139.76425,銀座清水薬局,薬局,http://ginzashimzpha.jp/
中央区,入船１丁目,-,東京都中央区入船1-5-11 弘報ビル1階,35.67271,139.77707,桜川薬局,薬局,https://www.tmy.or.jp/
中央区,勝どき３丁目,-,東京都中央区勝どき3-5-5 AIP勝どき駅前ビル3階,35.65866,139.77608,アイセイ薬局 勝どき店,薬局,https://www.aisei.co.jp/
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-13-15 新居ビル6階,35.67981,139.78094,ウイング薬局 茅場町店,薬局,https://wing-pharmacy.com/
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-6-6,35.68936,139.78090,みらくる薬局 日本橋店,薬局,-
中央区,日本橋堀留町１丁目,-,東京都中央区日本橋堀留町1-10-19,35.68818,139.78003,れんげ薬局 日本橋店,薬局,-
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-10-5 住友生命茅場町ビル1階,35.67848,139.77878,トモズ 茅場町店,薬局,-
中央区,銀座３丁目,-,東京都中央区銀座3-10-1 銀座3丁目Dビルディング,35.67167,139.76846,トモズ 銀座三丁目店,薬局,-
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町3-3-1,35.68476,139.78742,トモズ トルナーレ浜町店,薬局,-
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-4-1 日本橋一丁目ビルディング1階,35.68249,139.77478,トモズ コレド日本橋店,薬局,-
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-14-8 1階,35.68399,139.78394,トモズ 水天宮前店,薬局,-
中央区,銀座３丁目,-,東京都中央区銀座三丁目2番1号 マロニエゲートⅡ 地下1階,35.67376,139.76513,オーケー銀座店薬局,薬局,-
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町14番7号 アクサ小伝馬町ビル1階,35.69156,139.78049,ぱぱす薬局 小伝馬町店,薬局,-
中央区,日本橋横山町,-,東京都中央区日本橋横山町3番12号 第15イチオクビル2階,35.69212,139.78221,ソニック薬局,薬局,-
中央区,勝どき４丁目,-,東京都中央区勝どき四丁目6番2号 パークタワー勝どきミッド303,35.65705,139.77706,日本調剤 パークタワー勝どき薬局,薬局,-
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町17番5号 グランド日本橋小伝馬町1階,35.69087,139.78197,au薬局,薬局,-
中央区,晴海２丁目,-,東京都中央区晴海二丁目5番24号 晴海センタービル1階105-B,35.65547,139.78286,晴海調剤薬局,薬局,-
中央区,築地１丁目,-,東京都中央区築地一丁目13番1号 築地松竹ビル1階,35.66839,139.76941,ミント薬局 銀座店,薬局,-
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町一丁目9番1号 アポテックビル4階,35.68305,139.78152,一平薬局,薬局,-
中央区,銀座１丁目,-,東京都中央区銀座一丁目3番9号 マルイト銀座ビル1階,35.67515,139.76620,スギ薬局 銀座一丁目店,薬局,-
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町一丁目8番3号 郵船茅場町ビル1階,35.68010,139.77910,スギ薬局 茅場町店,薬局,-
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町三丁目8番1号 TT-2ビル1階,35.68668,139.78242,人形町えきまえ薬局,薬局,-
中央区,日本橋３丁目,日八京,東京都中央区日本橋三丁目8番13号 華蓮日本橋ビル2階,35.68010,139.77330,ファイン薬局 八重洲日本橋,薬局,-
中央区,銀座８丁目,-,東京都中央区銀座八丁目12番1号 セイコー銀座ビル1階,35.66765,139.76322,薬局トモズ 銀座八丁目店,薬局,-
中央区,日本橋３丁目,日八京,東京都中央区日本橋三丁目8番16号 ぶよおビル1階,35.68021,139.77291,ウイング薬局 日本橋店,薬局,-
中央区,新川２丁目,-,東京都中央区新川二丁目28番2号 メディカルプライム新川1階,35.67339,139.78290,メトロファーマシー新川(薬局),薬局,-
中央区,八重洲２丁目,日八京,東京都中央区八重洲二丁目2番1号 東京ミッドタウン八重洲 地下1階,35.67941,139.76893,ウエルシア薬局 東京ミッドタウン八重洲店,薬局,-
中央区,築地１丁目,-,東京都中央区築地一丁目12番12号 SIビル1階,35.66818,139.77042,薬局トモズ 築地店,薬局,-
中央区,築地４丁目,-,東京都中央区築地四丁目7番5号 築地KYビル2階,35.66679,139.77010,つきじ調剤薬局,薬局,-
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目8番1号 東京日本橋タワーアネックス地下2階,35.68163,139.77523,ファーマライズ薬局 日本橋店,薬局,-
中央区,京橋１丁目,日八京,東京都中央区京橋一丁目1番6号 越前屋ビル2階,35.67918,139.77121,ひかり薬局,薬局,-
中央区,明石町,-,東京都中央区明石町11番5号,35.66703,139.77546,日本調剤 明石町薬局,薬局,-
中央区,日本橋３丁目,日八京,東京都中央区日本橋三丁目1番4号 1階,35.68096,139.77175,日本調剤 八重洲薬局,薬局,-
中央区,勝どき５丁目,-,東京都中央区勝どき五丁目10番6号 水直ビル1階,35.65602,139.77223,ぱぱす薬局 勝どき5丁目店,薬局,-
中央区,東日本橋３丁目,-,東京都中央区東日本橋三丁目11番8号 MKT東日本橋ビル1階,35.69231,139.78468,日本調剤 東日本橋薬局,薬局,-
中央区,八丁堀１丁目,-,東京都中央区八丁堀一丁目13番10号 三神ビル1階,35.67684,139.77858,スギ薬局 八丁堀店,薬局,-
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町二丁目2番5号 ハマナカ馬喰町ビル1階,35.69537,139.78297,日本調剤 馬喰町薬局,薬局,-
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町一丁目6番1号 JU SKYTOWER 日本橋 1階,35.69275,139.78239,日本調剤 馬喰町駅前薬局,薬局,-
中央区,晴海３丁目,-,東京都中央区晴海三丁目12番1号 KDX晴海ビル1階,35.65459,139.77855,ぱぱす薬局 晴海店,薬局,-
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町一丁目13番9号 不二ビル1階,35.68639,139.77543,クオール薬局 日本橋店,薬局,-
中央区,八重洲２丁目,日八京,東京都中央区八重洲二丁目1番 八重洲地下街中2号,35.68026,139.76931,薬局マツモトキヨシ ヤエチカ店,薬局,-
中央区,勝どき５丁目,-,東京都中央区勝どき五丁目3番2号 105号,35.65627,139.77272,のぞみ薬局 勝どき店,薬局,-
中央区,日本橋久松町,-,東京都中央区日本橋久松町10番8号 フィルパーク日本橋久松町1階-A,35.68919,139.78521,日本橋久松薬局,薬局,-
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町二丁目2番2号 La’ferio日本橋茅場町1階,35.67938,139.77785,さくらんぼ薬局,薬局,-
中央区,銀座８丁目,-,東京都中央区銀座八丁目12番3号 SRビル2階,35.66758,139.76321,銀座薬局,薬局,-
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目1番10号 柳屋ビル1階,35.68253,139.77327,ウエルシア薬局 日本橋1号店,薬局,-
