指標名,大使館・領事館,,,,,,,
出典,外務省,,,,,,,
年次,2025/3/9取得,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,
備考,（2020年度：159件、2021年度：159件、2022年度：154件、2023年度：152件、2024年度：155件）,,,,,,,
,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,施設名,英語名,エリア
港区,芝３丁目,-,東京都港区芝3-6-9 芝公園プラザ3階,35.652029,139.749297,在東京ブータン王国名誉総領事館,Honorary Consulate-General of the Kingdom of Bhutan in Tokyo,アジア
港区,西麻布３丁目,-,東京都港区西麻布3丁目3-22,35.658175,139.726896,ラオス人民民主共和国大使館,Embassy of the Lao People's Democratic Republic in Japan,アジア
港区,六本木５丁目,六本木,東京都港区六本木5丁目12-3,35.657634,139.73432,シンガポール共和国大使館,Embassy of the Republic of Singapore in Japan,アジア
港区,元麻布３丁目,-,東京都港区元麻布3丁目4-33,35.656289,139.727221,中華人民共和国大使館,Embassy of the People's Republic of China in Japan,アジア
港区,南麻布１丁目,-,東京都港区南麻布1-2-5,35.651984,139.732762,大韓民国大使館,Embassy of the Republic of Korea in Japan,アジア
港区,南麻布４丁目,-,東京都港区南麻布4-6-17,35.649995,139.727754,パキスタン・イスラム共和国大使館,Embassy of the Islamic Republic of Pakistan in Japan,アジア
港区,六本木５丁目,六本木,東京都港区六本木5-15-5,35.660114,139.735545,フィリピン共和国大使館,Embassy of the Republic of the Philippines in Japan,アジア
港区,赤坂８丁目,赤坂,東京都港区赤坂8丁目6-9,35.671124,139.728792,カンボジア王国大使館,Royal Embassy of Cambodia in Japan,アジア
港区,高輪２丁目,-,東京都港区高輪2丁目1-54,35.639866,139.736854,スリランカ民主社会主義共和国大使館,Embassy of the Democratic Socialist Republic of Sri Lanka in Japan,アジア
渋谷区,南平台町,-,東京都渋谷区南平台町20-16,35.652311,139.695504,マレーシア大使館,Embassy of Malaysia in Japan,アジア
渋谷区,神山町,-,東京都渋谷区神山町21-4,35.662227,139.689115,モンゴル国大使館,Embassy of Mongolia in Japan,アジア
渋谷区,元代々木町,-,東京都渋谷区元代々木町50-11,35.672878,139.685835,ベトナム社会主義共和国大使館,Embassy of the Socialist Republic of Viet Nam in Japan,アジア
千代田区,隼町,-,東京都千代田区隼町3-7,35.6811267,139.7423903,モルディブ共和国大使館,Embassy of the Republic of Maldives in Japan,アジア
千代田区,富士見１丁目,-,東京都千代田区富士見1丁目8-9,35.697818,139.744998,東ティモール民主共和国大使館,Embassy of the Democratic Republic of Timor-Leste,アジア
千代田区,九段南２丁目,-,東京都千代田区九段南2-2-11,35.693955,139.747162,インド大使館,Embassy of India in Japan,アジア
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町3-29,35.681825,139.737569,バングラデシュ人民共和国大使館,Embassy of the People's Republic of Bangladesh in Japan,アジア
品川区,東五反田５丁目,-,東京都品川区東五反田5－2－9,35.6313846,139.7213365,インドネシア共和国大使館,Embassy of the Republic of Indonesia in Japan,アジア
品川区,北品川４丁目,-,東京都品川区北品川4丁目8-26,35.620071,139.735846,ミャンマー連邦共和国大使館,Embassy of the Republic of the Union of Myanmar in Japan,アジア
品川区,北品川６丁目,-,東京都品川区北品川6丁目5-2,35.625759,139.732438,ブルネイ・ダルサラーム国大使館,Embassy of Brunei Darussalam in Japan,アジア
品川区,上大崎３丁目,-,東京都品川区上大崎3-14-6,35.631961,139.719544,タイ王国大使館,Royal Thai Embassy in Japan,アジア
港区,三田５丁目,-,東京都港区三田5－4－3三田プラザビル6階,35.6476746,139.7389306,ジンバブエ共和国大使館,Embassy of the Republic of Zimbabwe in Japan,アフリカ
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目6-1（3階を除く）,35.666658,139.745324,ナイジェリア連邦共和国大使館,Embassy of the Federal Republic of Nigeria in Japan,アフリカ
