指標名,世界トップ企業,,,,,,,,,,,,,,
出典,Forbes,,,,,,,,,,,,,,
年次,2024年,,,,,,,,,,,,,,
URL,"https://www.forbes.com/global2000, https://fortune.com/ranking/global500/2024/",,,,,,,,,,,,,,
備考,2019：157件　2020：165件　2021：163件　2022：150件　2023：141件　2024年：145件,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,,
区,町丁,エリア,住所,緯度,経度,Name,会社名,Ranking,Rank,SALES,PROFIT,ASSETS,MARKETVALUE,Employees,URL
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目７番１号,35.683174,139.767101,Mitsubishi UFJ Financial,三菱ＵＦＪフィナンシャル・グループ,Forbes Global 2024,39,$74.02 B,$10.31 B,"$2,667.44 B",$117.21 B,135049,https://www.forbes.com/companies/mitsubishi-ufj-financial/?list=global2000
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目１番２号,35.684975,139.762366,Sumitomo Mitsui Financial,三井住友フィナンシャルグループ,Forbes Global 2024,63,$61.34 B,$6.66 B,"$1,950.75 B",$80.94 B,101023,https://www.forbes.com/companies/sumitomo-mitsui-financial/?list=global2000
港区,港南１丁目,－,東京都港区東新橋１丁目７－１,35.631166,139.743612,Sony,ソニー株式会社,Forbes Global 2024,67,$90.05 B,$6.71 B,$225.36 B,$101.89 B,113000,https://www.forbes.com/companies/sony/?list=global2000
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５番１号　大手町ファーストスクエア　イーストタワー,35.685777,139.764025,Nippon Telegraph & Tel,ＮＴＴ（日本電信電話株式会社）,Forbes Global 2024,71,$92.49 B,$8.85 B,$195.61 B,$82.12 B,333840,https://www.forbes.com/companies/nippon-tel-tel/?list=global2000
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目３−１,35.681068,139.76252,Mitsubishi,三菱商事,Forbes Global 2024,78,$135.32 B,$6.67 B,$155.01 B,$88.91 B,80728,https://www.forbes.com/companies/mitsubishi/?list=global2000
港区,南青山２丁目,－,東京都港区南青山２丁目１－１,35.672266,139.723751,Honda Motor,本田技研工業株式会社,Forbes Global 2024,91,$141.28 B,$7.66 B,$196.73 B,$53.66 B,197039,https://www.forbes.com/companies/honda-motor/?list=global2000
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５–５,35.685512,139.765398,Mizuho Financial,株式会社みずほフィナンシャルグループ,Forbes Global 2024,105,$55.12 B,$4.7 B,"$1,841.3 B",$51.11 B,52420,https://www.forbes.com/companies/mizuho-financial/?list=global2000
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目３番１号,35.687754,139.762261,Mitsui,三井物産株式会社,Forbes Global 2024,108,$92.15 B,$7.36 B,$111.66 B,$76.77 B,5449,https://www.forbes.com/companies/mitsui/?list=global2000
港区,北青山２丁目,－,東京都港区北青山２丁目５番１号,35.671557,139.719321,Itochu,伊藤忠商事株式会社,Forbes Global 2024,143,$97.02 B,$5.54 B,$95.74 B,$67.16 B,115124,https://www.forbes.com/companies/itochu/?list=global2000
