指標名,世界トップ企業,,,,,,,,,,,,,,,
出典,Fortune,,,,,,,,,,,,,,,
年次,2024年,,,,,,,,,,,,,,,
URL,"https://www.forbes.com/global2000, https://fortune.com/ranking/global500/2024/",,,,,,,,,,,,,,,
備考,2019：157件　2020：165件　2021：163件　2022：150件　2023：141件　2024年：145件,,,,,,,,,,,,,,,
,,,,,,,,,Fortune,,,,,,,
区,町丁,エリア,住所,緯度,経度,Name,会社名,Ranking,Rank,Change in Rank,Revenues ($M),Revenue % Change,Profits ($M),Profits % Change,Assets ($M),Employees
港区,南青山２丁目,－,東京都港区南青山２丁目１－１,35.672266,139.723751,Honda Motor,本田技研工業株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),57,13,141348.53,13.16,7660.63,59.18,196892.94,"194,993"
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目３−１,35.681068,139.76252,Mitsubishi,三菱商事,2024 FORTUNE GLOBAL 500 (Revenue 2023),65,-20,135389.81,-15.05,6670.23,-23.53,155135.38,"80,037"
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５－１,35.685704,139.763744,Nippon Telegraph and Telephone,ＮＴＴ（日本電信電話株式会社）,2024 FORTUNE GLOBAL 500 (Revenue 2023),120,-11,92539.72,-4.65,8853.11,-1.22,195769.23,"338,467"
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目３番１号,35.687754,139.762261,Mitsui,三井物産株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),121,-28,92196.35,-12.77,7359.72,-11.89,111754.41,"53,602"
港区,港南１丁目,－,東京都港区東新橋１丁目７－１,35.631166,139.743612,Sony,ソニー株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),128,12,90091.75,5.67,6715.47,-3,225548.8,"113,000"
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目３番１号,35.686859,139.767437,Japan Post Holdings,日本郵政株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),146,2,82905.48,0.75,1859.05,-41.62,1975196.07,"221,387"
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目７－１,35.678609,139.764329,Mitsubishi UFJ Financial Group,三菱ＵＦＪフィナンシャル・グループ,2024 FORTUNE GLOBAL 500 (Revenue 2023),148,39,82270.29,19.99,10314.83,25.05,2669641.23,"145,412"
千代田区,二番町,－,東京都千代田区二番町８番地８,35.685844,139.734046,Seven & I Holdings,株式会社セブン＆アイ・ホールディングス,2024 FORTUNE GLOBAL 500 (Revenue 2023),151,-22,80124.62,-9.03,1568.88,-25.12,70788.73,"117,540"
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目１－２,35.686064,139.761993,ENEOS Holdings,ＥＮＥＯＳホールディングス株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),153,-31,79020.48,-13.58,1993.53,87.69,67031.77,"50,269"
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目１３－１,35.675837,139.760817,Dai-ichi Life Holdings,第一生命保険株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),164,18,76304.77,8.5,2219.4,56.22,446636.09,"59,495"
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目６番６号,35.683186,139.765766,Hitachi,株式会社日立製作所,2024 FORTUNE GLOBAL 500 (Revenue 2023),196,-43,67313.77,-16.26,4081.54,-14.89,80817.91,"268,655"
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目１－２,35.684975,139.762366,Sumitomo Mitsui Financial Group,三井住友フィナンシャルグループ,2024 FORTUNE GLOBAL 500 (Revenue 2023),208,113,64718.25,42.62,6662.7,11.91,1952365.43,"120,373"
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目６－１,35.67857,139.762532,Nippon Steel Corporation,日本製鉄株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),220,16,61359.08,4.14,3801.15,-25.86,70854.56,"121,236"
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５－５,35.685512,139.765398,Mizuho Financial Group,株式会社みずほフィナンシャルグループ,2024 FORTUNE GLOBAL 500 (Revenue 2023),226,124,60503.61,41.72,4698.01,14.47,1842826.02,"52,307"
千代田区,大手町１丁目,大丸有,東京都千代田区丸の内三丁目１番１号,35.687754,139.762261,Idemitsu Kosan,出光興産株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),275,-54,53042.59,-13.65,1581.13,-15.62,33145.71,"16,571"
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目２－１,35.683118,139.763278,Tokio Marine Holdings,東京海上ホールディングス株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),287,3,51371.87,4.59,4814.35,73.11,202320.26,"43,870"
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目７番１号　東京日本橋タワー,35.681913,139.774275,Marubeni,丸紅株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),298,-108,50166.9,-26.11,3261.74,-18.69,59010.69,"53,804"
千代田区,内幸町１丁目,－,東京都千代田区内幸町１丁目１番３号,35.670106,139.758431,Tokyo Electric Power,東京電力ホールディングス株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),317,-75,47868.89,-16.92,1853.28,,96518.19,"38,183"
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目３－２,35.687146,139.76796,Sumitomo,住友商事株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),318,-36,47812.94,-5.08,2673.2,-35.98,72957.17,"79,692"
港区,海岸１丁目,－,東京都港区海岸１丁目７−１　東京ポートシティ竹芝オフィスタワー,35.655214,139.758095,SoftBank Group,ソフトバンク株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),325,-30,46748.77,-3.69,-1575.1,,308981.9,"65,352"
中央区,新川２丁目,－,東京都中央区新川２丁目２７－２,35.674251,139.784321,MS&AD Insurance Group Holdings,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),338,46,45478.35,17.23,2554.98,114.1,178284.66,"38,391"
千代田区,飯田橋３丁目,－,東京都千代田区飯田橋３丁目１０番１０号,35.700322,139.750541,KDDI,ＫＤＤＩ株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),379,-22,39812.72,-4.99,4413.5,-11.82,93546.22,"61,288"
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目１－１,35.679154,139.762075,Meiji Yasuda Life Insurance,明治安田生命保険相互会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),399,-24,37897.38,-5.3,1062.25,67.47,349493.53,"47,140"
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目７－３,35.678607,139.764936,Mitsubishi Electric,三菱電機株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),416,-9,36379.93,-1.59,1971.59,24.76,40783.89,"149,134"
千代田区,内幸町２丁目,－,東京都千代田区内幸町２丁目２番３号,35.670326,139.754314,JFE Holdings,ＪＦＥ（ジェイエフイー）ホールディングス株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),428,-46,35803.7,-8.02,1365.97,13.7,38056.9,62218
新宿区,西新宿１丁目,－,東京都新宿区西新宿１丁目２６－１,35.692591,139.696522,Sompo Holdings,ＳＯＭＰＯホールディングス株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),454,-7,34136.3,0.29,2878.71,327.46,98087.41,48421
渋谷区,恵比寿１丁目,－,東京都渋谷区恵比寿１丁目２０－８,35.646787,139.713393,Subaru,株式会社ＳＵＢＡＲＵ,2024 FORTUNE GLOBAL 500 (Revenue 2023),495,新規,32540.07,16.69,2664.43,79.94,31835.4,37693
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目２番３号,35.677699,139.761735,Mitsubishi Heavy Industries,三菱重工業株式会社,2024 FORTUNE GLOBAL 500 (Revenue 2023),499,0,32223.18,3.78,1536.2,59.4,41371.9,77697
