指標名,ギャラリー,,,,,,
出典,TokyoArtBeat(Gallery),,,,,,
年次,2025/3/4取得,,,,,,
URL,http://www.tokyoartbeat.com/venues/Gallery,,,,,,
備考,（2020年度：577件、2021年度：766件、2022年度：555件、2023年度：651件、2024年度：667件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ウェブサイト
渋谷区,猿楽町,-,東京都渋谷区猿楽町12-33ハイツグレード102,35.651211,139.701119,白兎,https://www.hakuto-japan.com/
渋谷区,代々木５丁目,-,東京都渋谷区代々木5-61-3神永ハイツ1f,35.673679,139.691227,SPACE NOBORU,https://sites.google.com/view/space-noboru/%E3%83%9B%E3%83%BC%E3%83%A0
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町2-5石倉ビル5f,35.689390,139.777848,みうらじろうギャラリー@5,https://jiromiuragallery.com/@5/index.html
新宿区,新宿２丁目,-,東京都新宿区新宿2-4-2カーサ御苑602号室,35.688768,139.708083,小灯,https://cotomosi.com/
渋谷区,広尾１丁目,-,東京都渋谷区広尾1-15-72f,35.648357,139.712300,see you gallery,https://seeyougallery.com/
中央区,日本橋本町１丁目,日八京,東京都中央区日本橋本町1-2-8n11ビル2f,35.685499,139.776151,日本橋N11ギャラリー,https://n11-gallery.com/
中央区,銀座８丁目,-,東京都中央区銀座8-12-6,35.667356,139.762902,トーキョーアートプレースGINZA,https://tokyo-art-place.com/
中央区,日本橋堀留町１丁目,-,東京都中央区日本橋堀留町1-8-9渡菊ビル新館6f,35.687694,139.780848,JINEN GALLERY,https://jinen-gallery.com/
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-6-9箔屋町ビル5f,35.679436,139.773340,ギャラリー空の間,https://www.instagram.com/soranoma_hbl/
港区,南青山５丁目,-,東京都港区南青山5-7-23始弘ビルb1f,35.662664,139.712641,始弘画廊,http://sicoh.web.fc2.com/index.html
品川区,中延４丁目,-,東京都品川区中延4-1-21cmビル2f,35.606290,139.708904,ARTGEN.GALLERY（アートゲンギャラリー）,https://www.artgengallery.com/
品川区,西五反田３丁目,-,東京都品川区西五反田3-3-2,35.628723,139.717227,EVERANDART（エバランダート）,https://www.everandart.com/
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-12-1,35.696544,139.757165,ギャラリーかわまつ,https://gallery-kawamatsu.com/
港区,南青山６丁目,-,東京都港区南青山6-9-2日興兒玉パレス104,35.659292,139.716160,galerie a（ギャラリエ アー）,https://galerie-a.jp/
港区,南青山２丁目,-,東京都港区南青山2-9-18act青山ビル1b,35.669623,139.721664,TROLLEY（トロリー）,https://vehicletokyo.com/trolley/
港区,⻄麻布２丁目,-,東京都港区⻄麻布2-7-5ハウス⻄麻布5f,35.659385,139.723801,Pocko Gallery Tokyo（ポコギャラリー東京）,https://www.pocko.jp/
中央区,銀座１丁目,-,東京都中央区銀座1-9-8奥野ビル1f,35.673740,139.768782,銀座Gallery G2,https://artprojectg2.jimdofree.com/
