指標名,病院・診療所・クリニック,,,,,,,
出典,病院なび,,,,,,,
年次,2025/3/6取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：6,158件、2021年度：6,304件、2022年度：6,543件、2023年度：6,702件、2024年度：6,840件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-3-2 Bizflex東京八重洲1階・2階,35.68035,139.77103,医療法人社団 桜令会 日本橋れいわ内科,"内科, 糖尿病内科, 脳神経内科",https://leiwa.clinic/
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-7-7 笠原ビルディング3F,35.68496,139.78256,東京心臓血管・内科クリニック,"循環器内科, 心臓血管外科, 内科, 糖尿病内科",https://shinzo-kekkan.clinic/
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-2-3 アライヴ人形町2階,35.68473,139.78404,人形町まつだ耳鼻咽喉科,耳鼻いんこう科,https://ningyocho-matsuda-ent.com/
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町13-8 メディカルプライム日本橋小伝馬町8F,35.69101,139.78110,おりたメンタルクリニック,"心療内科, 精神科",https://orita-mental.com/
中央区,銀座１丁目,-,東京都中央区銀座1丁目3-13 THE ORB PREMIERE3F,35.67529,139.76621,医療法人社団三幸会 銀座フェミークリニック,美容皮膚科,https://www.ginza-femmy.net/
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-1-21 第二東洋ビル2F2B号室,35.68275,139.77238,医療法人ガブリエル会 日本橋ウィメンズクリニック,"婦人科, 女性内科",https://www.nihonbashi-womens.jp/
中央区,築地４丁目,-,東京都中央区築地4丁目3-8 登喜和ビル2F,35.66665,139.76853,東銀座メディカルクリニック,"心療内科, 精神科, 神経科, 内科",http://www.higashiginza-med.jp/
中央区,銀座５丁目,-,東京都中央区銀座5-5-18 銀座藤小西ビル8階,35.67163,139.76370,銀座なないろクリニック,"内科, 小児科, 皮膚科, 外科, アレルギー科",https://www.nanairo-clinic.tokyo/
中央区,銀座３丁目,-,東京都中央区銀座3丁目5-6 マツザワ第六ビル7F,35.67269,139.76624,医療法人 しんあい会 銀座中央通り眼科,眼科,https://ginza-chuo-ganka.com/
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町20-1 アンソレイエ・オオタ7F,35.67989,139.78642,医療法人社団真田会 日本橋ストレスケアクリニック,"心療内科, 精神科",https://stcare-clinic.jp/
