指標名,ホテル,,,,,,,,,
出典,Rakuten API,,,,,,,,,
年次,2024/12/10取得,,,,,,,,,
URL,https://app.rakuten.co.jp/services/api/Travel/SimpleHotelSearch/20170426,,,,,,,,,
備考,(2022年度：1721件、2023年度：1099.0件、2024年度：1124件),,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,レビュー数,室数,ホテルURL
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-2-7　,35.67922715,139.7698432,高濃度炭酸泉　八重桜の湯　スーパーホテルＰｒｅｍｉｅｒ東京駅八重洲中央口,4.21,3240,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=141356
中央区,銀座３丁目,-,東京都中央区銀座3-11-15,35.67071488,139.7684815,天然温泉　奥湯河原の湯　スーパーホテルＰｒｅｍｉｅｒ銀座,4.28,563,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167812
江東区,潮見２丁目,-,東京都江東区潮見2-8-6,35.65790168,139.8188291,アパホテル＆リゾート〈東京ベイ潮見〉,4.16,16446,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=74637
中央区,銀座１丁目,-,東京都中央区銀座1丁目13-15,35.6732453,139.7690164,ダイワロイネットホテル銀座　ＰＲＥＭＩＥＲ,4.21,1026,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149164
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-13-1,35.6771349,139.7761552,ホテル八重の翠東京,4.25,542,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178005
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1,35.67272894,139.7581587,帝国ホテル東京,4.72,2378,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28576
江東区,新木場１丁目,-,東京都江東区新木場1-6-1,35.64509047,139.827385,ＪＲ東日本ホテルメッツ　プレミア　東京ベイ新木場,4.55,561,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176718
中央区,築地２丁目,-,東京都中央区築地2丁目１５－１５,35.66717586,139.7703139,京急ＥＸイン　東銀座,4.24,1045,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153347
中央区,新川２丁目,-,東京都中央区新川2－20－4,35.67432381,139.78084,亀島川温泉　新川の湯　ドーミーイン東京八丁堀（ドーミーイン・御宿野乃　ホテルズグループ）,4.42,6473,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=41071
千代田区,神田司町２丁目,-,東京都千代田区神田司町2-2,35.69251309,139.7681931,グランドセントラルホテル＜東京都＞,3.75,5653,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5309
中央区,日本橋小伝馬町２丁目,-,東京都中央区日本橋小伝馬町2-3,35.69029304,139.7781832,伝馬の湯　ドーミーインＰＲＥＭＩＵＭ東京小伝馬町（ドーミーイン・御宿野乃　ホテルズグループ）,4.18,1087,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158347
中央区,銀座１丁目,-,東京都中央区銀座1-15-11,35.6735334,139.7698698,ホテルサンルート銀座,4.04,813,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147713
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-4-8,35.678682,139.7780306,京急ＥＸイン　東京・日本橋,4.35,717,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178446
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-1,35.68802476,139.7699931,京王プレッソイン大手町,3.84,6703,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40780
中央区,日本橋本町４丁目,日八京,東京都中央区日本橋本町4-7-15,35.6897914,139.7746146,ホテル　かずさや,4.4,466,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180271
千代田区,神田多町２丁目,-,東京都千代田区神田多町2-8,35.69472121,139.7691902,京王プレッソイン神田,3.71,4865,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18270
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町二丁目19-4,35.69651553,139.7723065,ヴィアイン秋葉原（ＪＲ西日本グループ）,3.77,3096,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=128268
