,,,,,,,,,,,,
指標名,国際会議,,,,,,,,,,,
出典,日本政府観光局（JNTO）,,,,,,,,,,,
年次,2023年,,,,,,,,,,,
URL,https://mice.jnto.go.jp/document/statistics.html,,,,,,,,,,,
備考,（2018年：164件、2019年：110件、2020年：14件、2021年：1件、2022年：2件、2023年：78件）,,,,,,,,,,,
,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,会議名,期間（2023年）,"参加国数
（日本含）",外国人参加者数,国内参加者数,参加者総数
江東区,有明３丁目,-,東京都江東区有明３丁目１１−１,35.62911385,139.7947521,東京ビッグサイト,第21回マテリアル戦略総合シンポジウム,02/03～02/03,4,4,132,136
江東区,有明３丁目,-,東京都江東区有明３丁目１１−１,35.62911385,139.7947414,東京ビッグサイト,第35回日本ものづくりワールド,06/21～06/23,3,2,4746,4748
江東区,青海２丁目,-,東京都江東区青海２丁目３−６,35.61960639,139.7767771,日本科学未来館,第46回日本神経科学大会,08/01～08/26,38,406,2452,2858
江東区,青海２丁目,-,東京都江東区青海２丁目３−６,35.61930971,139.7763995,日本科学未来館,中性子波長依存型イメージングに関する国際ワークショップ(NEUWAVE-11),10/22～10/26,13,50,40,90
江東区,青海２丁目,-,東京都江東区青海２丁目３−２６,35.6187414,139.7771793,産総研臨海副都心センター,COMS国際ワークショップ,10/24～10/24,6,14,130,144
江東区,有明３丁目,-,東京都江東区有明３丁目５−７,35.63226472,139.7885313,TOC有明コンベンションホール、HENNGE株式会社,PyCon APAC 2023,10/26～10/29,30,140,562,702
港区,新橋１丁目,虎ノ門広域,東京都港区新橋１丁目２−６,35.66879874,139.7574084,第一ホテル東京,JCMグローバルパートナーシップ会合,02/13～02/14,22,43,25,68
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１丁目２３−３ 虎ノ門ヒルズ森タワー 5F,35.66688669,139.749503,虎ノ門ヒルズフォーラム,第4回東京グローバル・ダイアログ,02/20～02/21,5,4,150,154
港区,六本木７丁目,六本木,東京都港区六本木７丁目２２−３４,35.66539311,139.7251896,日本学術会議,Gサイエンス学術会議2023,03/07～03/07,10,30,30,60
港区,芝公園４丁目,-,東京都港区芝公園４丁目８−１,35.65499398,139.7471683,ザ・プリンス パークタワー東京,国際シンポジウム 新たなステージを迎えた日・ASEAN関係 ーグローバル・パートナーシップの構築に向けて ～日本ASEAN友好協力50周年を迎え、次世代の有識者が今後の展望を語る～,03/16～03/16,10,15,150,165
港区,三田２丁目,-,東京都港区三田２丁目１−８,35.65230439,139.7379736,三田共用会議所,第21回「気候変動に対する更なる行動」に関する非公式会合,03/16～03/17,26,60,15,75
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１丁目１５−１６,35.6695041,139.7490746,笹川平和財団ビル,グリーンランドで進む資源開発ブーム —環境保護を軸とした採掘とは—,03/17～03/17,9,5,81,86
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１丁目１５−１６,35.6695041,139.7490746,笹川平和財団ビル,国際フォーラム「持続可能な海洋とG7 — 2023年G7札幌気候・エネルギー・環境大臣会合に向けて」,04/06～04/06,8,16,68,84
港区,高輪３丁目,-,東京都港区高輪３丁目１３−１,35.63001167,139.7334886,グランドプリンスホテル新高輪,第123回日本外科学会定期学術集会,04/27～04/29,11,40,10000,10040
港区,赤坂１丁目,虎ノ門,東京都港区赤坂１丁目１２−３３,35.66833315,139.7408307,ANAインターコンチネンタルホテル東京,G7 Cybersecurity Seminar 2023,05/09～05/09,3,2,79,81
港区,三田２丁目,-,東京都港区三田２丁目１５−４５,35.64896829,139.7431794,慶應義塾大学,第1回国際研究皮膚科学会(ISID2023),同上,同上,同上,同上,同上
港区,赤坂１丁目,虎ノ門,東京都港区赤坂１丁目８−１ 赤坂インターシティAir ３Ｆ・４Ｆ,35.67014572,139.7425511,赤坂インターシティコンファレンス,5G-ACIA Industrial 5G Day in Tokyo,05/11～05/11,15,74,196,270
港区,白金台１丁目,-,東京都港区白金台１丁目１−１,35.63820339,139.7279482,八芳園,ミュンヘン・リーダーズ・ミーティング,05/14～05/16,25,70,20,90
港区,赤坂１丁目,虎ノ門,東京都港区赤坂１丁目８−１ 赤坂インターシティAir ３Ｆ・４Ｆ,35.67014572,139.7425511,赤坂インターシティコンファレンス,Japan Endovascular Treatment Conference 2023(JET2023),05/26～05/28,23,215,1676,1891
港区,三田２丁目,-,東京都港区三田２丁目１−８,35.65224336,139.7379844,三田共用会議所,The Eighth Tokyo Fiscal Forum「アジア太平洋地域における経済財政上の強靭性の構築と財政政策の再形成」,06/06～06/07,13,55,13,68
港区,白金台１丁目,-,東京都港区白金台１丁目１−５０,35.63928543,139.7302473,シェラトン都ホテル,WCO-UPUグローバルカンファレンス,06/06～06/07,100,310,60,370
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門３丁目６−９,35.665847,139.745874,気象庁,気象衛星調整グループ第51回会合(CGMS-51),06/26～06/28,9,43,54,97
港区,赤坂１丁目,虎ノ門,東京都港区赤坂１丁目８−１ 赤坂インターシティAir ３Ｆ・４Ｆ,35.67008471,139.7425404,赤坂インターシティコンファレンス,ムーンショット目標6　国際シンポジウム2023,07/18～07/20,11,19,196,215
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１丁目１５−１６,35.6695041,139.7490746,笹川平和財団ビル,漁具による海洋汚染防止に関する国際ワークショップ,09/05～09/05,9,15,185,200
港区,六本木７丁目,六本木,東京都港区六本木７丁目２２−３４,35.66539311,139.7251896,日本学術会議,持続可能な社会のための科学と技術に関する国際会議2023,09/07～09/08,7,7,74,81
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１丁目２３−３ 虎ノ門ヒルズ森タワー 5F,35.66686926,139.7494708,虎ノ門ヒルズフォーラム,炭素市場プラットフォーム第8回戦略対話,10/23～10/24,19,50,130,180
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１丁目２３−３ 虎ノ門ヒルズ森タワー 5F,35.66688669,139.749503,虎ノ門ヒルズフォーラム,Asia-Pacific Climate Summit (APCS) 2023,10/24～10/26,30,350,200,550
港区,芝公園３丁目,虎ノ門,東京都港区芝公園３丁目３−１,35.65897069,139.7481176,東京プリンスホテル,日ASEAN観光大臣特別対話,10/27～10/29,13,61,130,191
港区,高輪３丁目,-,東京都港区高輪３丁目１３−１,35.63001478,139.7334761,グランドプリンスホテル新高輪,第41回日本神経治療学会学術集会,11/03～11/05,3,2,1400,1402
港区,台場２丁目,-,東京都港区台場２丁目６−１,35.6251591,139.7715758,グランドニッコー東京 台場,第7回ICRP国際シンポジウム、日本放射線影響学会第66回大会,11/06～11/09,54,382,130,512
港区,台場１丁目,-,東京都港区台場１丁目９−１,35.62640205,139.7706529,ヒルトン東京お台場,保険監督者国際機構(IAIS)2023年年次総会・年次コンファレンス　2023 IAIS Annual Conference,11/09～11/10,75,350,100,450
港区,港南４丁目,-,東京都港区港南４丁目５−７,35.62687627,139.7485781,東京海洋大学,Pacific Arctic Group 2023 Fall Meeting,11/15～11/16,11,38,14,52
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門２丁目２−１ 住友不動産虎ノ門タワー 2F,35.66926975,139.7456075,ベルサール虎ノ門,30th anniversary of the Japan-IMF Scholarship Program for Asia (JISPA),11/16～11/16,8,20,107,127
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１丁目１５−１６,35.6695041,139.7490746,笹川平和財団ビル,国際アマモ・ブルーカーボンワークショップ2023 (Amamo2023),11/17～11/19,7,60,440,500
港区,六本木７丁目,六本木,東京都港区六本木７丁目２２−３４,35.66537284,139.7251567,日本学術会議,データサイエンス国際シンポジウム(DSWS-2023),12/12～12/15,16,56,68,124
港区,芝公園３丁目,虎ノ門,東京都港区芝公園３丁目３−１,35.65897069,139.7481176,東京プリンスホテル,第3回東京イミグレーション・フォーラム,12/20～12/22,18,46,68,114
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前５丁目５３−７０,35.66232069,139.7083123,国連大学,東京国際法セミナー,08/21～08/24,15,18,48,66
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷３丁目２１−３,35.65756438,139.7025211,渋谷ストリームホール,CBDジャーニー & カナコン 2023 CBD/ヘンプに関する日本最大の展示会 &カンファレンス,11/02～11/03,10,130,2500,2630
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前５丁目５３−７０,35.66232069,139.7083123,国連大学,ESD-Net 2030 グローバル会合,12/18～12/20,79,144,61,205
新宿区,戸塚町１丁目,-,東京都新宿区戸塚町１丁目１０４,35.70877432,139.7196449,早稲田大学,第5回アジア太平洋研究公正ネットワークミーティング2023,03/20～03/22,15,73,121,194
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目２−１,35.69026087,139.6942564,京王プラザホテル,第1回国際研究皮膚科学会(ISID2023),05/10～05/13,50,1802,792,2594
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目４−１,35.68805475,139.6934932,新宿ＮＳビル,第1回国際研究皮膚科学会(ISID2023),同上,同上,同上,同上,同上
新宿区,西新宿２丁目,-,京都新宿区西新宿２丁目７ー２,35.69151919,139.6908578,ハイアットリージェンシー東京,上原国際シンポジウム2023 - Big DataDriven Approaches with AI in Life Sciences ,06/05～06/07,8,15,83,98
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目２−１,35.69025437,139.6942516,京王プラザホテル,第35回日本肝胆膵外科学会学術集会,06/30～07/01,20,144,1546,1690
新宿区,戸塚町１丁目,-,東京都新宿区戸塚町１丁目１０４,35.70877432,139.7196449,早稲田大学,第10回国際産業数理・応用数理会議,08/20～08/25,80,3547,922,4469
新宿区,市谷八幡町,-,東京都新宿区市谷八幡町2−８ TKP市ヶ谷ビル B1階 9階（事務所：2階,35.69227758,139.7345718,TKP市ヶ谷カンファレンスセンター,令和5年度第1回航空宇宙防衛力シンポジウム,09/26～09/26,4,4,62,66
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目２−１,35.69025326,139.6942488,京王プラザホテル,第50回日本肩関節学会学術集会,10/13～10/14,7,49,1661,1710
