指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
出典,ミシュランガイド東京 2024,,,,,,,2つ星,優れた料理,
年次,2024年,,,,,,,1つ星,高品質な料理,
URL,https://guide.michelin.com/jp/ja/tokyo-region/restaurants,,,,,,,ビブグルマン,価格以上の満足感が得られる料理,
備考,（2019年：318件、2020年：322件、2022年度：318件、2023年度：400件、2024年度：419件）,,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,カテゴリ,星数,価格帯,URL
渋谷区,神宮前６丁目,-,渋谷区神宮前 6-9-9,35.66714,139.70502,野田／Noda,現代風料理,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/noda-1212852
中央区,日本橋箱崎町,-,中央区日本橋箱崎町 8-6,35.67908,139.78516,ル・ジャルダン・ド・カモ／Le Jardin de Kamo,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-jardin-de-kamo
港区,南青山４丁目,-,港区南青山 4-3-23 2F,35.66609,139.72020,エーヴィック／EWIG,オーストリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ewig
新宿区,袋町,-,新宿区袋町 3-6 3F,35.70139,139.73856,鮨 大矢／Sushi Oya,寿司,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-oya
港区,南麻布２丁目,-,港区南麻布 2-7-23,35.64733,139.73667,鮨 田中／Sushi Tanaka,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-tanaka
新宿区,西早稲田２丁目,-,新宿区西早稲田 2-3-21,35.70683,139.71676,旧雨／Kyuu,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kyuu
港区,赤坂３丁目,赤坂,港区赤坂 3-21-8 3F,35.67647,139.73618,赤坂 島袋／Akasaka Shimabukuro,日本料理,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akasaka-shimabukuro
港区,麻布十番３丁目,-,港区麻布十番 3-9-2 2F,35.65288,139.73422,フラグメント 麻布十番／fragment Azabujuban,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/fragment-azabujuban
港区,南麻布５丁目,-,港区南麻布 5-15-25 2F,35.65184,139.72247,レ シス／Les six,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/les-six
港区,西麻布４丁目,-,港区西麻布 4-11-28 2F,35.65934,139.72251,氣分／KIBUN,現代風料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kibun
港区,白金３丁目,-,港区白金 3-2-3,35.64662,139.73129,白金 芯／Shirokane Shin,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shirokane-shin
港区,白金６丁目,-,港区白金 6-16-41,35.64380,139.72290,山／Yama,クリエイティブ,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yama-1214953
新宿区,荒木町,-,新宿区荒木町 7,35.68935,139.72225,鮨 てる／Sushi Teru,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-teru
港区,虎ノ門３丁目,虎ノ門,港区虎ノ門 3-11-15,35.66511,139.74704,すきやき あさい／SUKIYAKI ASAI,すき焼,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sukiyaki-asai
中央区,銀座７丁目,-,中央区銀座 7-7-19 B1F,35.66965,139.76225,ロドラント ミノルナキジン／l'Odorante par Minoru Nakijin,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-odorante-par-minoru-nakijin
品川区,大井１丁目,-,品川区大井 1-53-8,35.60452,139.73376,ブラッスリー ポワソンルージュ／BRASSERIE POISSON ROUGE,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/brasserie-poisson-rouge
中央区,日本橋人形町２丁目,-,中央区日本橋人形町 2-10-11 7F,35.68564,139.78405,柳燕／Ryuen,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ryuen
港区,虎ノ門２丁目,虎ノ門,港区虎ノ門 2-6-4 虎ノ門ヒルズ ステーションタワー 1F,35.66733,139.74731,ル・プリスティン 東京／LE PRISTINE TOKYO,"現代風料理, 現代風イタリア料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-pristine-tokyo
渋谷区,松涛２丁目,-,渋谷区松濤 2-13-12,35.65921,139.69187,啓蟄／Keichitsu,"フランス料理, 現代風フランス料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/keichitsu
渋谷区,神宮前５丁目,-,渋谷区神宮前 5-10-1 GYRE 4F,35.66739,139.70691,ボネラン／bonélan,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bonelan
