指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/about/statistics_and_research,,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,,
年次,2025/2取得,,,国立（高等学校のみ）,https://www.minkou.jp/hischool/search/pref=tokyo/c=2/,,,,
URL,右記参照,,,,,,,,
備考,（2019年度：498件、2020年度：733件、2021年度：716件、2022年度：711件、2023年度：716件、2024年度：723件）,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,国公私,カテゴリ,データ年次
港区,芝浦３丁目,-,東京都港区芝浦３-３−６,35.644050,139.747258,東京工業大学附属科学技術高等学校,国立,高校,2024年2月取得
千代田区,麹町２丁目,-,東京都千代田区麹町2-8,35.684664,139.740614,麹町,公立,幼稚園,2024年5月1日
千代田区,三番町,-,東京都千代田区三番町16,35.690522,139.740713,九段,公立,幼稚園,2024年5月1日
千代田区,六番町,-,東京都千代田区六番町8,35.687673,139.733549,番町,公立,幼稚園,2024年5月1日
千代田区,神田猿楽町１丁目,-,東京都千代田区神田猿楽町1-1-1,35.697373,139.760308,お茶の水,公立,幼稚園,2024年5月1日
千代田区,神田司町２丁目,-,東京都千代田区神田司町2-16,35.693169,139.768274,千代田,公立,幼稚園,2024年5月1日
千代田区,外神田３丁目,-,東京都千代田区外神田3-4-7,35.701223,139.769923,昌平,公立,幼稚園,2024年5月1日
千代田区,神田和泉町,-,東京都千代田区神田和泉町1,35.699269,139.775976,いずみこども園,公立,幼稚園,2024年5月1日
千代田区,富士見１丁目,-,東京都千代田区富士見1-10-3,35.697007,139.746911,ふじみこども園,公立,幼稚園,2024年5月1日
中央区,銀座５丁目,-,東京都中央区銀座5-1-13,35.672356,139.761507,泰明,公立,幼稚園,2024年5月1日
中央区,湊１丁目,-,東京都中央区湊1-4-1,35.672160,139.778733,中央,公立,幼稚園,2024年5月1日
中央区,明石町,-,東京都中央区明石町1-15,35.668719,139.776448,明石,公立,幼稚園,2024年5月1日
中央区,築地２丁目,-,東京都中央区築地2-13-1,35.667957,139.771318,京橋朝海,公立,幼稚園,2024年5月1日
中央区,新川２丁目,-,東京都中央区新川2-13-4,35.676117,139.781743,明正,公立,幼稚園,2024年5月1日
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-26,35.688215,139.770168,常盤,公立,幼稚園,2024年5月1日
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-10-23,35.683193,139.788005,有馬,公立,幼稚園,2024年5月1日
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-26,35.688215,139.770168,久松,公立,幼稚園,2024年5月1日
中央区,月島１丁目,-,東京都中央区月島1-9-7,35.664693,139.782851,月島,公立,幼稚園,2024年5月1日
中央区,月島４丁目,-,東京都中央区月島4-15-1,35.660359,139.779736,月島第一,公立,幼稚園,2024年5月1日
中央区,勝どき１丁目,-,東京都中央区勝どき1-12-2,35.660246,139.776069,月島第二,公立,幼稚園,2024年5月1日
中央区,晴海１丁目,-,東京都中央区晴海1-4-1,35.658365,139.785688,晴海,公立,幼稚園,2024年5月1日
中央区,豊海町,-,東京都中央区豊海町3-1,35.653166,139.771313,豊海,公立,幼稚園,2024年5月1日
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-1-17,35.684267,139.781365,日本橋,公立,幼稚園,2024年5月1日
港区,三田２丁目,-,東京都港区三田2-6-2,35.651850,139.742472,赤羽,公立,幼稚園,2024年5月1日
港区,芝浦４丁目,-,東京都港区芝浦4-8-18,35.638759,139.746362,芝浦,公立,幼稚園,2024年5月1日
港区,白金３丁目,-,東京都港区白金3-13-8,35.644995,139.728900,三光,公立,幼稚園,2024年5月1日
港区,港南４丁目,-,東京都港区港南4-3-27,35.629345,139.748837,港南,公立,幼稚園,2024年5月1日
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-5-15,35.661815,139.738480,麻布,公立,幼稚園,2024年5月1日
港区,元麻布３丁目,-,東京都港区元麻布3-8-15,35.657156,139.730446,南山,公立,幼稚園,2024年5月1日
港区,南麻布３丁目,-,東京都港区南麻布3-9-33,35.649755,139.730037,本村,公立,幼稚園,2024年5月1日
港区,赤坂９丁目,六本木,東京都港区赤坂9-2-26,35.668031,139.731721,中之町,公立,幼稚園,2024年5月1日
港区,南青山４丁目,-,東京都港区南青山4-18-17,35.663528,139.717009,青南,公立,幼稚園,2024年5月1日
