指標名,ホール・劇場,,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,,
年次,2024年3月末,,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,,
備考,野外会場も含む。（2019年度：439件、2020年度：521件、2024年度：469件）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯,施設種別
品川区,荏原４丁目,-,東京都品川区荏原4-5-28,35.61526,139.70793,品川区立荏原平塚総合区民会館　スクエア荏原 〔ひらつかホール〕,03-5788-5321,https://www.shinagawa-culture.or.jp/square/,368,368,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:30,ホール・劇場
品川区,荏原５丁目,-,東京都品川区荏原5-6-5,35.61442,139.70163,品川区荏原区民センター〔レクリエーションホール〕,03-3788-7939,http://www.city.shinagawa.tokyo.jp/hp/menu000003000/hpg000002986.htm,120,120,なし,アリーナ・平土間形式,可動席（スタッキングチェア）,多目的,多目的,一般に貸出している,,9:00～21:30,ホール・劇場
品川区,旗の台１丁目,-,東京都品川区旗の台1-5-8,35.60848,139.70358,昭和大学　上條講堂,03-3784-8024,URLはありません,716,716,プロセニアム形式,シューボックス形式,固定席,講演会,"講演会, 各種イベント",一般に貸出している,,9:00～20:00,ホール・劇場
品川区,旗の台５丁目,-,東京都品川区旗の台5-19-5,35.60385,139.7003,品川区立旗の台文化センター〔レクリエーションホール〕,03-3786-5191,http://www.city.shinagawa.tokyo.jp/hp/menu000000400/hpg000000314.htm,,60,なし,アリーナ・平土間形式,可動席（スタッキングチェア）,"ダンス・パフォーマンス, 合唱, 講習会","ダンス・パフォーマンス, 合唱, 講習会",一般に貸出している,,9:00～21:30,ホール・劇場
品川区,小山４丁目,-,東京都品川区小山4-11-12,35.61885,139.70146,小山台会館〔大ホール〕,03-5721-6171,https://www.koyamadai50.jp/index.html,130,130,オープン形式,,可動席（スタッキングチェア）,"ポップス, クラシック, 演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, 合唱, 映像上映会（試写会など）, 講演会, 展示会","クラシック, 日本の伝統音楽（邦楽等）, 合唱, 映像上映会（試写会など）, 講演会, 展示会",利用条件の設定,-,9:00～21:00,ホール・劇場
品川区,小山４丁目,-,東京都品川区小山4-11-12,35.61885,139.70146,小山台会館〔中ホール〕,03-5721-6171,https://www.koyamadai50.jp/index.html,50,50,,シューボックス形式,可動席（スタッキングチェア）,"講演会, 展示会, -","講演会, -",利用条件の設定,-,9:00～21:00,ホール・劇場
品川区,上大崎２丁目,-,東京都品川区上大崎2-13-35,35.63465,139.71788,ＴＨＥ ＬＩＶＥ ＳＴＡＴＩＯＮ,03-3444-3464,http://www.livestation.co.jp/,,,,,,,,,,,ホール・劇場
品川区,上大崎４丁目,-,東京都品川区上大崎4-6-9,35.63048,139.716,十四世喜多六平太記念能楽堂,03-3491-8813,http://kita-noh.com/,385,385,,,固定席,能・狂言,,一般への貸出はしていない,,,ホール・劇場
品川区,西五反田６丁目,-,東京都品川区西五反田6-5-1,35.62205,139.71658,五反田文化センター〔音楽ホール〕,03-3492-2451,http://www.city.shinagawa.tokyo.jp/hp/menu000000400/hpg000000314.htm,250,250,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","クラシック, 世界の民族音楽, お笑い・寄席・演芸, バレエ, 合唱, 講演会",一般に貸出している,,9:00～21:30,ホール・劇場
品川区,西品川１丁目,-,東京都品川区西品川1-28-3,35.60954,139.72659,品川区中小企業センター〔レクリエーションホール〕,03-3787-3041,http://www.city.shinagawa.tokyo.jp/hp/menu000000100/hpg000000079.htm,,,,,,,,一般に貸出している,,9:00～21:30,ホール・劇場
品川区,大井６丁目,-,東京都品川区大井6-11-1,35.59663,139.73022,品川区立品川歴史館〔講堂〕,03-3777-4060,http://www.city.shinagawa.tokyo.jp/jigyo/06/historyhp/hsindex.html,,,,,,"日本の伝統音楽（邦楽等）, 講演会","日本の伝統音楽（邦楽等）, 講演会",,,,ホール・劇場
品川区,大崎１丁目,-,東京都品川区大崎1-11-1,35.61695,139.72955,ゲートシティ大崎〔ゲートシティホール・ルーム〕,03-5496-5311,http://www.gatecity.jp/hallandroom/,440,495,オープン形式,シューボックス形式,ロールバックチェア,"ポップス, お笑い・寄席・演芸, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, お笑い・寄席・演芸, オペラ, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,,ホール・劇場
品川区,中延１丁目,-,東京都品川区中延1-9-15,35.61221,139.71085,品川区立荏原文化センター〔大ホール〕,03-3785-1241,http://www.city.shinagawa.tokyo.jp/hp/menu000000400/hpg000000314.htm,437,500,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, 演歌・歌謡曲, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, 講演会",一般に貸出している,,9:00～21:30,ホール・劇場
品川区,中延１丁目,-,東京都品川区中延1-9-15,35.61221,139.71085,品川区立荏原文化センター〔レクリエーションホール〕,03-3785-1241,http://www.city.shinagawa.tokyo.jp/hp/menu000000400/hpg000000314.htm,135,135,なし,アリーナ・平土間形式,可動席（スタッキングチェア）,"演劇, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","演劇, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:30,ホール・劇場
品川区,東大井５丁目,-,東京都品川区東大井5-18-1,35.60618,139.73587,品川区立総合区民会館　きゅりあん〔大ホール〕,03-5479-4112,http://www.shinagawa-culture.or.jp/hp/menu000000300/hpg000000242.htm,1088,1142,プロセニアム形式,扇型形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:30,ホール・劇場
