,,,,,,,,,,,
,指標名,観光地,,,,,,,,,
,出典,google places API,,,,,,,,,
,年次,2025/02/05取得,,,,,,,,,
,URL,google places API,,,,,,,,,
,備考,(2022年度：1922件、2023年度：2497.0件、2024年度：2182件),,,,,,,,,
,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
,千代田区,内幸町２丁目,-,千代田区内幸町２丁目１−４ 日比谷中日ビル,35.6714844,139.7531714,「空をみるために」平田五郎,"tourist_attraction, point_of_interest, establishment",4,1,ChIJuTHhudiLGGARCvd163jE0ps
,千代田区,日比谷公園,-,千代田区日比谷公園１,35.6735053,139.7567875,大噴水,"tourist_attraction, point_of_interest, establishment",4.1,70,ChIJr62ciOSLGGARIs6ax4bn-a8
,千代田区,日比谷公園,-,千代田区日比谷公園１−１,35.6747197,139.7582922,心字池,"tourist_attraction, point_of_interest, establishment",4.3,50,ChIJ23HgvY-LGGARzGvMuq9sbFQ
,港区,新橋２丁目,虎ノ門広域,港区新橋２丁目７−先,35.667067,139.7576338,新橋駅西口広場 (SL広場),"tourist_attraction, park, point_of_interest, establishment",3.7,2374,ChIJ--QO2OuLGGARArLS5ggknfU
,千代田区,内幸町２丁目,-,千代田区内幸町２丁目２−２ 富国生命ビル,35.6703905,139.7552746,フコクフレンドリーフォレスト,"tourist_attraction, point_of_interest, establishment",5,6,ChIJQf2qSKmLGGARiyGhi6ydSC0
,千代田区,内幸町１丁目,-,千代田区内幸町１丁目６−８,35.6690711,139.7585754,URACORI 銀座裏コリドー,"tourist_attraction, restaurant, point_of_interest, food, establishment",3.8,57,ChIJyax9WoCLGGARsCQ5yr2RjNE
,千代田区,有楽町１丁目,大丸有,千代田区有楽町１丁目３−２,35.6736998,139.7602977,ゴジラ像,"tourist_attraction, point_of_interest, establishment",3.8,2146,ChIJj9FCzO-LGGARv0qenUaDws4
,千代田区,日比谷公園,-,千代田区日比谷公園１,35.6752793,139.7585432,伊達政宗終焉の地,"tourist_attraction, point_of_interest, establishment",3.7,110,ChIJVzm4lvGLGGARQcfrzMS4DcA
,千代田区,日比谷公園,-,千代田区日比谷公園１,35.6733726,139.7548301,鶴の噴水,"park, tourist_attraction, point_of_interest, establishment",4.5,33,ChIJhxcV4MGLGGARopLeXlAS9tY
,千代田区,日比谷公園,-,千代田区日比谷公園１,35.6752383,139.7576714,ペリカン噴水,"tourist_attraction, point_of_interest, establishment",4.1,33,ChIJ-6ZEL_CLGGARRMzYsKSF188
,港区,西新橋２丁目,虎ノ門,港区西新橋２丁目１０−１３,35.6663773,139.7527195,港区立南桜公園,"park, tourist_attraction, point_of_interest, establishment",3.8,631,ChIJ_QAlUuuLGGARdGsUP8-SV8k
,千代田区,有楽町２丁目,大丸有,千代田区有楽町２丁目９−１８ 付近 JR有楽町駅 中央口,35.6746321,139.7634838,南町奉行所跡【東京都指定旧跡】,"tourist_attraction, point_of_interest, establishment",3.5,129,ChIJJ7suaOWLGGARy57jzN44lqA
,千代田区,内幸町１丁目,-,千代田区内幸町１丁目７−１,35.6705812,139.7593551,日比谷OKUROJI,"shopping_mall, tourist_attraction, cafe, bar, restaurant, point_of_interest, food, store, establishment",4.1,1492,ChIJoxZjw3KLGGARqib36ofBDOg
,千代田区,日比谷公園,-,千代田区日比谷公園１,35.6722329,139.7534363,「鷗」淀井敏夫,"tourist_attraction, point_of_interest, establishment",4.4,37,ChIJj-mxUWKLGGARvJ3Fmt3Vn-s
,港区,新橋１丁目,虎ノ門広域,港区新橋１丁目３,35.6685916,139.7580123,幸橋門跡,"tourist_attraction, point_of_interest, establishment",2.8,12,ChIJiaQJUemLGGAR0TxarYix294
,港区,西新橋１丁目,虎ノ門,港区西新橋１丁目１−１ 地下1階,35.6701293,139.7529282,Gate J. 東京,"museum, tourist_attraction, point_of_interest, establishment",4,196,ChIJCSxVROqLGGARvoCrJ01g4jc
,港区,新橋３丁目,虎ノ門広域,港区新橋３丁目１６−１５,35.6654333,139.7567497,桜田公園,"park, tourist_attraction, point_of_interest, establishment",3.5,1058,ChIJU2yfPOqLGGAR5kyogpBYaUY
,港区,西新橋１丁目,虎ノ門,港区西新橋１丁目６−１５ 日本酒造虎ノ門ビル 1F,35.669587,139.752346,日本の酒情報館,"museum, tourist_attraction, point_of_interest, establishment",4.4,376,ChIJ_____-yLGGAR8bvuJnTEoFs
,千代田区,日比谷公園,-,千代田区日比谷公園１,35.6711287,139.7560779,烏帽子石,"tourist_attraction, point_of_interest, establishment",3.7,28,ChIJCxLJue2LGGARrGMX1RDh6cw
,千代田区,内幸町１丁目,-,千代田区内幸町１丁目６−８,35.6690711,139.7585754,URACORI 銀座裏コリドー,"tourist_attraction, restaurant, food, point_of_interest, establishment",3.8,57,ChIJyax9WoCLGGARsCQ5yr2RjNE
,千代田区,有楽町１丁目,大丸有,千代田区有楽町１丁目１,35.6735615,139.7586538,パークビューガーデン,"tourist_attraction, point_of_interest, establishment",4.2,180,ChIJneixJe6LGGARfXvzyW1mY_U
,千代田区,日比谷公園,-,千代田区日比谷公園１,35.672234,139.7560025,にれの木広場,"park, tourist_attraction, point_of_interest, establishment",3.7,50,ChIJ4Zvuje2LGGARVk20UrzivBY
,千代田区,内幸町１丁目,-,千代田区内幸町１丁目７−１,35.6705812,139.7593551,日比谷OKUROJI,"shopping_mall, tourist_attraction, cafe, bar, restaurant, food, point_of_interest, store, establishment",4.1,1492,ChIJoxZjw3KLGGARqib36ofBDOg
,千代田区,日比谷公園,-,千代田区日比谷公園１−２,35.6736807,139.7568849,噴水広場,"park, tourist_attraction, point_of_interest, establishment",4,708,ChIJgYcKD_KLGGARyM933-RbFaY
,千代田区,日比谷公園,-,千代田区日比谷公園１,35.6748794,139.7574593,第一花壇,"tourist_attraction, park, point_of_interest, establishment",4.8,41,ChIJ05OYU2qLGGARdiRMwrnekMs
,千代田区,日比谷公園,-,千代田区日比谷公園１,35.6751406,139.7587964,日比谷見附跡,"tourist_attraction, point_of_interest, establishment",4,57,ChIJSVlhwPGLGGARz28AxXTPVEo
,港区,新橋２丁目,虎ノ門広域,港区新橋２丁目１７,35.6662932,139.7583642,汽笛一聲 新橋地下駅開業記念,"tourist_attraction, point_of_interest, establishment",4.3,4,ChIJ1fH70p6LGGAR4aM-junyXX4
,港区,愛宕２丁目,虎ノ門,港区愛宕２丁目１−１,35.6637951,139.748291,NHK放送博物館,"tourist_attraction, museum, point_of_interest, establishment",4.3,1218,ChIJCcGIPpSLGGARzZ4ZW6hu6NE
,港区,愛宕２丁目,虎ノ門,港区愛宕２丁目４−７,35.6628624,139.748567,萬年山 青松寺,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.2,236,ChIJfy9hNJSLGGAR41_DfA3WUB0
,千代田区,霞が関３丁目,虎ノ門広域,千代田区霞が関３丁目１,35.6736051,139.7490405,潮見坂,"tourist_attraction, point_of_interest, establishment",3.7,13,ChIJ6RMaaYyLGGARrEUqTcQGZmM
,港区,愛宕１丁目,虎ノ門,港区愛宕１丁目５−３,35.6646681,139.7490137,出世の石段,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.5,3506,ChIJ2cn3ZZSLGGARtAH08ZmRyIo
