0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,指標名,バス停,,,,,,,,,,,,
,出典,navitime,,,,,,,,,,,,
,年次,2026/01/26取得,,,,,,,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,,,,,,,
,備考,(2023年度：3645件、2024年度：3652件、2025年度：3571件),,,,,,,,,,,,
,,,,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
,江東区,海の森,-,江東区海の森3-3−3海の森公園,35.6076636,139.8081543,海の森公園,1,1,波０１,都営バス,海の森水上競技場方面,東京テレポート駅前方面,バス停
,江東区,海の森,-,江東区海の森3-6−44,35.6072451,139.8172589,海の森水上競技場,1,1,波０１,都営バス,東京テレポート駅前方面,,バス停
,江東区,青海１丁目,-,江東区青海1-1−10,35.6247851,139.7758551,ダイバーシティ東京プラザ,2,0.5,東京ひとめぐりバス〔なの花ライン〕,なの花交通,ららぽーと豊洲/ダイバーシティ東京プラザ方面,,バス停
,江東区,青海１丁目,-,江東区青海1-1−10,35.6247851,139.7758551,ダイバーシティ東京プラザ,2,0.5,東京ひとめぐりバス〔さくらライン〕,なの花交通,コレド室町/ダイバーシティ東京プラザ方面,,バス停
,江東区,青海１丁目,-,江東区青海1-2東京テレポート駅,35.627235,139.7787204,東京テレポート〔東京ＢＲＴ〕,1,1,幹線ルート,京成バス,新橋〔東京ＢＲＴ〕/虎ノ門ヒルズ〔東京ＢＲＴ〕方面,,バス停
,江東区,潮見２丁目,-,江東区潮見2-8−16,35.6598924,139.8171055,東京ベイ潮見プリンスホテル,1,1,東京-千葉/新木場駅→成田空港・芝山町,高速バス,芝山町役場方面,,バス停
,江東区,豊洲２丁目,-,江東区豊洲2-1豊洲,35.6561893,139.7946189,豊洲〔東京ＢＲＴ〕,1,1,晴海・豊洲ルート,京成バス,ミチノテラス豊洲〔東京ＢＲＴ〕方面,新橋〔東京ＢＲＴ〕/虎ノ門ヒルズ〔東京ＢＲＴ〕方面,バス停
,江東区,豊洲２丁目,-,江東区豊洲2-4−9,35.6556632,139.7924528,ららぽーと豊洲,2,0.5,東京ひとめぐりバス〔なの花ライン〕,なの花交通,ダイバーシティ東京プラザ方面,,バス停
,江東区,豊洲２丁目,-,江東区豊洲2-4−9,35.6556632,139.7924528,ららぽーと豊洲,2,0.5,東京ひとめぐりバス〔さくらライン〕,なの花交通,コレド室町/ダイバーシティ東京プラザ方面,,バス停
,江東区,豊洲６丁目,-,江東区豊洲6-4−34,35.64651509999999,139.7844054,ミチノテラス豊洲〔東京ＢＲＴ〕,2,0.5,お台場・有明-河口湖線,高速バス,河口湖駅方面,,バス停
