0,1,2,3,4,5,6,7,8
,,,,,,,,
,指標名,コンビニ,,,,,,
,出典,navitime,,,,,,
,年次,2026/01/16取得,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,
,備考,(2023年度：2301件、2024年度：2318件、2025年度：2266件),,,,,,
,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,種類
,千代田区,大手町１丁目,大丸有,千代田区大手町1-2-,35.6876366,139.7623328,セブンイレブン AIM三井物産ビル店,セブンイレブン
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-1,35.682111,139.7691588,NewDays グランスタ丸の内北口,NewDays
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-1,35.682111,139.7691588,NewDays KIOSK 東京駅新幹線ホーム6D,NewDays
,千代田区,永田町２丁目,赤坂,千代田区永田町2-2-1,35.67465,139.7427389,セブンイレブン 衆議院第一議員会館店,セブンイレブン
,千代田区,神田三崎町２丁目,-,千代田区神田三崎町2-22-1,35.7020385,139.7544269,NewDays 水道橋西口,NewDays
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-1,35.682111,139.7691588,NewDays グランスタ八重洲地下南,NewDays
,千代田区,神田神保町２丁目,-,千代田区神田神保町2-2半蔵門線神保町駅構内,35.6959319,139.7576272,ローソン 神保町メトロピア店,ローソン
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-2グラントウキョウサウ,35.6786366,139.767382,セブンイレブン リクルートサウスタワー店,セブンイレブン
,千代田区,三番町,-,千代田区三番町1-16,35.68946,139.7452298,セブンイレブン 千代田三番町店,セブンイレブン
,千代田区,大手町１丁目,大丸有,千代田区大手町1-2-,35.6876366,139.7623328,セブンイレブン Otemachi One タワ店,セブンイレブン
,千代田区,丸の内２丁目,大丸有,千代田区丸の内2-1-1,35.6791077,139.7621731,セブンイレブン 明治安田生命本社ビル店,セブンイレブン
,千代田区,鍛冶町２丁目,-,千代田区鍛冶町2-13-11,35.6918201,139.7707487,セブンイレブン 神田駅北口店,セブンイレブン
,千代田区,大手町１丁目,大丸有,千代田区大手町1-6-1千代田線大手町駅構内,35.6853494,139.7632784,ナチュラルローソン NL大手町メトロピア店,ローソン
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-7-12サピアタワー,35.6837178,139.7686113,ファミリーマート ファミマサピアタワー/S店,ファミリーマート
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-8-2,35.6831279,139.7703003,ローソン TEKKOavenue店,ローソン
,千代田区,丸の内２丁目,大丸有,千代田区丸の内2-7-2jpタワー地下1,35.6790639,139.764569,ローソン KITTE丸の内店,ローソン
,千代田区,丸の内３丁目,大丸有,千代田区丸の内3-2-2,35.6790605,139.7619232,セブンイレブン 丸の内二重橋ビル店,セブンイレブン
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-5-1新丸の内ビルb1f,35.68259949999999,139.7643435,セブンイレブン 新丸ビル店,セブンイレブン
,千代田区,丸の内２丁目,大丸有,千代田区丸の内2-7-3,35.6785783,139.7649684,セブンイレブン 丸の内東京ビル店,セブンイレブン
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9ー1グラントウキョウノースタワー17階,35.6816113,139.7689686,cisca グラントウキョウ店,ミニストップ
,千代田区,神田神保町２丁目,-,千代田区神田神保町2-16-2,35.6973332,139.757112,ローソン 神田神保町白山通り店,ローソン
