0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
,指標名,コワーキング施設,,,,,,,,
,出典,コワーキングスペース検索,,,,,,,,
,年次,2026-02-17 00:00:00,,,,,,,,
,URL,https://coworking-search.jp/zenkoku/,,,,,,,,
,備考,(2023：403件、2024：387件、2025：480件),,,,,,,,
,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,座席数,法人登記,URL
,江東区,豊洲５丁目,-,東京都江東区豊洲5-6-36豊洲プライムスクエア10f,35.6521867,139.7978965,"MID POINT×BIZcomfort豊洲
",58,可能,https://coworking-search.jp/space/3033/
,江東区,門前仲町１丁目,-,東京都江東区門前仲町1-9-13ウィズビル1階,35.6734044,139.793922,room EXPLACE 門前仲町,6人掛けテーブル×2 ／4人掛けテーブル×2,不可,https://coworking-search.jp/space/1953/
,江東区,有明３丁目,-,東京都江東区有明3-7-11有明パークビル20f,35.6328094,139.7934105,THE HUB 東京ベイ有明ワシントン,-,可能,https://coworking-search.jp/space/2126/
,江東区,亀戸１丁目,-,東京都江東区亀戸1-7-3パークノヴァ亀戸201号室,35.6960011,139.8211014,ソフトオフィス錦糸町,-,可能,https://coworking-search.jp/space/403/
,江東区,亀戸５丁目,-,東京都江東区亀戸5-6-21uiw9bldg2f,35.6982799,139.8276412,BIZcomfort 亀戸,34席,可能,https://coworking-search.jp/space/1888/
,江東区,青海２丁目,-,東京都江東区青海2-5-10テレコムセンター東棟14階,35.6170886,139.7800651,アジアスタートアップオフィスMONO,40席,可能,https://coworking-search.jp/space/2699/
,江東区,東陽３丁目,-,東京都江東区東陽3-27-17長谷川ビル5階,35.6706915,139.8161452,room EXPLACE 東陽町,6人掛けテーブル×2 ／個人ブース席×24,不可,https://coworking-search.jp/space/1954/
,江東区,北砂２丁目,-,東京都江東区北砂2-17-1アリオ北砂3f,35.6824348,139.8258063,COTOLIBA 北砂店,57席,不可,https://coworking-search.jp/space/2454/
,江東区,大島５丁目,-,東京都江東区大島5-12-3,35.688521,139.834214,ivyCafe NEIGHBOR&WORK 大島,-,可能,https://coworking-search.jp/space/2252/
,江東区,豊洲６丁目,-,東京都江東区豊洲6-4-34メブクス豊洲1f,35.6461541,139.785019,BIZcomfort 豊洲市場前,フリー席：43 席　固定席：8席,可能,https://coworking-search.jp/space/2899/
,江東区,三好１丁目,-,東京都江東区三好1-8-3越前屋ビル2f,35.6803602,139.7992791,NAGAYA 清澄白河駅前,フリーアドレス席：6席,可能,https://coworking-search.jp/space/2444/
,江東区,三好２丁目,-,東京都江東区三好2-6-10thefleminghouse2f,35.679489,139.803409,NAGAYA 清澄白河,フリーアドレス席：14席,可能,https://coworking-search.jp/space/2446/
,江東区,南砂２丁目,-,東京都江東区南砂2-5-14toyochogreen+内,35.6702629,139.8199591,goodoffice 東陽町,オープン席：26席　ソロワークブース：8席,可能,https://coworking-search.jp/space/2768/
