0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,指標名,文化財,,,,,,,,,,,,,,,,
,出典,国指定文化財等データベース,,,,,,,,,,,,,,,,
,年次,2026/3/2取得,,,,,,,,,,,,,,,,
,URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,
,備考,（2023年：559件、2024年：578件、2025年：579件）※所在地の記載のないもの、無形を除く,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者
,江東区,富岡１丁目,-,東京都江東区富岡1-,35.67185701,139.8006076,旧弾正橋（八幡橋）,,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,明治,19770627,,東京都,東京都江東区富岡一丁目,
,江東区,越中島２丁目,-,東京都江東区越中島2-1-6東京海洋大学構内,35.66659034,139.7931396,明治丸,,国宝・重要文化財（建造物）,重要文化財,近代／産業・交通・土木,,明治,19780531,,東京都,東京都江東区越中島二丁目1番6号東京海洋大学構内,
,江東区,白河１丁目,-,東京都江東区白河1-,35.68152885,139.7998799,松平定信墓,,史跡名勝天然記念物,史跡,,,,19280118,,東京都,江東区白河一丁目,
,江東区,門前仲町１丁目,-,東京都江東区門前仲町1-19-15,35.67407431,139.794922,旧東京市深川食堂,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,20080708,,東京都,東京都江東区門前仲町1-19-15,
,江東区,越中島２丁目,-,東京都江東区越中島2-1-6,35.66817421,139.7911438,東京商船大学１号館,,登録有形文化財(建造物),学校,建築物,,昭和前,19971212,,東京都,東京都江東区越中島2-1-6,
,江東区,越中島２丁目,-,東京都江東区越中島2-1-6,35.66869347,139.7909441,東京商船大学旧天体観測所（第一観測台）,,登録有形文化財(建造物),学校,建築物,,明治,19971212,,東京都,東京都江東区越中島2-1-6,
,江東区,越中島２丁目,-,東京都江東区越中島2-1-6,35.66885324,139.7911172,東京商船大学旧天体観測所（第二観測台）,,登録有形文化財(建造物),学校,建築物,,明治,19971212,,東京都,東京都江東区越中島2-1-6,
,江東区,越中島２丁目,-,東京都江東区越中島2-1-6,35.66824078,139.7904648,東京商船大学事務局管理棟,,登録有形文化財(建造物),学校,建築物,,昭和前,19971212,,東京都,東京都江東区越中島2-1-6,
,江東区,越中島２丁目,-,東京都江東区越中島2-1-6,35.66660314,139.7931277,東京商船大学２号館,,登録有形文化財(建造物),学校,建築物,,昭和前,19971212,,東京都,東京都江東区越中島2-1-6,
,港区,白金台５丁目,-,東京都港区白金台5-8-,35.635675,139.720813,旧朝香宮邸,正門,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20150708,,東京都,東京都港区白金台五丁目二六番,
,港区,白金台５丁目,-,東京都港区白金台5-8-,35.636367,139.718837,旧朝香宮邸,茶室,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20150708,,東京都,東京都港区白金台五丁目二六番,
,港区,白金台５丁目,-,東京都港区白金台5-8-,35.636848,139.719315,旧朝香宮邸,本館,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20150708,,東京都,東京都港区白金台五丁目二六番,
,港区,白金台５丁目,-,東京都港区白金台5-8-,35.637252,139.719401,旧朝香宮邸,倉庫,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20150708,,東京都,東京都港区白金台五丁目二六番,
,港区,白金台５丁目,-,東京都港区白金台5-8-,35.637264,139.719702,旧朝香宮邸,自動車庫,国宝・重要文化財（建造物）,重要文化財,近代／住居,,昭和,20150708,,東京都,東京都港区白金台五丁目二六番,
,港区,三田２丁目,-,東京都港区三田2-15-45,35.64829815,139.7422828,慶応義塾図書館,,国宝・重要文化財（建造物）,重要文化財,近代／学校,,明治,19690312,,東京都,東京都港区三田二丁目15番45号,
,港区,三田２丁目,-,東京都港区三田2-15-45,35.64829815,139.7422828,慶応義塾三田演説館,,国宝・重要文化財（建造物）,重要文化財,近代／学校,,明治,19670615,,東京都,東京都港区三田二丁目15番45号,
,港区,白金台３丁目,-,東京都港区白金台3-,35.63729375,139.7269331,瑞聖寺大雄宝殿,,国宝・重要文化財（建造物）,重要文化財,近世以前／寺院,,江戸後期,19920810,,東京都,東京都港区白金台三丁目,
,港区,芝公園４丁目,-,東京都港区芝公園4-7-35,35.65724511,139.7500273,増上寺三解脱門,,国宝・重要文化財（建造物）,重要文化財,近世以前／寺院,,江戸前期,19150326,,東京都,東京都港区芝公園四丁目7番35号,
,港区,芝公園４丁目,-,東京都港区芝公園4-8-2,35.65613406,139.7498382,旧台徳院霊廟惣門,,国宝・重要文化財（建造物）,重要文化財,近世以前／神社,,江戸前期,19300523,,東京都,東京都港区芝公園四丁目8番2号,
,港区,元赤坂２丁目,-,東京都港区元赤坂2-1-1,35.68021736,139.7287584,旧東宮御所（迎賓館赤坂離宮）,旧東宮御所（迎賓館赤坂離宮）,国宝・重要文化財（建造物）,国宝,近代／住居,,明治,20091208,,東京都,東京都港区元赤坂二丁目1番１号,
,港区,赤坂４丁目,赤坂,東京都港区赤坂4-10-36,35.67512778,139.7334861,武家屋敷門,,国宝・重要文化財（建造物）,重要文化財,近世以前／住宅,,江戸末期,19470226,,東京都,東京都港区赤坂四丁目10番36号,
,港区,白金台１丁目,-,東京都港区白金台1-2-37,35.63679011,139.7311146,明治学院インブリー館,,国宝・重要文化財（建造物）,重要文化財,近代／学校,,明治,19981225,,東京都,東京都港区白金台一丁目2番37号,
,港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-3-,35.6591557,139.7503624,有章院（徳川家継）霊廟二天門,,国宝・重要文化財（建造物）,重要文化財,近世以前／神社,,江戸中期,19300523,,東京都,東京都港区芝公園三丁目3番,
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66156583,139.7175169,｛百草蒔絵薬簞笥／内容品｝,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,20240827,,東京都（東京都）,東京都港区南青山６丁目５－１,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,秋野蒔絵手箱,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,鎌倉,19540320,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,蘆屋松梅図真形釜,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,室町,19540320,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,飛鳥井雅経筆懐紙（詠暁紅葉和歌）,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,鎌倉,19591218,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,雨漏茶碗,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,朝鮮,李朝,19531114,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,一山一寧墨蹟（正和丙辰十月下澣）,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,中国,元,19420626,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,井戸茶碗（柴田）,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,朝鮮,李朝,19520329,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63231263,139.7268709,井戸茶碗（細川）,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,朝鮮,李朝,19780615,,東京都（東京都）,東京都港区白金台2-20-12,畠山記念館
,港区,赤坂９丁目,六本木,東京都港区赤坂9-7-4東京ミット゛タウンカ゛ーテ゛ンサイト゛,35.66684968,139.7307138,色絵花鳥文八角大壺〈伊万里／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19960627,,東京都（東京都）,サントリー美術館　東京都港区赤坂9-7-4東京ミット゛タウンカ゛ーテ゛ンサイト゛,サントリー美術館
,港区,赤坂９丁目,六本木,東京都港区赤坂9-7-4東京ミット゛タウンカ゛ーテ゛ンサイト゛,35.66684968,139.7307138,色絵五艘船図大平鉢〈伊万里／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19970630,,東京都（東京都）,サントリー美術館　東京都港区赤坂9-7-4東京ミット゛タウンカ゛ーテ゛ンサイト゛,サントリー美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,色絵山寺図茶壺〈仁清作／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19420626,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南麻布５丁目,-,東京都港区南麻布5-7-13,35.65211683,139.7264722,江戸城造営関係資料（甲良家伝来）,,国宝・重要文化財（美術工芸品）,重要文化財,歴史資料,日本,江戸,19870606,,東京都（東京都）,東京都立中央図書館　東京都港区南麻布5-7-13,東京都立中央図書館　
,港区,赤坂９丁目,六本木,東京都港区赤坂9-7-4東京ミット゛タウンカ゛ーテ゛ンサイト゛,35.66684968,139.7307138,小倉山蒔絵硯箱,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,室町,19530331,,東京都（東京都）,サントリー美術館　東京都港区赤坂9-7-4東京ミット゛タウンカ゛ーテ゛ンサイト゛,サントリー美術館
,港区,三田２丁目,-,東京都港区三田2-15-45,35.64912698,139.7435054,解剖存真図（南小柿寧一筆）,,国宝・重要文化財（美術工芸品）,重要文化財,歴史資料,日本,江戸,20030529,,東京都（東京都）,慶應義塾図書館　東京都港区三田2-15-45,慶應義塾図書館
,港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63231263,139.7268709,柿蔕茶碗（毘沙門堂）,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,朝鮮,李朝,19531114,,東京都（東京都）,東京都港区白金台2-20-12,畠山記念館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,春日山蒔絵硯箱,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,室町,19531114,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,堅手茶碗（長崎）,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,朝鮮,李朝,19531114,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63231263,139.7268709,唐物肩衝茶入（油屋）,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,中国,南宋,19780615,,東京都（東京都）,東京都港区白金台2-20-12,畠山記念館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,唐物肩衝茶入〈銘松屋／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,中国,南宋,19591218,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,三田２丁目,-,東京都港区三田2-15-45,35.64923529,139.7428676,岩偶,,国宝・重要文化財（美術工芸品）,重要文化財,考古資料,日本,縄文,19740608,,東京都（東京都）,東京都港区三田2-15-45,学校法人慶應義塾
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,観世音菩薩受記経,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,奈良,19311214,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,三田２丁目,-,東京都港区三田2-15-45,35.64923529,139.7428676,岩版,,国宝・重要文化財（美術工芸品）,重要文化財,考古資料,日本,縄文,19740608,,東京都（東京都）,東京都港区三田2-15-45,学校法人慶應義塾
