0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
,指標名,世界トップ企業,,,,,,,,,,,,,,,,,,,,,,
,出典,Forbes/Fortune,,,,,,,,,,,,,,,,,,,,,,
,年次,2025年,,,,,,,,,,,,,,,,,,,,,,
,URL,"https://www.forbes.com/global2000, https://fortune.com/ranking/global500/2025/",,,,,,,,,,,,,,,,,,,,,,
,備考,(2023：141件、2024年：137件、2025年:132件),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Fortune,,,,,,,,Forbes,,,,,,
,区,町丁,エリア,住所,緯度,経度,Name,会社名,Ranking,Rank,Change in Rank,Revenues ($M),Revenue % Change,Profits ($M),Profits % Change,Assets ($M),Employees,Rank,SALES,PROFIT,ASSETS,MARKETVALUE,Employees,URL
,江東区,木場１丁目,-,東京都江東区木場1-5-65深川ギャザリアw2棟,35.6671708,139.8032889,Resona Holdings,株式会社りそなホールディングス,Forbes Global 2025,-,-,-,-,-,-,-,-,693,$6.85 B,$1.41 B,$491.32 B,$16.9 B,19744,https://www.forbes.com/companies/resona-holdings/?list=global2000
,江東区,豊洲３丁目,-,東京都江東区豊洲3-2-24,35.6575616,139.7950858,Renesas Electronics,ルネサス　エレクトロニクス株式会社,Forbes Global 2025,-,-,-,-,-,-,-,-,888,$8.56 B,$1.08 B,$28.06 B,$22.15 B,21204,https://www.forbes.com/companies/renesas-electronics/?list=global2000
,江東区,豊洲３丁目,-,東京都江東区豊洲3-1-1豊洲ihiビル,35.6590706,139.793116,IHI,株式会社IHI,Forbes Global 2025,-,-,-,-,-,-,-,-,1349,$10.6 B,$780.1 M,$14.71 B,$11.42 B,28237,https://www.forbes.com/companies/ihi/?list=global2000
,港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-7-1,35.6634736,139.7596242,Sony,ソニー株式会社,Forbes Global 2025,-,-,-,-,-,-,-,-,57,$91.14 B,$7.48 B,$229.01 B,$147.94 B,113000,https://www.forbes.com/companies/sony/?list=global2000
,港区,南青山２丁目,-,東京都港区南青山2-1-1,35.6721028,139.723789,Honda Motor,本田技研工業株式会社,Forbes Global 2025,-,-,-,-,-,-,-,-,117,$143.62 B,$6.88 B,$199.63 B,$46.32 B,197039,https://www.forbes.com/companies/honda-motor/?list=global2000
,港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-9-1,35.6629395,139.7612147,Softbank,ソフトバンク株式会社,Forbes Global 2025,-,-,-,-,-,-,-,-,130,$46.58 B,$5.6 B,$299.24 B,$72.3 B,59721,https://www.forbes.com/companies/softbank/?list=global2000
,港区,北青山２丁目,-,東京都港区北青山2-5-1,35.6715414,139.7193119,Itochu,伊藤忠商事株式会社,Forbes Global 2025,-,-,-,-,-,-,-,-,152,$96.49 B,$5.72 B,$100.17 B,$70.27 B,115124,https://www.forbes.com/companies/itochu/?list=global2000
,港区,浜松町２丁目,-,東京都港区浜松町2-4-1世界貿易センタービル,35.6551747,139.7563434,Orix,オリックス株式会社,Forbes Global 2025,-,-,-,-,-,-,-,-,405,$19.35 B,$2.63 B,$107.64 B,$21.84 B,32235,https://www.forbes.com/companies/orix/?list=global2000
