0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,指標名,病院・診療所・クリニック,,,,,,,
,出典,病院なび,,,,,,,
,年次,2026/02/20取得,,,,,,,
,URL,https://byoinnavi.jp/,,,,,,,
,備考,"（2023年度：6,702件、2024年度：6,840件、2025年度：6,591件）",,,,,,,
,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
,新宿区,高田馬場２丁目,-,"東京都新宿区高田馬場2-17-6ゆう文ビル5f,備考:・当院では、平日、土日祝日ともに発熱外来を開設しており、小児を含む発熱患者様の診察を通常の耳鼻咽喉科...(続きを読む),初診・再診受付,ドクター紹介",35.7135301,139.705238,高田馬場みやの耳鼻咽喉科,耳鼻いんこう科 小児耳鼻いんこう科 アレルギー科 頭頸部外科,https://takadanobaba-jibi.com/
,新宿区,西新宿７丁目,-,東京都新宿区西新宿7-10-18小滝橋パシフィカビル4階,35.694456,139.6986097,医療法人 陽水会 西新宿杉江中央クリニック,形成外科 美容外科 美容皮膚科,https://shinjuku-biyou-chuoh.com/
,新宿区,西新宿７丁目,-,東京都新宿区西新宿7-21-7今野ビル,35.6943768,139.6947406,西新宿今野クリニック,整形外科 内科 リハビリテーション科 脳神経内科,https://www.honenaika.com/
,新宿区,西新宿二-３丁目,-,"東京都新宿区西新宿二-3-2kddiビル1階,休診日:土、日、祝,初診受付,ドクター紹介",35.6879268,139.6948276,医療法人社団 慶潤会 KDDIビルクリニック,内科 糖尿病内科 循環器内科 消化器内科 内視鏡内科 呼吸器内科,https://www.keijunkai-kddi.jp/
,新宿区,四谷三栄町,-,東京都新宿区四谷三栄町9-6四谷三栄町スクエア1f,35.6884912,139.7237514,ルキナ新宿四谷クリニック,美容外科 美容皮膚科 内科,https://lucina-clinic.jp/
,新宿区,新宿新宿６丁目,-,東京都新宿区新宿新宿区新宿6-28-1ds新宿ビル8f,35.696169,139.7074322,東新宿りん内視鏡内科クリニック,消化器内科 胃腸内科 東新宿りん内視鏡内科,-
,新宿区,新宿３丁目,-,東京都新宿区新宿3-24-1newno・gs新宿10階,35.6926489,139.7016492,新宿消化器内科クリニック,消化器内科 内科 新宿消化器内科,https://www.shinjuku-clinic.com/
,新宿区,西新宿６丁目,-,東京都新宿区西新宿6-14-1新宿グリーンタワービル2f,35.692318,139.689737,新宿グリーンタワー内科クリニック,内科 循環器内科 糖尿病内科 呼吸器内科 新宿グリーンタワー内科,https://green-tower-naika.com/
,新宿区,西新宿２丁目,-,東京都新宿区西新宿2-1-1新宿三井ビル4f・5f,35.6919228,139.6938894,医療法人社団榊原厚生会 新宿三井ビルクリニック,内科 呼吸器科 消化器科 循環器科 皮膚科 婦人科 糖尿病内科 乳腺外科 ネットで予約して循環器科,http://www.sakakibarakouseikai.com/mitsui/
,新宿区,信濃町,-,東京都新宿区信濃町34トーシンビル305,35.6807359,139.7196612,信濃町診療所,泌尿器科 皮膚科 性病科 内科,https://www.shinanomachi-cl.com/
,新宿区,左門町,-,東京都新宿区左門町20-四谷メディカルビル2階n区画,35.68523,139.7203372,医療法人社団左門ふたば会 ふたばクリニック,耳鼻いんこう科 小児科 泌尿器科,http://www.futaba-ent.jp/
,新宿区,若葉１丁目,-,東京都新宿区若葉1-4-7,35.6863217,139.7240407,医療法人社団長島クリニック 四谷・長島クリニック,脳神経外科 内科 皮膚科,http://www.yotsuya-nagashima-clinic.com/
,新宿区,新宿３丁目,-,東京都新宿区新宿3-14-22小川ビル4階,35.6923003,139.7054827,ベアAGAクリニック,皮膚科,https://www.bea-agaclinic.jp/
,新宿区,新宿三-３丁目,-,東京都新宿区新宿三-33-10新宿モリエールビル4階,35.6904016,139.7037786,医療法人社団新洋和会 新宿睡眠メディカルクリニック,内科 呼吸器内科,https://www.tokyo-sleep.jp/shinjuku_cl/index.php
,新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-1-1メトロシティ西早稲田2f,35.7086074,139.7087288,西早稲田眼科,眼科 西早稲田眼科,https://wwec.jp/
,新宿区,西新宿１丁目,-,東京都新宿区西新宿1-22-15グラフィオ西新宿5階,35.6890883,139.6960915,医療法人社団三幸会 新宿フェミークリニック,美容皮膚科,https://femmy-cl.com/
,新宿区,赤城下町,-,東京都新宿区赤城下町62アネックス62-1f,35.705338,139.7341376,医療法人社団涼友会 執行クリニック,内科 外科 整形外科 リハビリテーション科 放射線科,https://shigyo.jp/
,新宿区,新宿４丁目,-,東京都新宿区新宿4-1-6jr新宿ミライナタワー7f,35.688582,139.7017438,ナビタスクリニック新宿,内科 小児科 皮膚科,http://www.navitasclinic.jp/
,新宿区,西早稲田１丁目,-,東京都新宿区西早稲田1-2-3,35.7080437,139.7178649,医療法人尾城会 尾城眼科医院,尾城眼科,http://www.oshiro-eye.com/
,新宿区,西新宿７丁目,-,東京都新宿区西新宿7-1-10守矢ビル5f,35.6948002,139.6989028,いしい内科・外科クリニック,内科 消化器内科 外科 皮膚科 泌尿器科 いしい内科・外科,http://ishii-cl.net/
,新宿区,四谷１丁目,-,東京都新宿区四谷1-2-8四谷thビル6f,35.6855756,139.7291177,宮田眼科東京,眼科 宮田眼科,https://tokyo.miyata-med.ne.jp/
,新宿区,新宿３丁目,-,東京都新宿区新宿3-26-13新宿中村屋ビル3f,35.6914449,139.7023529,新宿しまだ内科クリニック,内科 消化器内科 新宿しまだ内科,https://naika.clinic/
,新宿区,西新宿１丁目,-,東京都新宿区西新宿1-3-17新宿第1アオイビル9f,35.6933666,139.6986476,新宿駅前さくらレディースクリニック,産婦人科 婦人科 美容皮膚科 性感染症婦人科,https://www.shinjuku-sakura.jp/
,新宿区,西新宿４丁目,-,東京都新宿区西新宿4-2-18武居西新宿ビル3f,35.6906004,139.686531,西新宿5丁目駅前眼科,眼科 西新宿5丁目駅前眼科,https://www.nishi5-eye.com/
,新宿区,西新宿２丁目,-,東京都新宿区西新宿2-4-1新宿nsビル4f,35.6882614,139.6933813,医療法人社団榊原厚生会 新宿NSビルクリニック,内科 消化器内科 循環器科,http://www.sakakibarakouseikai.com/ns/
,新宿区,富久町,-,東京都新宿区富久町17-2富久クロス1階,35.6925817,139.7134267,新宿トミヒサクロス クリニック,内科 消化器内科 内視鏡内科 肝臓内科 糖尿病内科 胃腸科,http://tomihisa-clinic.jp/
,新宿区,西新宿１丁目,-,東京都新宿区西新宿1-7-1松岡セントラルビル4f,35.6917941,139.6977647,医療法人新光会 新宿西口駅前眼科,眼科 新宿西口駅前眼科,https://www.sinzyuku-eye.com/
,新宿区,新宿３丁目,-,東京都新宿区新宿3-20-5新光第2ビル7f,35.6930224,139.7027771,新宿東口ハートクリニック,0,http://heartclinic.clinic/
,新宿区,西新宿１丁目,-,東京都新宿区西新宿1-4-2141ビル6階,35.6928455,139.6989896,城本クリニック 新宿院,美容外科 美容皮膚科 形成外科,https://www.shiromoto.to/clinic/shinjuku/
,新宿区,西新宿６丁目,-,東京都新宿区西新宿6-5-1新宿アイランド東棟2階,35.6930383,139.6934204,ヘルスマネージメントクリニック西新宿,内科 糖尿病内科,https://www.healthmanagementclinic.com/
,新宿区,内藤町,-,東京都新宿区内藤町1-110ガーデンクロス新宿御苑1階,35.6871944,139.7156112,新宿ホームクリニック,内科,https://shinjuku-home-clinic.com/
,新宿区,下落合３丁目,-,東京都新宿区下落合3-17-35コレタス目白2f,35.7224989,139.7043257,新宿目白 胃・大腸内視鏡と肛門 うえひら消化器クリニック,内視鏡内科 消化器内科 肛門外科 胃腸内科,https://www.mejiro-naishikyo.com/
,新宿区,弁天町,-,東京都新宿区弁天町91神経研究所ビルb1f,35.702276,139.727386,新宿弁天内科クリニック,内科 腎臓内科 糖尿病内科 新宿弁天内科,https://benten-cl.com/
,新宿区,富久町,-,東京都新宿区富久町17-2イトーヨーカドー新宿富久店1f,35.6923135,139.7132233,富久クロス眼科,眼科 富久クロス眼科,https://tomihisa-eye.jp/
,新宿区,北新宿２丁目,-,東京都新宿区北新宿2-21-1新宿フロントタワー3階,35.6957437,139.6894663,くれクリニック,内科 外科 消化器内科 循環器内科 糖尿病内科 呼吸器内科,https://www.kureclinic.jp/
,新宿区,西新宿５丁目,-,東京都新宿区西新宿5-6-1パークタワー西新宿201-2,35.6932759,139.6864535,パークタワー西新宿整形外科 骨と股関節のクリニック,パークタワー西新宿整形外科,https://www.shinjuku-hip.jp/
,新宿区,西新宿１丁目,-,東京都新宿区西新宿1-18-5甲新ビル6階,35.6887452,139.6984661,新宿サザンクリニック,糖尿病内科 内科 皮膚科,https://shinjyuku-clinic.jp/
,新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-5-4第22東ビル2階,35.6935128,139.7029566,エイチクリニック新宿,内科 泌尿器科,https://www.hclinic-shinjuku.com/
,新宿区,神楽坂６丁目,-,東京都新宿区神楽坂6-66神楽坂宝生堂ビル3階,35.7027445,139.7371422,眠りのクリニック神楽坂,心療内科 精神科,https://nemurino.clinic/
,新宿区,中落合１丁目,-,"東京都新宿区中落合1-18-5wellsquareplazanakai2f,備考:予防接種・乳幼児健診専用
(月・水~金)14:00~15:00
(土)12:30~14:00

土曜...(続きを読む),ドクター紹介",35.715469,139.6875988,Smile中井小児科・アレルギー科,小児科 アレルギー科 小児外科 小児耳鼻いんこう科 小児皮膚科,https://www.smile-child.com/
,新宿区,西落合３丁目,-,東京都新宿区西落合3-1-22,35.7228177,139.6841616,そはら医院,内科 消化器内科 糖尿病内科 循環器内科,https://sohara-clinic.com/
,新宿区,西新宿７丁目,-,東京都新宿区西新宿7-11-9バルビゾン87ビル4f,35.6941171,139.6975508,新宿ブレストセンター クサマクリニック,乳腺外科,http://www.breastcenter.jp/
,新宿区,西新宿１丁目,-,東京都新宿区西新宿1-19-5新宿幸容ビル3f,35.6882426,139.6972028,医療法人社団清佑会 MSクリニック新宿,泌尿器科 形成外科 美容外科,https://www.clairvoyancecorp.com/access.html
,新宿区,馬場下町,-,東京都新宿区馬場下町9-5alba早稲田2階,35.7059755,139.7194761,内科・糖尿病・甲状腺の早稲田メディカルクリニック,内科 糖尿病内科 循環器内科 内科,https://waseda-mc.com/
,新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-46-8新宿日章ビル3階,35.6978438,139.7007324,シティライトクリニック歌舞伎町,精神科 性感染症内科,https://city-light-clinic.net/
,新宿区,新宿７丁目,-,東京都新宿区新宿7-27-6coeru東新宿6階、7階,35.6982138,139.7078029,東新宿整形外科リハビリクリニック,整形外科 リウマチ科 リハビリテーション科 ペインクリニック外科 東新宿整形外科,https://higashishinjuku-seikei.com/
