0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,指標名,ホテル,,,,,,,,,
,出典,Rakuten API,,,,,,,,,
,年次,2026/01/15取得,,,,,,,,,
,URL,https://app.rakuten.co.jp/services/api/Travel/SimpleHotelSearch/20170426,,,,,,,,,
,備考,(2023年度：1099件、2024年度：1124件、2025年度：1184件),,,,,,,,,
,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,星数,レビュー数,室数,ホテルURL
,江東区,亀戸２丁目,-,江東区亀戸2-13-6,35.69904161,139.822766,スーパーホテル東京・亀戸,4.17,1073,93,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=80602
,江東区,亀戸６丁目,-,江東区亀戸6-32-1,35.69434784,139.828574,ホテルマイステイズ亀戸,3.43,3341,440,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16330
,江東区,大島１丁目,-,江東区大島1-8-7,35.6890649,139.8210971,アパホテル〈東京大島〉（２０２５年８月客室設備リニューアル）,4.36,3327,102,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5071
,江東区,亀戸２丁目,-,江東区亀戸2-27-12,35.6992631,139.8251763,ザ・ワンファイブ東京亀戸,3.81,16,144,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=193411
,江東区,森下３丁目,-,江東区森下3-5-23,35.68741734,139.8014266,ホテル　エドアイト,3.8,600,50,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=9108
,江東区,大島７丁目,-,江東区大島7-37,35.6918916,139.84205,リフレフォーラム,3.85,439,62,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1462
,江東区,森下３丁目,-,江東区森下3-7-7,35.68752845,139.8020127,ビジネスホテル矢野,3.35,120,7,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=4958
,江東区,森下３丁目,-,江東区森下3-20-15,35.68777845,139.8029015,アーバンホテル森下,3.55,227,27,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5047
