0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,,,,,,,
,指標名,国際会議,,,,,,,,,,,
,出典,日本政府観光局（JNTO）,,,,,,,,,,,
,年次,2024年,,,,,,,,,,,
,URL,https://mice.jnto.go.jp/document/statistics.html,,,,,,,,,,,
,備考,（2022年：2件、2023年：78件、2024・2025年：87件）,,,,,,,,,,,
,,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,会議名,期間（2023年）,"参加国数
（日本含）",外国人参加者数,国内参加者数,参加者総数
,千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4-6御茶ノ水ソラシティ,35.6987839,139.7667853,御茶ノ水ソラシティカンファレンスセンター,Regional Scrum Gathering Tokyo 2024,"1/10～
1/12",19,26,452,478
,港区,高輪４丁目,-,東京都港区高輪4-10,35.6279119,139.7367526,品川プリンスホテル,APEC Symposium on Promoting Energy Efficiency and Energy Management System,"1/23～
1/24",14,33,30,63
,新宿区,市谷本村町,-,東京都新宿区市谷本村町5−1,35.6926657,139.7287377,防衛省国際会議場,令和5年度政策シミュレーション国際会議「コネクションズ•ジャパン2023/24」,"1/24～
1/25",3,12,104,116
,千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関1-1−1b1f,35.6759275,139.7549406,法務省大会議室 (中央合同庁舎6号館地下1階),第43回刑事政策公開講演会1「実証的根拠に基づく実践と能力構築を通じた犯罪者処遇の強化」2「イングランド及びウェールズの少年司法」,"1/26～
1/26",15,15,79,94
,港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-3−1,35.658962,139.7481391,東京プリンスホテル,第13回日ASEAN防衛当局次官級会合,"1/30～
1/30",11,49,6,55
,千代田区,隼町,-,東京都千代田区隼町1−11f,35.6829909,139.7434002,グランドアーク半蔵門,第26回アジア•太平洋薬物取締会議,"1/30～
1/31",29,62,45,107
,江東区,青海２丁目,-,東京都江東区青海2-3−26,35.6187258,139.7772702,産業技術総合研究所臨海副都心センター•日本科学未来館,"Cloud-edge Fusion (CEF) Symposium,The 7the CENTRA  Meeting (CENTRA 7/ CENTRA 2024)","2/6～
2/9",6,20,64,84
,港区,三田２丁目,-,東京都港区三田2-1−8,35.6521039,139.7379629,三田共用会議所,情報分析•地域協力ネットワークの強化に関するハイレベルラウンドテーブル,"2/7～
2/8",24,98,109,207
,新宿区,西新宿２丁目,-,東京都新宿区西新宿2-2−1,35.6902544,139.6942516,京王プラザホテル,安全な麻酔のための国際会議2024(ICAPS 2024),"2/9～
2/11",19,93,441,534
,千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-5−1,35.6767429,139.7637532,東京国際フォーラム,第33回 国際MICEエキスポ IME2024（講演）,"2/15～
2/15",7,16,377,393
,江東区,豊洲３丁目,-,東京都江東区豊洲3-7−5,35.6605332,139.7948506,芝浦工業大学,第18回SEATUCシンポジウム(SEATUC2024),"2/27～
2/28",5,46,136,182
,港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-10−4,35.6671751,139.7438601,The Okura Tokyo,第5回東京グローバル•ダイアログ,"2/28～
3/1",15,14,841,855
,港区,三田２丁目,-,東京都港区三田2-1−8,35.6521039,139.7379629,三田共用会議所,第22回「気候変動に対する更なる行動」に関する非公式会合,"3/1～
3/1",30,70,80,150
,千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-5−1,35.6767429,139.7637532,東京国際フォーラム,国際通貨研究所 第32回 国際金融シンポジウム「構造変化への適応～世界経済はどこへ向かうのか～」,"3/5～
3/5",3,3,59,62
,江東区,青海２丁目,-,東京都江東区青海2-2−a,35.620762,139.775883,東京国際交流館プラザ平成,令和5年度 人工知能研究センター 国際シンポジウム(同時開催:大川賞受賞講演会),"3/8～
3/9",10,19,180,199
,千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-3−1,35.6980449,139.7621731,明治大学,International Conference on Biomedical Engineering and Applications 2024 (ICBEA2024),"3/18～
3/21",25,105,15,120
,港区,六本木７丁目,六本木,東京都港区六本木7-22−2,35.665289,139.726374,国立新美術館,NCAR国際シンポジウム2023「美術館とリサーチ|アートを”深める”とは?」,"3/22～
3/22",11,17,137,154
,千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-5−1,35.6767429,139.7637532,東京国際フォーラム,第57回 原産年次大会,"4/9～
4/10",14,42,453,495
,千代田区,内幸町２丁目,-,東京都千代田区内幸町2-1−14f~6f,35.6708962,139.7528469,イイノホール&カンファレンスセンター,第3回食と健康の国際シンポジウム FERMENTATION(発酵) -Technology and Health-,"4/16～
4/16",15,14,52,66
,港区,高輪３丁目,-,東京都港区高輪3-13−1,35.6313736,139.7356844,グランドプリンスホテル高輪,第9回IEEJ/APERC国際エネルギーシンポジウム 「エネルギー転換への多様な道筋をどう実現するか」,"4/19～
4/19",5,36,144,180
,港区,三田２丁目,-,東京都港区三田2-15−45,35.6489596,139.7431687,慶應義塾大学,IEEE PacificVis 2024 国際シンポジウム,"4/23～
4/26",18,151,31,182
,千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-3−1,35.6980449,139.7621731,明治大学,国際シンポジウム 立憲主義の下のアジアと比例原則,"4/29～
4/29",5,4,230,234
,千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町4−1ニューオータニ・ガーデンコート12f,35.6809158,139.7340561,ホテルニューオータニ東京,グローバルCBPRフォーラムワークショップ,"5/15～
5/17",39,93,31,124
,港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-9−1東京汐留ビルディング,35.6628932,139.7612899,コンラッド東京,2024 国際サラブレッド生産者連盟会議,"5/19～
5/23",20,64,33,97
,千代田区,四番町,-,東京都千代田区四番町5−3,35.6888254,139.7382287,科学技術振興機構,ボリビアシンポジウム〜ウユニ塩湖、キヌア、リャマの魅力〜,"5/20～
5/20",5,4,65,69
,千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-5−1,35.6767429,139.7637532,東京国際フォーラム,第35回国際神経精神薬理学会世界大会,"5/23～
5/26",53,1249,1350,2599
,港区,六本木７丁目,六本木,東京都港区六本木7-22−2,35.665289,139.726374,国立新美術館,ヒト•シュタイエル × トレヴァー•パグレン 対談,"5/25～
5/25",3,2,158,160
,千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関1-2−1農林水産省北別館,35.6739881,139.7527367,中央合同庁舎,第16回国際水路機関水路業務•基準委員会,"5/27～
5/31",31,84,6,90
,港区,三田２丁目,-,東京都港区三田2-1−8,35.6521039,139.7379629,三田共用会議所,The 9th Tokyo Fiscal Forum「透明で効率的な歳入確保と支出による財政の強化」,"6/5～
6/6",21,54,24,78
,江東区,青海２丁目,-,東京都江東区青海2-2−a,35.620762,139.775883,東京国際交流館プラザ平成,ScalaMatsuri2024,"6/8～
6/9",11,43,185,228
,千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-2−1,35.6743713,139.7429313,衆議院第一議員会館国際会議室,東京ユース•デモクラシー•フォーラム2024,"6/12～
6/12",10,15,36,51
,港区,三田２丁目,-,東京都港区三田2-1−8,35.6521039,139.7379629,三田共用会議所,第3回アジア太平洋刑事司法フォーラム,"6/24～
6/25",19,73,27,100
,江東区,青海２丁目,-,東京都江東区青海2-3−6,35.6193359,139.7763995,日本科学未来館,Eighth International Workshop on Symbolic-Neural Learning (SNL2024),"6/26～
6/27",5,4,80,84
,港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-8−1,35.6701196,139.7425404,赤坂インターシティコンファレンス,第1回ASEAN•G7ネクスト•リーダーズ•フォーラム,"6/26～
7/2",16,50,5,55
,千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-3−1,35.6980449,139.7621731,明治大学,国際シンポジウム : 外因によるエネルギーシフトが露呈するパリ協定の課題 日米EUの再エネ政策を例として,"7/4～
7/4",7,8,200,208
,江東区,有明２丁目,-,東京都江東区有明2-1−8,35.6374063,139.7915719,ヴィラフォンテーヌ グランド東京有明,2024 第11回日本東京設計創意曁發明展,"7/6～
7/7",25,670,30,700
,港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-23−3虎ノ門ヒルズ森タワー5f,35.666878,139.749503,虎ノ門ヒルズフォーラム,第9回 SPACETIDE 2024 APACから世界へ:多様なコミュニティが紡ぐ宇宙ビジネス,"7/8～
7/10",30,600,900,1500
,港区,海岸,-,東京都港区海岸1-11−2,35.6554159,139.7632523,ベイサイドホテルアジュール竹芝,2024年国際港湾協会日本セミナー(夏),"7/9～
7/9",7,8,165,173
,港区,高輪３丁目,-,東京都港区高輪3-13−1グランドプリンスホテル新高輪地下1階,35.6300117,139.7334779,グランドプリンスホテル新高輪、飯倉公館,第5回日本アラブ経済フォーラム,"7/10～
7/11",23,80,620,700
,千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-5−1,35.6767429,139.7637532,東京国際フォーラム,第66回日本コンタクトレンズ学会総会,"7/14～
7/15",6,18,903,921
,港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-3−1,35.658962,139.7481391,東京プリンスホテル,第10回太平洋•島サミット,"7/16～
7/18",19,95,34,129
,千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-4−1丸の内ビルディング5階,35.6811829,139.7637704,丸ビルホール,GPM10周年記念シンポジウム,"7/19～
7/19",6,24,150,174
,港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-3−1,35.658962,139.7481391,東京プリンスホテル,2024 年第 3 回 ABAC 会議,"8/1～
8/4",21,200,50,250
,千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-3−1,35.6980449,139.7621731,明治大学,ICoME(国際教育メディア学会)2024,"8/21～
8/23",16,110,118,228
,新宿区,西早稲田１丁目,-,東京都新宿区西早稲田1-6−6,35.7087334,139.7196485,早稲田大学,The 2nd Non-Traditional Arthropod Model Systems,"8/21～
8/24",6,14,60,74
,千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町4−1ニューオータニ・ガーデンコート12f,35.6809158,139.7340561,ホテルニューオータニ東京,アフリカ開発会議(TICAD)閣僚会合,"8/24～
8/25",48,240,60,300
,千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-3−1,35.6980449,139.7621731,明治大学,人にやさしい人工知能のための意思決定モデルの構築に関する第 21 回国際会議 (MDAI 2024),"8/27～
8/31",12,32,18,50
