0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,指標名,インターナショナルスクール,,,,,,,,,
,出典,plazahomes,,,,,,,,,
,年次,2026/01/14取得,,,,,,,,,
,URL,https://www.plazahomes.co.jp/living-in-tokyo/international-schools,,,,,,,,,
,備考,(2023年度：68件、2024年度：69件、2025年度：71件),,,,,,,,,
,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,英語名,対象,共学/別学,URL
,江東区,千石３丁目,-,江東区千石3-1-4,35.6771117,139.8190704,India International School In Japan - Tokyo,India International School In Japan - Tokyo,共学1歳 - 5歳,共学,http://www.abcinternationalschool.com/
,江東区,白河１丁目,-,江東区白河1-5-15,35.682894,139.8004926,K. インターナショナルスクール東京,K. International School Tokyo,共学小学部・中学部 (6歳〜15歳),共学,https://www.capitaltokyo.com/
,江東区,亀戸１丁目,-,江東区亀戸1-18-9,35.6945548,139.8237196,Tokyo Bay International School,Tokyo Bay International School,共学2.9 - 6歳,共学,https://www.dandelion.tokyo/
,江東区,東陽２丁目,-,江東区東陽2-2-20,35.6665566,139.8160339,東京YMCAインターナショナルキッズガーデン,Tokyo YMCA International Kids Garden,共学1歳〜6歳,共学,https://flist.co.jp/
,江東区,東陽２丁目,-,江東区東陽2-2-20,35.6665566,139.8160339,東京YMCAインターナショナルスクール,Tokyo YMCA International School,共学6ヶ月から6歳,共学,https://www.giftedschooltokyo.com/
,港区,元麻布２丁目,-,港区元麻布2-11-8,35.6554352,139.7307965,ABCインターナショナルスクール,ABC International School,共学15ヶ月 - 6歳,共学,https://www.js-international-school.com/
,港区,南麻布４丁目,-,港区南麻布4-11-30南麻布渋谷ビル4f,35.6470234,139.7271634,Capital Tokyo International School (CTIS),Capital Tokyo International School (CTIS),共学14ヶ月 - 6歳,共学,https://www.kspacetokyo.org/main/
,港区,麻布狸穴町,-,港区麻布狸穴町62-3,35.6581741,139.7395442,Dandelion Montessori School,Dandelion Montessori School,共学15ヶ月 - 5歳,共学,https://mitsuigardensinternationalpreschool.com/
,港区,南青山６丁目,-,港区南青山6-13-17,35.6596438,139.7146635,Four Leaves International School Tokyo,Four Leaves International School Tokyo,共学12ヶ月 - 6歳,共学,https://montessori-cbms.com/
,港区,南麻布３丁目,-,港区南麻布3-11-4,35.648891,139.7291894,Ivy Prep インターナショナルスクール,Ivy Prep International School,共学1歳 - 6歳 (English Club: 7 -12 歳),共学,http://www.starkids-japan.com/
,港区,元麻布２丁目,-,港区元麻布2-12-14,35.6547246,139.7307606,J's インターナショナルスクール,J's International School,1歳6ヶ月〜小学校5年生,-,https://tokyokinder.com/
