0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
,出典,ミシュランガイド東京 2025,,,,,,,2つ星,優れた料理,
,年次,2025年,,,,,,,1つ星,高品質な料理,
,URL,https://guide.michelin.com/jp/ja/tokyo-region/restaurants,,,,,,,ビブグルマン,価格以上の満足感が得られる料理,
,備考,（2019年：318件、2020年：322件、2022年度：318件、2023年度：400件、2024年度：419件、2025年度：390件）,,,,,,,,,
,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,店舗名,カテゴリ,星数,価格帯,URL
,江東区,三好２丁目,-,東京都江東区三好2-15-12,35.6802794,139.8026875,オーツー／O2,中国料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/o2
,江東区,森下１丁目,-,東京都江東区森下1-7-6,35.6869308,139.797613,たかはし／Takahashi,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/takahashi-1205597
,江東区,富岡１丁目,-,東京都江東区富岡1-24-11,35.6703625,139.798532,トラットリア ブカ・マッシモ／TRATTORIA BUCA'MASSIMO,イタリア料理,ビブグルマン：価格以上の満足感が得られる料理,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/trattoria-buca-massimo
,江東区,清澄２丁目,-,東京都江東区清澄2-15-4,35.683252,139.796714,清澄 たか原／Kiyosumi Takahara,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kiyosumi-takahara
,江東区,白河１丁目,-,東京都江東区白河1-3-6,35.6815296,139.7994541,エマン／eman,スペイン料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/eman
