0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,,
,指標名,ナイトライフ施設,,,,,,,,,,,,,
,出典,TOKYO CLUB MAP,,,,,,,,,,,,,
,年次,2026/3/3取得,,,,,,,,,,,,,
,URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
,備考,(2023年度：514.0件、2024年度：254.0件、2025年度：520件),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用金額,URL
,港区,六本木４丁目,六本木,港区六本木4-11-11gmビルb1f,35.6642349,139.7315452,unravel tokyo,ライブハウス,Live ･ Allmix ･ POPs ･ Rock ･ Acoustic,03-6721-1455,-,,着席100人 / スタンディング200人,,https://www.tokyo-club.net/unravel-tokyo/
,港区,六本木３丁目,六本木,港区六本木3-8-15六本木日拓ビル1f-3f,35.6633279,139.7342002,ZEUS GARDEN,クラブ,Allmix,Closed,-,,"300名
面積: 350坪 (3フロア合計)","4,000円
バー利用 1,000円～",https://www.tokyo-club.net/zeus-garden/
,港区,麻布十番１丁目,-,港区麻布十番1-4-5深尾ビル1f-b1f,35.6569619,139.7353052,1OAK TOKYO,クラブ,HipHop ･ etc.,03-5572-7535,-,,350人,"5,000円",https://www.tokyo-club.net/1oaknew/
,港区,海岸,-,港区海岸1-10-45アトレ竹芝(シアター棟)1f,35.6567464,139.7620412,BANK30,ラウンジ,Others,03-5422-1094,-,,立500人 / 席220,"6,000円 / ランチ1,500円～",https://www.tokyo-club.net/bank30/
,港区,西麻布１丁目,-,港区西麻布1-8-101f,35.6603701,139.7249753,PULPLISM,ハンバーガーショップ,Others,050-5487-2706,-,,10席,"1,000円～",https://www.tokyo-club.net/pulplism/
,港区,六本木６丁目,六本木,港区六本木6-8-22イケガミビル1f,35.6598166,139.7322861,THE PUBLIC SIX,バー,House ･ Allmix,03-5413-3182,-,,立150名 (108席),"3,800円～",https://www.tokyo-club.net/publicsix/
,港区,六本木３丁目,六本木,港区六本木3-13-8ゾーナンビル2f,35.6626778,139.7339961,mint,カフェバー,Others,03-6823-1219,-,,立90名未満 / 44席,"3,000円～",https://www.tokyo-club.net/mint/
,港区,西麻布１丁目,-,港区西麻布1-14-17wave西麻布1f-2f,35.6613097,139.7233922,Trip Bar,ダイニングバー,TOP40 ･ 80s ･ HipHop ･ BlackMusic ･ etc.,Closed,-,,1階: 45席前後 / 2階: 30名以上,"5,000円～",https://www.tokyo-club.net/trip-bar/
,港区,六本木３丁目,六本木,港区六本木3-15-22陽光セントラル六本木ビル6f,35.6622324,139.7351655,JP Bar,バー,Latin ･ etc.,03-6886-6286,-,,要確認 (目算:40名～),"2,000円～",https://www.tokyo-club.net/jp-bar/
,港区,高輪４丁目,-,港区高輪4-10-30品川プリンスホテルメインタワー39f,35.6276709,139.73619, TABLE 9 TOKYO (NINE BAR),レストラン (NINE BAR: DJバー),Lounge Music ･ House ･ Techno ･ Jazz ･ Disco ･ Soul ･ Black Music,03-5421-1114 ※代表,-,,48席,"6,000円～
エントランス: 2,000円～",https://www.tokyo-club.net/table9-ninebar/
,港区,六本木３丁目,六本木,港区六本木3-8-15六本木日拓ビル3f,35.6633279,139.7342002,ZEN TOKYO,CLUB,HipHop ･ etc.,Closed,-,,600名 / 面積: 400平米程,"5,000円
VIP: 2時間8万円～",https://www.tokyo-club.net/zen/
,港区,六本木３丁目,六本木,港区六本木3-14-7アロービルb1f,35.6625667,139.734926,Seven Tokyo,クラブ,Allmix,03-6804-5196,-,,150名前後,"3,000円",https://www.tokyo-club.net/seven-tokyo/
,港区,六本木７丁目,六本木,港区六本木7-14-5六本木大和ビル3f,35.6636817,139.7314965,TOKYO R Bar&Cafe,バー,Lounge music ･ Disco ･ House ･ Techno ･ Electronic ･ Jazz ･ Others,Closed,-,,22席 (立 40名前後),"2,000円",https://www.tokyo-club.net/tokyo-r/
,港区,赤坂３丁目,赤坂,港区赤坂3-20-2赤坂第3福富ビルb1f,35.6762538,139.736323,Bar Luther,バー,Black Contemporary ･ AOR ･ smooth jazz,03-6277-8016,-,,15席,"3,000円",https://www.tokyo-club.net/luther/
,港区,六本木３丁目,六本木,港区六本木3-13-10六本木幸田ビル5f,35.6627685,139.7336878,Padi’s Tokyo,バー,Reggae ･ Afrobeat ･ Afro Pop,03-6698-9001,-,,"2,800円
(ファーストドリンク 1,000円 / 料理一品 1,000円程)","2011年2月 (前身である「King.Stone Cafe N Bar」から継承)
2018年4月に店名変更",https://www.tokyo-club.net/padis-tokyo/
,港区,六本木３丁目,六本木,港区六本木3-11-621泰明ビル4f,35.663129,139.7330944,Motown House,バー,BlackMusic ･ 80s ･ Allmix ･ etc.,03-5474-4605,-,,(面積: 約120平米),"3,500円～",https://www.tokyo-club.net/motown-house/
