0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
,指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,
,出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,
,年次,2026/2/26取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,
,URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,
,備考,（2023年度：792件、2024年度：1044件、2025年度：1041件）,,,,,,,,
,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点
,江東区,東雲１丁目,-,東京都江東区東雲1-9-46,35.6492191,139.8034767,しののめYMCAこども園,認定こども園(幼保連携),300,45748
,江東区,豊洲６丁目,-,東京都江東区豊洲6-2-30,35.6475987,139.793773,豊洲めぐみこども園,認定こども園(幼保連携),364,45748
,江東区,有明２丁目,-,東京都江東区有明2-1-4,35.6384818,139.7955655,武蔵野大学附属有明こども園,認定こども園(幼保連携),280,45748
,渋谷区,本町４丁目,-,東京都渋谷区本町4-39-１,35.6637078,139.7008247,渋谷本町こども園,認定こども園(幼保連携),85,45748
,新宿区,四谷２丁目,-,東京都新宿区四谷2-6,35.6866887,139.7248575,新宿区立四谷子ども園,認定こども園(幼保連携),167,45748
,新宿区,北町,-,東京都新宿区北町17,35.6993061,139.7344566,新宿区立あいじつ子ども園,認定こども園(幼保連携),186,45748
,新宿区,西新宿４丁目,-,東京都新宿区西新宿4-35‐5,35.6884291,139.6857434,新宿区立西新宿子ども園,認定こども園(幼保連携),140,45748
,中央区,日本橋兜町,-,東京都中央区日本橋兜町15-18,35.6795213,139.7766301,阪本こども園,認定こども園(幼保連携),114,45748
,中央区,晴海４丁目,-,東京都中央区晴海4-8-1,35.651338,139.7798737,渋谷教育学園晴海西こども園,認定こども園(幼保連携),275,45748
,江東区,毛利２丁目,-,東京都江東区毛利2-1-14,35.6906608,139.8165136,江東区毛利保育園,認可保育所,117,45931
,江東区,住吉１丁目,-,東京都江東区住吉1-7-8,35.6879757,139.8112693,グローバルキッズ住吉園,認可保育所,62,45931
,江東区,住吉２丁目,-,東京都江東区住吉2-25-9,35.68768,139.8162465,めばえ保育園,認可保育所,125,45931
