0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,指標名,レストラン,,,,,,,
,出典,hotpepper,,,,,,,
,年次,2026/01/16取得,,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,,
,備考,(2022年度：35814件、2023年度：15927.0件、2024年度：16865件、2025年度：16629件),,,,,,,
,,,,,,,,,
,区,町丁目,エリア,住所,緯度,軽度,施設名,種類,url
,江東区,富岡１丁目,-,東京都江東区富岡1‐4‐2アーバンソシアビル1・2f,35.67076909,139.7971776,やきとり家 すみれ 門前仲町店,居酒屋,https://www.hotpepper.jp/strJ004005302/?vos=nhppalsa000016
,江東区,豊洲３丁目,-,東京都江東区豊洲3-3-9豊洲センタービルb1f,35.65576688,139.7969652,温野菜 豊洲店,居酒屋,https://www.hotpepper.jp/strJ003872713/?vos=nhppalsa000016
,江東区,豊洲４丁目,-,東京都江東区豊洲4-1-5-1f,35.6549881,139.797476,個室 海鮮居酒屋 豊市 豊洲駅前店,居酒屋,https://www.hotpepper.jp/strJ001128456/?vos=nhppalsa000016
,江東区,門前仲町１丁目,-,東京都江東区門前仲町1-4-5東真ビル1f・2f,35.67244383,139.7942834,個室居酒屋 牛タン 圭助 門前仲町,居酒屋,https://www.hotpepper.jp/strJ000748194/?vos=nhppalsa000016
,江東区,東陽４丁目,-,東京都江東区東陽4-1-20皆進ビル6f,35.66948678,139.8194791,お好み焼き ちから,居酒屋,https://www.hotpepper.jp/strJ003959138/?vos=nhppalsa000016
,江東区,富岡１丁目,-,東京都江東区富岡1-5-1クレール門前仲町204号,35.67096408,139.7973671,富吉酒場,居酒屋,https://www.hotpepper.jp/strJ003451180/?vos=nhppalsa000016
,江東区,東陽３丁目,-,東京都江東区東陽3-27-18菅原ビル2f,35.67060295,139.816126,木村屋本店 東陽町店,居酒屋,https://www.hotpepper.jp/strJ001231914/?vos=nhppalsa000016
,江東区,富岡１丁目,-,東京都江東区富岡1-11-7,35.67134962,139.7986367,古民家居酒屋クロモジヤ 門前仲町店,居酒屋,https://www.hotpepper.jp/strJ004402520/?vos=nhppalsa000016
