0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,指標名,シェアサイクルポート,,,,,,,
,出典,東京自転車シェアリング ポートマップ,,,,,,,
,年次,2026/1/28取得,,,,,,,
,URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
,備考,(2023年度：793件、2024年度：855件、2025年度：993件）,,,,,,,
,,,,,,,,,
,区,町丁目,エリア,住所_整形済,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間
,港区,海岸,-,東京都港区海岸3-5-13,35.636644,139.751798,"C5-34.五色橋ビル /_x000D_
GOSHIKIBASHI BLDG.",,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸1-2,35.657367,139.75919,C1-21.汐留ビルディング / Shiodome Building,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸1-11,35.655139,139.762812,C1-48.竹芝客船ターミナル / Takeshiba Passenger Ship Terminal,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸1-13,35.654873,139.762103,C1-56.鈴与竹芝ビル / Suzuyo Takeshiba Building,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸1-10,35.655937,139.763251,C1-58.ウォーターズ竹芝 / WATERS Takeshiba,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸1-5,35.653096,139.75739,C1-61.環三浜松町駅南 / Kam-3 Hamamatsucho Station South,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸1-7,35.654757,139.761516,C1-65.東京ポートシティ竹芝 / TOKYO PORTCITY TAKESHIBA,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸1-4,35.65583,139.759896,C1-71.芝商業高校前交差点 / Shiba Shogyo high school front intersection,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸1-2,35.656647,139.758301,C1-76.浜松町駅北口交通広場(ハマサイト前) / Hamamatsucho Station North Exit Traffic Square(Hamasite),,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸3-3,35.640481,139.753659,C5-14.セブン-イレブン 港区汐彩橋店 / Sevev-Eleven Minato Shiosaibashi store,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸3-12−7,35.640215,139.755971,C5-15.セブン-イレブン 港区芝浦ふ頭店 / Sevev-Eleven Minato Shibautafuto store,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸2-1−16鈴与浜松町ビル,35.651103,139.759092,C5-17.鈴与浜松町ビル / Suzuyo Hamamatsucho Building,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸3-11,35.639571,139.755551,C5-25.NEX-TEC芝浦 / NEX-TEC Shibaura,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸3-18,35.644155,139.756216,C5-26.ピアシティ芝浦ビル / PIRE CITY SHIBAURA BUILDING,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸2-2,35.648948,139.757895,C5-27.プレミア海岸ビル / Premier Kaigan Bldg,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸2-7,35.651672,139.760549,C5-29.Hi-NODE（ハイノード）,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸3-22,35.64096,139.75754,C5-40.芝浦ふ頭駅前暫定自転車駐車場 / Shibaura-futo Station Provisional bicycle parking,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸3-1,35.644794,139.755688,C5-45.パークアクシス芝浦キャナル / Park Axis Shibaura Canal,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸3-7,35.636808,139.752517,C5-48.セブンイレブン港区海岸三丁目 / Seven-Eleven Minato-ku Kaigan 3-chome,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸3-18,35.643909,139.756509,"C5-54.ヤマタネ芝浦オフィス	/ Yamatane Shibaura Office_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸3-19,35.640783,139.756688,C5-56.芝浦ダイヤビルディング / SHIBAURA DIA BUILDING,,営業時間 24時間 / Open for 24 hours
,港区,海岸,-,東京都港区海岸3-8,35.63725,139.75276,"C5-59.エスリード芝浦ベイサイド 	/ ESLEAD SHIBAURA BAYSIDE_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,元麻布３丁目,-,東京都港区元麻布3-9−9,35.655869,139.730566,【休止中】C2-10.元麻布三丁目 / Motoazabu 3-Chome,休止,営業時間 24時間 / Open for 24 hours
,港区,元麻布１丁目,-,東京都港区元麻布1-3,35.653608,139.73138,C2-14.元麻布ヒルズ / MOTOAZABU HILLS,,営業時間 24時間 / Open for 24 hours
,港区,元麻布３丁目,-,東京都港区元麻布3-1,35.658011,139.727484,"C2-35.VORT元麻布	/ VORT Motoazabu_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,元赤坂１丁目,赤坂,東京都港区元赤坂1-3,35.676732,139.733905,C3-12.赤坂センタービルディング前（青山通り）/ Akasaka Center Building Mae(Aoyama-dori),,営業時間 24時間 / Open for 24 hours
,港区,元赤坂２丁目,-,東京都港区元赤坂2-2,35.678179,139.720809,C3-19.明治記念館西 / Meijikinenkan West,,営業時間 24時間 / Open for 24 hours
,港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-23,35.666489,139.748986,C1-04.虎ノ門ヒルズ / TORANOMON HILLS,,営業時間 24時間 / Open for 24 hours
,港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3-21,35.662005,139.748168,C1-09.愛宕グリーンヒルズ / Atago GREEN HILLS,,営業時間 24時間 / Open for 24 hours
,港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-3,35.668578,139.747157,C1-27.虎ノ門２丁目タワー / TORANOMON 2-CHOME TOWER,,営業時間 24時間 / Open for 24 hours
,港区,虎ノ門４丁目,虎ノ門,東京都港区虎ノ門4-3−9,35.664479,139.743731,C1-34.城山ガーデン / SHIROYAMA GARDEN,,営業時間 24時間 / Open for 24 hours
,港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3-8−8,35.665991,139.747891,C1-50.NTT虎ノ門ビル / NTT Toranomon Bldg.,,営業時間 24時間 / Open for 24 hours
,港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3-12,35.664344,139.746662,C1-54. ニッセイ虎ノ門ビル / NIPPON LIFE TORANOMON BUILDING,,営業時間 24時間 / Open for 24 hours
,港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3-1,35.667259,139.745643,C1-57.虎ノ門ツインビルディング / Toranomon Twin Building,,営業時間 24時間 / Open for 24 hours
,港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-22−12,35.669941,139.749261,C1-64.東京虎ノ門グローバルスクエア / TOKYO TORANOMON GLOBAL SQUARE,,営業時間 / Open 7:30～20:00
,港区,港南２丁目,-,東京都港区港南2-2,35.629687,139.74217,C5-01.こうなん星の公園 / Konan-Hoshino Park,,営業時間 24時間 / Open for 24 hours
,港区,港南４丁目,-,東京都港区港南4-7−49,35.62898,139.750736,C5-02.港南緑水公園 / Konan-Ryokusui Park,,営業時間 24時間 / Open for 24 hours
,港区,港南４丁目,-,東京都港区港南4-5,35.624965,139.746668,C5-03.港南公園C / Konan Park,,営業時間 24時間 / Open for 24 hours
,港区,港南２丁目,-,東京都港区港南2-1,35.632324,139.742422,C5-06.品川シーズンテラス / SHINAGAWA SEASON TERRACE,,営業時間 24時間 / Open for 24 hours
,港区,港南３丁目,-,東京都港区港南3-7,35.632842,139.7495,C5-07.港区立港南図書館 / Minato City Konan Library,,営業時間 24時間 / Open for 24 hours
,港区,港南３丁目,-,東京都港区港南3-7,35.631736,139.749763,C5-11.フェイバリッチタワー品川 / Favorich Tower Shinagawa,,営業時間 24時間 / Open for 24 hours
,港区,港南３丁目,-,東京都港区港南3-4,35.633748,139.748322,C5-12.第２東運ビル / NO.2 TOUN BUILDING (WAREHOUSE Konan),,営業時間 24時間 / Open for 24 hours
,港区,港南２丁目,-,東京都港区港南2-15,35.626704,139.742174,C5-16.品川インターシティ / SHINAGAWA INTERCITY,,営業時間 24時間 / Open for 24 hours
,港区,港南３丁目,-,東京都港区港南3-5,35.634529,139.748378,C5-18.パークタワー品川ベイワード / Park Tower Shinagawa Bayward,,営業時間 24時間 / Open for 24 hours
,港区,港南２丁目,-,東京都港区港南2-16,35.62822,139.741135,C5-35.品川駅港南口 / Shinagawa Station Konan Exit,,営業時間 24時間 / Open for 24 hours
,港区,港南４丁目,-,東京都港区港南4-1,35.630961,139.746875,C5-46.ウエリスアーバン品川タワー / Wellith Urban Shinagawa Tower,,営業時間 24時間 / Open for 24 hours
,港区,港南２丁目,-,東京都港区港南2-10,35.62413,139.744831,C5-47.oak港南品川 / oak Konan Shinagawa,,営業時間 24時間 / Open for 24 hours
,港区,港南４丁目,-,東京都港区港南4-1,35.630109,139.747094,C5-52.港南四丁目第3アパート駐車場 / Konan 4 Chome 3rd Apartment Parking,,営業時間 24時間 / Open for 24 hours
,港区,港南５丁目,-,東京都港区港南5-5,35.6292663,139.7573133,"C5-57.FORECAST品川LABO	/ FORECAST SHINAGAWA LABO_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,港南１丁目,-,東京都港区港南1-6,35.630018,139.745663,"C5-60.品川東急ビル	/ Shinagawa Tokyu bldg._x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,港南３丁目,-,東京都港区港南3-6,35.632484,139.747388,"C5-62.ロイヤルパークス品川	/ Royal Parks Shinagawa_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,高輪３丁目,-,東京都港区高輪3-4−4,35.634971,139.732109,【休止中】C4-08.高輪三丁目 / Takanawa 3-chome,休止,営業時間 / Open 3:00 - 23:00
,港区,高輪２丁目,-,東京都港区高輪2-14−14,35.698991,139.76091,A2-25.プラウド神田駿河台 / PROUD KANDA SURUGADAI,,営業時間 24時間 / Open for 24 hours
,港区,高輪１丁目,-,東京都港区高輪1-16,35.641833,139.734519,C4-01.高輪地区総合支所（5F） / Takanawa Regional City Office(5F),,営業時間 24時間 / Open for 24 hours
,港区,高輪３丁目,-,東京都港区高輪3-9,35.632169,139.732111,C4-04.ショパン高輪 / Chopin Takanawa,,営業時間 24時間 / Open for 24 hours
,港区,高輪４丁目,-,東京都港区高輪4-9,35.628266,139.734171,C4-07.品川プリンスホテル / Shinagawa Prince Hotel,,営業時間 24時間 / Open for 24 hours
,港区,高輪２丁目,-,東京都港区高輪2-20,35.637089,139.740401,C4-16.THE LINKPILLAR 1 NORTH,,営業時間 24時間 / Open for 24 hours
,港区,高輪３丁目,-,東京都港区高輪3-27,35.634,139.739389,"C4-17.THE LINKPILLAR 1 SOUTH_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,高輪４丁目,-,東京都港区高輪4-24,35.62535,139.73777,"C4-19.サマセット品川東京	/ SOMERSET SHINAGAWA TOKYO_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,三田１丁目,-,東京都港区三田1-4−28三田国際ビルアネックスa101,35.65317,139.744679,C1-24.三田国際ビル / Mita Kokusai Building,,営業時間 24時間 / Open for 24 hours
,港区,三田３丁目,-,東京都港区三田3-9,35.64115,139.741471,C1-44.三田Avanti / Mita Avanti,,営業時間 24時間 / Open for 24 hours
,港区,三田２丁目,-,東京都港区三田2-20−20,35.647831,139.739048,C1-82.トヨタモビリティ東京 港三田店 / Toyota Mobility Tokyo - Minatomita,,営業時間 24時間 / Open for 24 hours
,港区,三田５丁目,-,東京都港区三田5-5三田2-第2ポート,35.64726,139.74034,"C1-88.ソーシャルコート三田	/ SOCIAL COURT MITA_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,三田１丁目,-,東京都港区三田1-10−10,35.655367,139.738075,C2-26.一の橋公園 / Ichinohashi Park,,営業時間 24時間 / Open for 24 hours
,港区,三田４丁目,-,東京都港区三田4-1,35.646375,139.740061,C4-09.ケーヨーデイツー三田店 / Keiyo D2 MITA,,営業時間 24時間 / Open for 24 hours
,港区,三田３丁目,-,東京都港区三田3-7,35.642764,139.741174,C4-10.亀塚公園 / Kamezuka Park,,営業時間 24時間 / Open for 24 hours
,港区,三田５丁目,-,東京都港区三田5-2,35.64816,139.737991,C4-11.ザ・パークハウス 三田ガーデン / The Parkhouse Mita Garden,,営業時間 24時間 / Open for 24 hours
,港区,芝浦１丁目,-,東京都港区芝浦1-7,35.647872,139.75391,【休止:1/28 〜】C5-30.フェイム芝浦インターウェーブ / FAIME SHIBAURA INTERWAVE,休止,営業時間 24時間 / Open for 24 hours
,港区,芝３丁目,-,東京都港区芝3-3,35.652549,139.747789,【休止中】C1-52.NTT三田ビル / NTT Mita Build.,休止,営業時間 24時間 / Open for 24 hours
,港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-5,35.65928,139.744767,C1-15.東京タワー / TOKYO TOWER,,営業時間 24時間 / Open for 24 hours
,港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-5,35.659443,139.745557,C1-16.機械振興会館 / Kikai Shinko Kaikan Building,,営業時間 24時間 / Open for 24 hours
,港区,芝公園１丁目,-,東京都港区芝公園1-8−21,35.657868,139.751064,C1-17.港区役所 / Minato City Hall,,営業時間 24時間 / Open for 24 hours
,港区,芝４丁目,-,東京都港区芝4-1−17三田いきいきプラザ,35.648652,139.749835,C1-23.三田いきいきプラザ / Mita Iki-iki Plaza,,営業時間 24時間 / Open for 24 hours
,港区,芝４丁目,-,東京都港区芝4-3,35.649032,139.750147,C1-35.セブン-イレブン三田駅北店 / Seven-Eleven Mitaekikita,,営業時間 24時間 / Open for 24 hours
,港区,芝公園１丁目,-,東京都港区芝公園1-7,35.658169,139.752509,C1-43.KDX浜松町プレイス / KDX HAMAMATSUCHO PLACE,,営業時間 24時間 / Open for 24 hours
,港区,芝３丁目,-,東京都港区芝3-32,35.650845,139.748346,C1-59.セレスティン芝三井ビルディング / CELESTINE SHIBA MITSUI Bldg,,営業時間 24時間 / Open for 24 hours
,港区,芝５丁目,-,東京都港区芝5-25,35.647659,139.745055,C1-60.専売ビル / Senbai Bldg.,,営業時間 24時間 / Open for 24 hours
,港区,芝５丁目,-,東京都港区芝5-31,35.646307,139.746428,C1-72.新田町ビル / SHIN TAMACHI Bldg.,,営業時間 24時間 / Open for 24 hours
,港区,芝５丁目,-,東京都港区芝5-36−44階,35.645115,139.744567,C1-74.札の辻スクエア / Fudanotsuji Square,,営業時間 24時間 / Open for 24 hours
,港区,芝公園４丁目,-,東京都港区芝公園4-8,35.65513,139.749645,C1-77.芝公園 / Shiba Park,,営業時間 24時間 / Open for 24 hours
,港区,芝４丁目,-,東京都港区芝4-18−12,35.648765,139.753363,C1-79.髙松コンストラクショングループ 東京本社ビル / Takamatsu Construction Group Tokyo Head Office Building,,営業時間 24時間 / Open for 24 hours
,港区,芝４丁目,-,東京都港区芝4-15,35.646534,139.748913,C1-81.田町タワー / Tamachi Tower,,営業時間 24時間 / Open for 24 hours
,港区,芝２丁目,-,東京都港区芝2-20,35.651803,139.749834,"C1-83.友愛会館	/ Yuai hall_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,芝１丁目,-,東京都港区芝1-9,35.65083,139.7547,C1-86.エステムプラザ芝公園1 / ESTEMPLAZA SHIBAKOUEN1,,営業時間 24時間 / Open for 24 hours
,港区,芝１丁目,-,東京都港区芝1-12−3エステムプラザ芝公園,35.65072,139.75469,"C1-87.エステムプラザ芝公園2	/ ESTEMPLAZA SHIBAKOUEN2_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,芝浦１丁目,-,東京都港区芝浦1-16,35.646786,139.751091,C5-04.みなとパーク芝浦 / Minato Park Shibaura,,営業時間 24時間 / Open for 24 hours
,港区,芝浦４丁目,-,東京都港区芝浦4-16,35.637383,139.748454,C5-08.AQUACITY芝浦 / AQUACITY Shibaura,,営業時間 24時間 / Open for 24 hours
,港区,芝浦３丁目,-,東京都港区芝浦3-4,35.643212,139.746245,C5-09.グランパーク / Granpark,,営業時間 24時間 / Open for 24 hours
,港区,芝浦１丁目,-,東京都港区芝浦1-2,35.64995,139.75606,C5-10.シーバンス / SEAVANS,,営業時間 24時間 / Open for 24 hours
,港区,芝浦４丁目,-,東京都港区芝浦4-19,35.638245,139.749754,C5-13.区立芝浦西運河沿緑地 / Green Zone along the Shibaura-nishi Canal,,営業時間 24時間 / Open for 24 hours
,港区,芝浦２丁目,-,東京都港区芝浦2-1,35.645537,139.754899,C5-19.グランドメゾン田町 / GRANDE　MAISON TAMACHI,,営業時間 24時間 / Open for 24 hours
,港区,芝浦２丁目,-,東京都港区芝浦2-1,35.645254,139.754765,C5-20.ローソン芝浦二丁目店 / LAWSON Shibaura 2-chome shop,,営業時間 24時間 / Open for 24 hours
,港区,芝浦３丁目,-,東京都港区芝浦3-14,35.642399,139.746992,C5-21.セブン-イレブン 芝浦3丁目店 / Seven-Eleven Shibaura 3chome Store,,営業時間 24時間 / Open for 24 hours
,港区,芝浦１丁目,-,東京都港区芝浦1-6,35.647736,139.755428,C5-24.GLOBAL FRONT TOWER,,営業時間 24時間 / Open for 24 hours
,港区,芝浦３丁目,-,東京都港区芝浦3-9−1,35.643683,139.7506,C5-28.芝浦ルネサイトタワー / Shibaura Renasite Tower,,営業時間 24時間 / Open for 24 hours
,港区,芝浦３丁目,-,東京都港区芝浦3-1,35.645682,139.748768,C5-33.msb Tamachi ,,営業時間 24時間 / Open for 24 hours
,港区,芝浦４丁目,-,東京都港区芝浦4-8,35.639644,139.745532,C5-41.トヨタモビリティ東京 芝浦店 / Toyota Mobility Tokyo - SHIBAURA,,営業時間 24時間 / Open for 24 hours
,港区,芝浦２丁目,-,東京都港区芝浦2-7,35.644241,139.753834,C5-42.DHC芝浦2丁目ビル / DHC Shibaura 2-chome Building,,営業時間 24時間 / Open for 24 hours
,港区,芝浦２丁目,-,東京都港区芝浦2-15,35.644798,139.752697,C5-43.オアーゼ芝浦MJビル / OASE SHIBAURA MJ Bldg.,,営業時間 24時間 / Open for 24 hours
,港区,芝浦２丁目,-,東京都港区芝浦2-9,35.643105,139.753039,C5-44.ブランズタワー芝浦 / BRANZ TOWER SHIBAURA,,営業時間 24時間 / Open for 24 hours
,港区,芝浦４丁目,-,東京都港区芝浦4-15,35.638912,139.747422,C5-49.プラウドタワー芝浦 / PROUD TOWER SHIBAURA,,営業時間 24時間 / Open for 24 hours
,港区,芝浦４丁目,-,東京都港区芝浦4-10,35.641631,139.74671,"C5-53.suito芝浦	/ suito shibaura_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,芝浦４丁目,-,東京都港区芝浦4-12,35.640017,139.748939,"C5-58.VORT芝浦WaterFront	/ VORT Shibaura WaterFront_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,芝浦１丁目,-,東京都港区芝浦1-1,35.6508402,139.7565319,"C5-61.ブルーフロント芝浦タワーS / BLUE FRONT SHIBAURA TOWER S_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,新橋４丁目,虎ノ門広域,東京都港区新橋4-11,35.664459,139.756089,C1-14.新橋プラザビル / Shinbashi Plaza Building,,営業時間 24時間 / Open for 24 hours
,港区,新橋４丁目,虎ノ門広域,東京都港区新橋4-1−6,35.665116,139.754071,C1-46.新虎通りCORE / SHINTORA-DORI CORE,,営業時間 24時間 / Open for 24 hours
,港区,新橋４丁目,虎ノ門広域,東京都港区新橋4-21,35.663843,139.757697,C1-51.環二新橋四丁目 / Kam-2 Shimbashi 4-chome,,営業時間 24時間 / Open for 24 hours
,港区,新橋６丁目,虎ノ門広域,東京都港区新橋6-20,35.661149,139.754612,C1-53.ホテルリブマックス新橋 / HOTEL LiVEMAX SHIMBASHI,,営業時間 24時間 / Open for 24 hours
,港区,新橋１丁目,虎ノ門広域,東京都港区新橋1-1,35.669257,139.756043,C1-55.アーバンネット内幸町ビル・THE BLOSSOM HIBIYA / Urbannet Uchisaiwaicho Building,,営業時間 24時間 / Open for 24 hours
,港区,新橋３丁目,虎ノ門広域,東京都港区新橋3-16−15,35.665214,139.757008,C1-68.桜田公園 / Sakurada Park,,営業時間 24時間 / Open for 24 hours
,港区,新橋５丁目,虎ノ門広域,東京都港区新橋5-19−7,35.662908,139.755014,C1-69.塩釜公園 / Shiogama Park,,営業時間 24時間 / Open for 24 hours
,港区,新橋３丁目,虎ノ門広域,東京都港区新橋3-3,35.66522,139.75426,"C1-84.新虎安田ビル / HINTORA YASUDA Building_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,新橋４丁目,虎ノ門広域,東京都港区新橋4-22−4,35.663251,139.757235,"C1-89.VORT 新橋Ⅲ / VORT Shinbashi3_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,西新橋２丁目,虎ノ門広域,東京都港区西新橋2-34,35.665628,139.750766,"【休止中】C1-92.エステムプラザ愛宕虎ノ門レジデンス	/ ESTEMPLAZA ATAGO TORANOMON RESIDENCE_x000D_
",休止,営業時間 24時間 / Open for 24 hours
,港区,西新橋１丁目,虎ノ門広域,東京都港区西新橋1-12,35.668806,139.753564,C1-02.西新橋1丁目（外堀通り） / Nishi-Shinbashi 1Chome (Sotobori St.),,営業時間 24時間 / Open for 24 hours
,港区,西新橋３丁目,虎ノ門広域,東京都港区西新橋3-3,35.665218,139.750827,C1-37.KDX西新橋ビル（北側）/ KDX Nishi-shimbashi Building(North Side),,営業時間 24時間 / Open for 24 hours
,港区,西新橋３丁目,虎ノ門広域,東京都港区西新橋3-3,35.66495,139.750459,C1-38.KDX西新橋ビル（西側）/ KDX Nishi-shimbashi Building(West Side),,営業時間 24時間 / Open for 24 hours
,港区,西新橋１丁目,虎ノ門広域,東京都港区西新橋1-7−14,35.669228,139.751668,C1-67.京阪神 虎ノ門ビル / Keihanshin Toranomon Bldg.,,営業時間 24時間 / Open for 24 hours
,港区,西新橋１丁目,虎ノ門広域,東京都港区西新橋1-1−7,35.669904,139.752949,C1-73.日比谷フォートタワー / HIBIYA FORT TOWER,,営業時間 24時間 / Open for 24 hours
,港区,西新橋２丁目,虎ノ門広域,東京都港区西新橋2-11−6ニュー西新橋ビル,35.66646,139.752138,C1-78.CIRCLES新橋 / CIRCLES SHINBASHI,,営業時間 24時間 / Open for 24 hours
,港区,西新橋３丁目,虎ノ門広域,東京都港区西新橋3-13,35.664741,139.750969,"C1-90.BIZCORE西新橋	/ BIZCORE NISHISHIMBASHI_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,西麻布２丁目,-,東京都港区西麻布2-9,35.661668,139.72112,C2-08.ファミリーマート西麻布霞町店 / Familly Mart Nishi-Azabu Kasumicho Store,,営業時間 24時間 / Open for 24 hours
,港区,西麻布４丁目,-,東京都港区西麻布4-17,35.659177,139.719209,"C2-33.パークウェルステイト西麻布 / PARKWELLSTATE NISHIAZABU_x000D_
",,営業時間 24時間 / Open for 24 hours
,港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-12−32,35.667128,139.739573,C2-01.アークヒルズ（アーク森ビル） / Ark Hills (Ark Mori Tower),,営業時間 24時間 / Open for 24 hours
,港区,赤坂４丁目,赤坂,東京都港区赤坂4-17,35.674796,139.731414,C3-02.赤坂地区総合支所 / Akasaka Regional City Office,,営業時間 24時間 / Open for 24 hours
,港区,赤坂８丁目,赤坂,東京都港区赤坂8-10−34,35.670657,139.728171,C3-06.ホテルアジア会館 / Hotel Asia Center of Japan,,営業時間 24時間 / Open for 24 hours
,港区,赤坂５丁目,赤坂,東京都港区赤坂5-2,35.671813,139.73369,C3-08.赤坂パークビルヂング / Akasaka Park Building,,営業時間 24時間 / Open for 24 hours
,港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-3−9,35.670368,139.744683,C3-10.ファミリーマート特許庁前店 / FamilyMart Tokkyocho Mae Store,,営業時間 24時間 / Open for 24 hours
,港区,赤坂３丁目,赤坂,東京都港区赤坂3-8,35.676566,139.737083,C3-11.赤坂見附南 / South side of Akasakamitsuke,,営業時間 24時間 / Open for 24 hours
,港区,赤坂４丁目,赤坂,東京都港区赤坂4-15,35.6738,139.731525,C3-16.赤坂ガーデンシティ / Akasaka Garden City,,営業時間 24時間 / Open for 24 hours
,港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-5,35.670308,139.743242,C3-17.セブン-イレブン 港区溜池山王店 / Seven-Eleven Minatoku Tameikesanno store,,営業時間 24時間 / Open for 24 hours
,港区,赤坂４丁目,赤坂,東京都港区赤坂4-3,35.674929,139.736053,C3-22.OMO3東京赤坂 by 星野リゾート / OMO3 Tokyo Akasaka by Hoshino Resorts,,営業時間 24時間 / Open for 24 hours
,港区,赤坂２丁目,赤坂,東京都港区赤坂2-5−17,35.672477,139.739743,C3-28.ヒューリックＪＰ赤坂ビル / ＨＵＬＩＣ ＪＰAkasaka Bldg.,,営業時間 24時間 / Open for 24 hours
,港区,赤坂７丁目,赤坂,東京都港区赤坂7-2,35.674094,139.728895,C3-29.高橋是清翁記念公園 / Takahashi Korekiyo Memorial Park,,営業時間 24時間 / Open for 24 hours
,港区,赤坂２丁目,赤坂,東京都港区赤坂2-6,35.672652,139.738908,C3-30.東京赤坂NKビル (ヴィアインプライム赤坂) / C3-30.Tokyo Akasaka NK Bldg. (VIA INN Prime Akasaka),,営業時間 24時間 / Open for 24 hours
,港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-4,35.670239,139.744285,C3-31.赤坂一丁目	/ 1 Akasaka,,営業時間 24時間 / Open for 24 hours
,港区,赤坂８丁目,赤坂,東京都港区赤坂8-11−32乃木公園,35.667936,139.72745,C3-32.乃木公園 / Nogi Park,,営業時間 24時間 / Open for 24 hours
